Hash,Date,Author,Message,IsMerge
18aba135ab927ffe7f868ee09276979bed6993a6,2024-02-18 18:05:45,Iskren Ivov Chernev,"Create npm-grunt.yml (#6209)

Add github actions to run tests against develop and PRs",False
485d9a7d709bd5f3869a7ad24630cf0746d072dc,2023-12-27 16:05:18,Iskren Chernev,Build 2.30.1,False
e048b09e46a3f710a93a45026b93b7c3cbc8b646,2023-12-27 16:03:42,Iskren Chernev,Bump version to 2.30.1,False
f9f2d584dcaa4bcb4821ba4bae97b54798239921,2023-12-27 16:02:34,Iskren Chernev,Update changelog for 2.30.1,False
a52ffb2bd49fdef0149d13874e7aede361342198,2023-12-27 15:59:01,Iskren Chernev,"Revert ""Merge pull request #5827 from BobZombie:feature/fix_d.ts""

This reverts commit 651dff4d0c8914c9a9f73503bcb1a52e78de8a36, reversing
changes made to 8d46db8068ad6e841500308c9236f64fe22f8e04.",False
ddd680908c23797a3ed22007838634518bb14705,2023-12-27 00:45:14,Iskren Chernev,Build 2.30.0,False
be64d00332159d4df419a4ee0328da9bd81a6fc6,2023-12-27 00:42:43,Iskren Chernev,Bump version to 2.30.0,False
ad411793e96d19085272181dcb823aee34b7de5d,2023-12-27 00:42:43,Iskren Chernev,Update changelog for 2.30.0,False
63fe479c029d2e329e5c03744e5ad022828296d7,2023-12-27 00:42:43,Iskren Chernev,[misc] Make code ES6 compatible,False
0f0195f5049744d4b74bd0840501cb24b2cba949,2023-12-26 23:35:03,Iskren Chernev,"Revert ""Merge pull request #5599 from Alanscut:issue_4985""

This reverts commit c8785e7d6acc94464b3d54c866b3f5a08d3df74e, reversing
changes made to b4e0676927f8acae8a3e8fea45fe47a8f1ddc62f.",False
15b82f532c41c86f0cfa7462d0057d1d95e67821,2023-12-26 23:21:59,Iskren Chernev,"Revert ""Merge pull request #5597 from Alanscut:issue-5596""

This reverts commit b4e0676927f8acae8a3e8fea45fe47a8f1ddc62f, reversing
changes made to cbcd0c5116e43ebd569e050934aeaef622ba7b64.",False
8dd12f64e0fdbb181a5663d09f87a3a21616777d,2023-12-26 19:39:14,Iskren Chernev,"Merge pull request #5607 from Alanscut:issue_5603

[bugfix] unify duration.valueOf and asMilliseconds",True
6a80ca2402f4ad922417dcce8659375d979c8d9f,2023-12-26 19:38:44,Iskren Chernev,Do not re-create asMilliseconds for valueOf,False
cf4eee9176df53b1e48824f8818bfad5a528d0d3,2023-12-26 19:35:24,Alanscut,valueOf and asMilliseconds have the same function,False
443d5de6116f9e3555d050b87612f873e44c6b6b,2023-12-26 19:10:26,Iskren Chernev,"Merge pull request #5748 from rasidre:adjust-bs-locale

[locale] bs: Improve relative minute",True
25e14fc1d8ac61e053f24154bdf5390add587b5b,2023-12-26 19:10:14,Iskren Chernev,fix formatting,False
bd7a7f41ac406b8b89e08f2bafab7f191cecb804,2023-12-26 19:08:37,Rasid Redzic,Fix issue for bs locale,False
e9ad6e244072bd8166019cef8aaad311f5a51b66,2023-12-24 17:38:29,Iskren Chernev,"Merge pull request #5949 from mergehez:develop

[new locale] ku-kmr: Kurdish (Northern Kurdish)",True
4ca7d80dcf671c3eed804fd94de33ff584e74d80,2023-12-24 17:37:12,MergeSoft,re-prettier hopelessly,False
c9e32b8bd4497beee2b4a4a3124f7edbb4135ba9,2023-12-24 17:37:12,MergeSoft,"Revert ""Re-prettiered via prettier.io playground""

This reverts commit 6f619da102feb3118a9d5e44bc16d37697e69888.",False
57f67cd08b55adaa199ce2c0c9801110ebf2a07a,2023-12-24 17:37:12,MergeSoft,"Revert ""Re-Prettier via Node v10.24.1""

This reverts commit 4bb02699a514197af0896eb886891f4a10eee265.",False
