Hash,Date,Author,Message,IsMerge
adc17f2a35b1eea2d5ccb2f3a4897ddcf8de7bd8,2025-03-21 23:24:23,Valeri Karpov,chore: release 8.12.2,False
3e20a36ab31f97c7b4d3b6b966de1e1bfd323091,2025-03-21 21:02:33,Valeri Karpov,"Merge pull request #15323 from Automattic/vkarpov15/gh-15314

fix(model): avoid returning `null` from bulkSave() if error doesn't have writeErrors property",True
0f6c575e385cb1367af66e564b25c8b5025b449f,2025-03-21 21:02:19,Valeri Karpov,"Merge pull request #15322 from Automattic/vkarpov15/gh-15308

fix(document): avoid stripping out fields in discriminator schema after select: false field",True
20c19195ffb796942e502cbed3a51a102c80793f,2025-03-21 20:42:24,Valeri Karpov,fix a couple of other return -> continue issues,False
5b187c5f1e94d9043f8a38b933f8784354b40da1,2025-03-20 20:07:21,Valeri Karpov,"fix(model): avoid returning `null` from bulkSave() if error doesn't have writeErrors property

Re: #15314",False
47b88cd641f6ddd7b352bd36f133d594d4d134d1,2025-03-20 19:42:00,Valeri Karpov,"fix(document): avoid stripping out fields in discriminator schema after select: false field

Fix #15308",False
3f4bcbcbad791fdc5da36d5740dce2b8b342f9ab,2025-03-19 21:09:25,Valeri Karpov,"Merge pull request #15319 from baruchiro/docs/ms

docs: update references to the `ms` module in date schema documentation",True
3e0c645e1dfd67d3e7ebc80a6a55b6e8bd8662e8,2025-03-19 21:07:45,Valeri Karpov,"Merge pull request #15318 from baruchiro/types/with-timestamps

feat(types): add WithTimestamps utility type",True
ed7bf40e5f94542a5112c8d690d4848bcd88fb17,2025-03-18 14:10:32,Baruch Odem,docs: update references to the `ms` module in date schema documentation,False
bdf38fc3aaa06d046d2338dafb500fa61778314b,2025-03-18 12:24:27,Baruch Odem,feat(types): add WithTimestamps utility type,False
e74d5e50679bf59b987782f9181a76649c7f2850,2025-03-14 22:04:35,Valeri Karpov,"Merge pull request #15307 from skyran1278/patch-2

docs: update schema examples in schematypes.md",True
8a22c6e9906d973618b757b68b47353e739201ec,2025-03-14 22:02:43,Valeri Karpov,Update schematypes.md,False
2d8c1686e8c8cf325e9c2058aba017f4c6769581,2025-03-12 07:10:23,Valeri Karpov,"Merge pull request #15302 from Automattic/vkarpov15/gh-9359

fix(populate): correctly get schematypes when deep populating under a map",True
f873339443d4cde7a80104cb77709542571a9910,2025-03-08 07:11:05,Nai You-Ran,"docs: update schema examples in schematypes.md

- replace outdated schema examples with relevant ones
- correct description of how doubles are stored in MongoDB",False
ad418a074d6233535a12272aa411da11f4c9ef96,2025-03-07 20:48:40,Valeri Karpov,"Merge pull request #15305 from skyran1278/patch-1

Update schematypes.md",True
e1e52c638098ad30a7b54a5cddd4125029e4fde6,2025-03-07 13:10:42,Nai You-Ran,Update schematypes.md,False
abcf996998629d269caa99ef30bb6206a4cd31cf,2025-03-07 02:29:15,Valeri Karpov,test: remove unnecessary code,False
89c3e8a7812b8117a1cefe8b29e243819762d012,2025-03-07 02:23:44,Valeri Karpov,"fix(populate): correctly get schematypes when deep populating under a map

Fix #9359",False
ae6f4a27235fc2368da09392d3e4d3651a56624b,2025-03-07 01:21:51,Valeri Karpov,"Merge pull request #15293 from Automattic/vkarpov15/gh-15279

fix(AggregationCursor): make next() error if schema pre('aggregate') middleware throws error",True
633ff8ddbf0db884eb23ce0a90b89f9c68555c7d,2025-03-05 02:39:53,Valeri Karpov,chore: release 8.12.1,False
c50cb379e93101f632584f55b0b06bca662d35c8,2025-03-05 02:12:47,Valeri Karpov,"Update test/aggregate.test.js

Co-authored-by: hasezoey <hasezoey@gmail.com>",False
6e0a70e3fb39a2afab4f6c7d48e57942871e91a4,2025-03-05 02:12:41,Valeri Karpov,"Update test/aggregate.test.js

Co-authored-by: hasezoey <hasezoey@gmail.com>",False
