Hash,Date,Author,Message,IsMerge
239468e9bc4ce1f0143722f312eb2487cac846ea,2024-09-17 11:46:29,Matthias Benkort,"Merge pull request #650 from ferllop/master

Rename .nvm to .nvmrc, add explanations about its use in readme and reference to it in ch04 and exercises/readme",True
b1c51123ada692d6d5fd1044b31ad9e4e4dad631,2024-09-06 16:08:45,Ferran Llop,Update softprops/action-gh-release to avoid warning about using deprecated nodejs version,False
51796e2af06262816d426c791b1ee297e2774e2a,2024-09-06 16:02:51,Ferran Llop,"Add advice about the recommended nodejs version of the project and a short explanation about nvm on main readme, chapter 4 and exercises readme",False
90cb8acf8e5e3626eae00a91a60503f02e7c75b1,2024-09-06 00:00:49,Ferran Llop,"Update deprecated versions of actions/upload-artifact, actions/setup-node and actions/checkout to v4",False
71bbe080fec19b58dd688cd82ce498a3f545dcb0,2024-09-05 20:52:37,Ferran Llop,Rename .nvm file to the default name .nvmrc so its automatically found by nvm command,False
a798f30608f741ea857578a377a1144ed49be13f,2023-12-08 16:07:50,KtorZ,"Revert ""Ch06: Fix link to script source""

This reverts commit 5fc8cc2fed143bef1992563a4a5510c95fdb1288.",False
4cae91228bd0fb9f38f0eb359d5c2108d8519a73,2023-12-08 16:07:45,KtorZ,Fix organisation in package.json.,False
6d859cceebd83be562259088ef59dee0c11bb6e5,2023-12-08 15:57:48,KtorZ,Merge remote-tracking branch 'NANASHI0X74/fix-ch09-IO-join',True
e5aa3155fc7d243778ad32fc5facb994703851fb,2023-12-08 15:52:43,Matthias Benkort,"Merge pull request #645 from ferllop/master

Update build workflow to run properly",True
b0b9d827a4462263436b7acd43007e352cd791c5,2023-12-07 16:27:52,Ferran Llop,Fix missing bracket,False
fe1d9908c7473eb31ed73e53de55ef8c63cf3d0e,2023-12-07 16:24:30,Ferran Llop,Fully qualify dependency because it was causing npm install to freeze on build workflow,False
04436621349f96603ef292896602e8267f5eedbe,2023-12-07 16:10:53,Ferran Llop,Generate summary on workflow,False
d71c604b2274c0d5ee8c279ea1ccd3129b50e4c4,2023-12-07 15:17:41,Ferran Llop,Update Summary to have chapter 13,False
70728db99f9b4b773064679fec03d7e769c0a77a,2023-12-07 15:15:57,Ferran Llop,Use variable for filename,False
d3013ce27853bb30ad1df4dc66e30f5e51edd735,2023-12-07 15:15:24,Ferran Llop,Use actual recommended syntaxis,False
fb35f05cad666ca796b2c2d008e5129e74657441,2023-12-07 15:14:13,Ferran Llop,Increae version because now ubuntu:18.04 is unavailable on github workflows,False
7f07b7e3f1a44ccf262f1febe67ec6f419d5ece6,2023-12-07 15:07:58,Ferran Llop,Change include-codeblock version to match the version installed as specified in package.json,False
8a23c7d6b68030801c72192e0b46f709e9b602a4,2023-12-06 15:09:35,Matthias Benkort,"Merge pull request #632 from anikeef/fix-5th-chapter-exercise

Add missing argument in 5th chapter exercise",True
bb5188c9af69fd0c2b3716aa54e26b314125b5e5,2023-12-06 15:06:41,Matthias Benkort,"Merge pull request #644 from timciep/patch-1

Ch06: Fix link to script source",True
5fc8cc2fed143bef1992563a4a5510c95fdb1288,2023-12-06 02:48:28,Tim Cieplowski,"Ch06: Fix link to script source

Fix link to script source, which was not working on the GitBook site, by using the absolute GitHub URL.",False
ead82ebe77ea10b7004b8da55e1463df323459ea,2022-01-12 21:01:09,Anikeev Gennadiy,Minor fix in 5th chapter exercise,False
155e92b295dfd00133cab276cc1ba95c9a02bc30,2021-12-28 18:24:51,Dan Burton,Update ch9.md with correct IO join per #264,False
c5844c21305358e78f9c2b774e7e5839f9bbf395,2021-08-18 12:36:05,Matthias Benkort,"Merge pull request #627 from suside/master

Publish artifacts as release files",True
ca7a42b6082aa96dfeea51732b18cae14f096d8a,2021-08-17 19:40:16,Maciej Filipiak,"Publish artifacts as release files, fix #626",False
e9e3e5d58197e869ca3c2c057c57afc23bdf45cd,2021-05-01 20:53:12,KtorZ,Point README to Github workflow with pre-generated PDF and EPUB,False
2115c77e89157aab20192ffffae8595c714ba60a,2021-05-01 20:38:02,KtorZ,configure github workflow to automatically build pdf & epub,False
656db9b19f3b283f0cfdb1fc194795a4f6ac6c37,2021-05-01 19:44:10,KtorZ,Pin node version through .nvm dotfile.,False
3f6f6abc4ce717e7eba785ecfcd6aeae585648d3,2021-05-01 19:16:51,Matthias Benkort,"Merge pull request #611 from jacobpmeyer/update-ebook-convert-link

Update Link To Install Ebook Convert",True
177646dcaff2eec161aa9916a49f0ebfe3cfb462,2021-03-09 00:37:35,Jacob Meyer,Update link,False
822af0ce4a15b64ea6470f6dee02cf6fffd39793,2021-02-19 13:36:29,Matthias Benkort,"Merge pull request #601 from dotnetCarpenter/fix_ch11

fixed Isomorphic JavaScript example",True
145f1214c25c54768ef5497c212308adada2a4bf,2021-02-19 00:52:43,dotnetCarpenter,restore white-space characters,False
edc85cd3929c837781789d08dded43ad4e97b3d0,2021-02-16 23:40:59,dotnetCarpenter,"fixed Isomorphic JavaScript example

Also removed trailing white-space characters.",False
2936a2708c91502b88c1410c976f09ec5b3d0ac3,2021-02-08 15:52:45,Matthias Benkort,"Merge pull request #598 from etmoore/swap-append-welcome-with-concat

Swap append with concat in user welcome exercise (ch 8)",True
cc5b577b9f68d9faa72ab351ee61f2480db4ad7c,2021-02-08 15:51:23,Matthias Benkort,"Merge pull request #599 from etmoore/change-upload-param-from-string-to-filename

Change `upload` param from String to Filename in ch 9",True
9bf6c782c833763ac47b7ea1b8591b95858534a9,2021-02-07 17:32:14,Evan Moore,Change upload String param to Filename,False
7d7f5baaa3226dfd52eeaf1a29b8ffdca67f70b0,2021-02-07 01:15:53,Evan Moore,Swap append with concat in user welcome exercise,False
aff5bfd4794e5e4468ae0bf34023d2be63e3ca84,2021-01-20 13:25:53,Matthias Benkort,"Merge pull request #594 from phthhieu/patch-1

Update ch04.md",True
d93db2dab211d2e47a825615a85a66612335aa5d,2021-01-20 06:21:58,Hieu Pham,"Update ch04.md

Update with the latest exercise structure.",False
d1d831da0564e92536affc4c9677e3e6ac512041,2021-01-18 14:12:56,Matthias Benkort,"Merge pull request #566 from purefun/fix

fix: return traverse of Right in appendix",True
88fc015288f6674eed785d1a0f22d36b0829dcc7,2020-04-24 11:18:20,Nil Lin,fix: return traverse of Right in appendix,False
356da9d3c46cee3d66b2ac3b015765a09879cf0b,2020-04-14 13:25:41,Matthias Benkort,"Merge pull request #560 from jonrcrowell/master

Fix typo",True
34b3debff16404aabc4fcb53fa801568d463316a,2020-04-10 03:46:54,Jon Crowell,Fix typo,False
0cdb40ccbafaad272131310d1f834a1e2c146b03,2020-03-23 14:01:12,Matthias Benkort,"Merge pull request #557 from yilmazgunalp/Ch13

fix typo",True
0a75494069826eb310562b587f0dcc1839e57d1b,2020-03-23 14:00:45,Matthias Benkort,"Merge pull request #559 from Croccifixio/ch12-patch-1

Fix firstWords composition",True
f072015b8aa593f204ef1f3ab89f2b05bd9fb6cb,2020-03-23 04:46:45,Emmanuel Odongo,Fix firstWords composition,False
201c98f28ed52be8ac876cce0cc6a4bfa0c6d58a,2020-03-10 15:10:36,yilmazgunalp,fix typo,False
9af13e527b11a663ac44590b7ce84570b411cd38,2020-03-09 06:46:40,Brian Lonsdorf,"Merge pull request #378 from MostlyAdequate/ch13.md

Monoids",True
c7ee8e6c28682d7b6b5206353b3b948e246ebbf4,2020-03-09 06:37:42,Brian Lonsdorf,Update ch11.md,False
e03775c4bf8a121db218793af9820629e50ed342,2020-01-03 16:59:07,Matthias Benkort,"Merge pull request #549 from bouzlibop/patch-1

Fix compose type signature",True
93e3ea7f71da85e99fcd15424d51ec01ce621221,2020-01-03 16:52:39,Matthias Benkort,"Merge pull request #547 from ullasholla/patch-1

ch03.md: update ringer to wringer",True
09c0677a232d649efd4ce5007010057283467f72,2020-01-03 16:51:37,Matthias Benkort,"Merge pull request #540 from andyfleming/patch-1

Ch05: Updates reverse example to use newer array syntax",True
94dcfef51a888d62fa812904465d898c6fba44a7,2020-01-03 16:49:32,Matthias Benkort,"Merge pull request #536 from jameschao/minor-typo

Fix minor typo with comma",True
efe23be2ee4bd5eb81a3c7ea6530395ee9a68966,2020-01-03 16:48:51,Matthias Benkort,"Merge pull request #534 from hasparus/patch-1

Fix a typo in A Spot of Theory example",True
d878e53e111baa70bd467236ad4c0a0a49b4bbb1,2020-01-03 16:47:40,Matthias Benkort,"Merge pull request #533 from guilhermedeandrade/patch-2

fix: use concat instead of append",True
a3c044d2789a376023420f2c0f63806ac4d13b95,2020-01-03 16:46:13,Matthias Benkort,"Merge pull request #532 from bma3131/ch08

ch08.md example fix",True
3802257447e04efb8aafb91c538765b02a832d25,2020-01-03 16:36:02,KtorZ,remove now deprecated hint,False
ffc59c7e655a405a95fd51d69f9d58c6ffce1c89,2020-01-03 16:31:31,Matthias Benkort,"Merge pull request #528 from monkpit/master

Typo: ringer -> wringer",True
ba497e3fc0b7e4d649475f1060cb7761ec7c2f7f,2020-01-03 16:30:58,Matthias Benkort,"Merge pull request #515 from shaharke/fix_pure_log

Fix pureLog in support.js to match the implemenation in the book",True
10b3e6af8a7e6323f82e0cc7dbd9ccae11480876,2019-12-28 14:49:24,Adrian Baran,Fix compose type signature,False
63a8eb3bcabfb647e63924cd0a5d05b0c3d4e94c,2019-12-19 03:47:08,Ullas Holla,"ch03.md: update ringer to wringer

The correct turn of phrase is `""put X through the wringer""` - https://grammarist.com/usage/put-though-the-wringer-vs-put-through-the-ringer/",False
9ff2fffff8036549504dc9b054a3863632714289,2019-12-12 01:59:18,Matthias Benkort,"Merge pull request #546 from Abekonge/patch-1

Added missing link to append",True
608e68b0944a00bf2df37d6d70ee9cd555b0d3fb,2019-12-11 23:40:25,David Walther Birk Lauridsen,Added missing link to append,False
e7fab877ddc0ea1c691a651b990334f346ff6332,2019-11-08 16:13:38,Matthias Benkort,"Merge pull request #541 from braxtonchristensen/fix/ch05/hint-for-exercise-3

fix(ch05): hint change",True
3ae61c4ad5dbd1d1185145034c74b7676e47bd84,2019-11-08 08:31:54,Braxton M. Christensen,"fix(ch05): hint change

- replace `flip` with `append`",False
e9701595cb6091f1b1da6a6b628c0f83c5ea3e68,2019-11-03 20:39:18,Brian Lonsdorf,"Merge pull request #538 from valued-company/master

Ch08: fix findParam to make usage of Maybe reasonable",True
f84bf25c3816f03fe9085b0d42b312741ce43e53,2019-10-04 23:13:53,Andy Fleming,Updates reverse example to use newer array syntax,False
19a3177f8ee33baff759b0dca90e362ce16ac7df,2019-09-09 11:17:30,VladimirLogachev,fix findParam to make usage of Maybe reasonable,False
0cb1ac13271eb4a508be9c4bc53a2335fb8ad6ad,2019-08-14 04:22:48,James Chao,Fix minor typo with comma,False
6c7552baeab73d7aedee12f19a55569273358681,2019-08-03 14:36:19,Matthias Benkort,"Merge pull request #508 from valued-company/fix-ch07

Fix ch07",True
a277ee5df639b345a8fae127a7e4c9c74cb1919e,2019-08-02 20:57:09,Piotr Monwid-Olechnowicz,"Fix typo in A Spot of Theory example

Words in the example are appended, not prepended.

https://codesandbox.io/embed/confident-oskar-i4pmi",False
4f9ac377e66b94d6fdfc4098753cc652282dd821,2019-07-30 22:02:53,Guilherme de Andrade,"fix: use concat instead of append

At line 315, the `fortune` function was defined using `append`, which is not compatible with the expected behavior.
This PR suggests the usage of `concat` instead of `append`, so the output of the `fortune` function would be the expected one.",False
ef01fc768ea08075763bb56fbe26b84d4394fc5a,2019-07-21 13:30:07,Mikhail Bulavkin,ch08.md example fix,False
0104ae63b9eef297eeef9c1bcde0ceca28971e19,2019-07-02 01:01:27,Kyle Pittman,Merge branch 'master' into master,True
d9e6b9c88e0ea49e94630cb9d9417a7a281ae02f,2019-07-02 01:00:03,Kyle Pittman,Fix link to pdf,False
84ff67d9a983a08f033de3a3b5e2190dcac39d1e,2019-07-02 00:58:07,Kyle Pittman,"ringer -> wringer

The expression is ""through the wringer"" - https://grammarist.com/usage/put-though-the-wringer-vs-put-through-the-ringer/",False
d4d8fed7ca2d055c024eb87bce5dc3e720f7ba00,2019-06-27 16:02:01,Pearce Merritt,"reword discussion of how pure functions preserve referential transparency (#523)

* reword discussion of how pure functions preserve referential transparency

* typo: bevhavior --> behavior",False
b25389e627d4910fa06da4c0055013b7e9393fd4,2019-06-26 12:54:51,KtorZ,bump support version to 2.0.1,False
8ad164817b78ed9a4b2b42d074f8e5229e20fa76,2019-06-26 12:50:09,KtorZ,Merge commit '3820d77d06073e3237d819986989a0781ab8105b',True
3820d77d06073e3237d819986989a0781ab8105b,2019-06-26 12:49:54,KtorZ,add missing 'return' statement for 'sequence' in Maybe structure,False
1d1f548dfde0f35b256816f1c23d4d472b1c055d,2019-06-26 12:48:48,Gunnar,"Maybe.sequence missing return

Traversable Maybe missing return in class method sequence",False
044eaadb6761537c1fd1371e9e402f4f5cccbcb1,2019-06-26 12:46:46,Matthias Benkort,"Merge pull request #527 from bhainesva/master

ch09: update markdown to reflect implementation",True
ebb4ed855a58076ca50ab0d169f4df14e10336c6,2019-06-26 02:04:43,Ben Haines,ch09: update markdown to reflect implementation,False
29d8d823576fef2b1f6d9db22f60e41aa3d043f6,2019-05-24 13:21:29,KtorZ,remove package-lock.json files,False
5b5406a11865b72e3784ccbea4ca9d6dba3fcae7,2019-05-24 13:19:33,KtorZ,fix security vulnerability in dependencies,False
