Hash,Date,Author,Message,IsMerge
5b1220d5c25386558350ab737626819f795f7b30,2025-03-19 04:39:09,Andrey Sitnik,Release 5.1.5 version,False
e62fd223e2ac89cd6fa4b0f1ee1d43b9c26296b0,2025-03-19 04:38:38,Andrey Sitnik,Backport changes from 3.x,False
991dc538d4aae629cb35e578515e63d9512cc330,2025-03-19 04:13:12,Andrey Sitnik,Update benchmark,False
523a74ee7a90ac82697478d3eb7c776ee6ce095c,2025-03-16 03:06:05,Andrey Sitnik,Release 5.1.4 version,False
77721550be0746259f428da310099906e3e6c5d9,2025-03-16 03:04:21,Andrey Sitnik,Backport Changelog changes from v3,False
8e456c2de0094c58c0a3ed5c49b7d1a213e04607,2025-03-16 02:59:12,Andrey Sitnik,Update dependencies,False
29025b2c704239adaa4acb5c107c048dcb75a1c0,2025-03-07 17:04:01,Andrey Sitnik,Add the first PR author,False
2839aac29e10b5e40d8da8839f74ef804bb73f0e,2025-03-07 17:03:30,Andrey Sitnik,Fix merge conflict,False
50b6d96aa3e473958c6b3e5f1c585a2888a795b1,2025-03-07 17:02:20,Daniel Steigerwald,"Fix Expo, #468 (#515)",False
32bc9bf2eece720d57538eba890e0d0729d4a45f,2025-03-07 17:01:51,Andrey Sitnik,Release 5.1.3 version,False
fdf72e92afe5c574f1816d4727504bcf5ce41ed0,2025-03-07 17:01:04,Andrey Sitnik,Add 3.x release note,False
8754817e3d15143e67186287816e44d1db29eacf,2025-03-07 14:56:32,Andrey Sitnik,Update dependencies,False
27ee2c4b80dc6ddf7916b6ec933f462945ddf3bc,2025-03-07 14:55:34,Andrey Sitnik,Fix React Native with Metro,False
c0b7b0c33797d4397310bafe517d7e8b65bbf3cc,2025-03-03 03:45:11,Andrey Sitnik,JSR release only for ESM-only branch,False
4c1e6b04ce1ed28f93b0c9644cfd4b4761761c38,2025-02-23 01:17:53,Andrey Sitnik,Release 5.1.2 version,False
d4fb3778a97d12f27968cfb5c2ba91948e42e57c,2025-02-23 01:16:07,Andrey Sitnik,Move module docs to .d.ts,False
a0a1c85424d913289ff7a0c37a71e1823484860e,2025-02-23 01:10:06,Andrey Sitnik,Rename job,False
b66602ebc6e76f80c0916da2798351ed94b1ca9d,2025-02-23 01:09:29,Andrey Sitnik,Release 5.1.1 version,False
6f27f1ef368d97445caa9b3b0bfe62ccf246c8d9,2025-02-23 01:01:16,Andrey Sitnik,Remove Deno since we support it by JSR,False
6ed8f574fab27dd4da130dec5d40fad14e0a1cef,2025-02-23 01:00:31,Andrey Sitnik,Add JSR docs,False
1e2496364d812b3e3afce873e922dca5971d6347,2025-02-23 00:26:47,Andrey Sitnik,Add opaque type for non-secure generator,False
2905bdc86c8f3f544a823a3b2f7ac7c40b4504c2,2025-02-23 00:17:33,Andrey Sitnik,Add main module docs,False
91fd4692a78cad0517a4b9c10e5954ee34bb7276,2025-02-23 00:13:57,Andrey Sitnik,Add JSR release by CI,False
0a15f190cfa75333d43c803653d4889ca7b22af6,2025-02-22 23:38:09,Andrey Sitnik,Fix JSR docs and size,False
5014f1e78d598ba1ff216310d624c2889703fa4e,2025-02-22 23:28:28,Andrey Sitnik,Add JSR support,False
029e8c10103da56d915cce06989fc0c9d214228a,2025-02-22 23:05:52,Andrey Sitnik,Update ESLint config,False
be66774593bebdae48025f8d517f34f3cb5d4aa3,2025-02-17 02:53:08,Andrey Sitnik,Remove Web Worker note since it is widly avaiable,False
e0f79c916ed7996f6a1547e3af4005dfe903ee65,2025-02-15 02:33:02,Andrey Sitnik,Release 5.1.0 version,False
f7862cbf162694e4758f0b69093030d864d07c7e,2025-02-15 02:32:02,Andrey Sitnik,Clean up docs,False
8bba7adb0be925e06763808be17c96947b7a0d66,2025-02-15 02:30:30,Andrey Sitnik,Update dependencies,False
ea64dc7cfb7b12ac244fefe0dfa1f61570a8669e,2025-02-15 02:21:16,Sasha Koss,"Make functions generic so it can cast to opaque (branded) types (#521)

* Make functions generic so it can cast to opaque types

* Add TypeScript section translations to ru, zh-CN and id-ID",False
89f0ab442011db107b6c11a92b49ea9da6cf59c5,2025-01-23 03:09:51,Pol Vallverdu,chore(readme): updated java library link (#520),False
c44cd52b673fb5ff36b050c592d3752d494198f5,2025-01-22 01:35:26,dependabot[bot],"Bump vite from 6.0.2 to 6.0.9 (#519)

Bumps [vite](https://github.com/vitejs/vite/tree/HEAD/packages/vite) from 6.0.2 to 6.0.9.
- [Release notes](https://github.com/vitejs/vite/releases)
- [Changelog](https://github.com/vitejs/vite/blob/main/packages/vite/CHANGELOG.md)
- [Commits](https://github.com/vitejs/vite/commits/v6.0.9/packages/vite)

---
updated-dependencies:
- dependency-name: vite
  dependency-type: direct:development
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
80e803c498b53539350040415445af4c2b066126,2025-01-14 13:59:15,Billy Zaelani Malik,"Add gleam port (#517)

Signed-off-by: Billy Zaelani Malik <m.billyzaelani@gmail.com>",False
90bb934e4eff954087d5f5493dcce87d1a577bf3,2025-01-09 01:51:41,Andrey Sitnik,Clean up docs,False
9dcbd555cdd078c10b24ea05de466cc5bf81c1de,2025-01-09 01:45:50,Andrey Sitnik,Move to pnpm 10 on CI,False
56812196ee0c7c9f4e7941bdc56c07ed0aaf9461,2025-01-09 01:29:23,YitzchakMeltz,"Add instructions for dynamic import in README.md (#516)

* Add instructions for dynamic import in README.md

* Split into ul and add example

* Make example code block more clear

* Cache dynamic import in example",False
