Hash,Date,Author,Message,IsMerge
dd290c0b706b8a8c2f86cfbffaae9c17715b431d,2024-10-04 20:43:03,dependabot[bot],"Bump send and express (#487)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
b893df376b0b29e399f09de7be32e3cacd040c39,2024-10-04 20:35:53,Himanshu Bhatt,Enforce file extensions in imports to comply with ESM standards (#486),False
01b317fc20666a08470f716ca4a0e08cadca1315,2024-09-11 09:10:05,dependabot[bot],"Bump path-to-regexp and express (#484)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
030dff0ff50e6389af84b4004523d9dcd198c84e,2024-09-05 22:59:36,dependabot[bot],"Bump micromatch and lint-staged (#483)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
8122683dbe4dc3ccccb0ef236252658b5c10489b,2024-09-05 22:47:27,dependabot[bot],"Bump webpack from 5.89.0 to 5.94.0 (#481)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>
Co-authored-by: Matt Cowley <me@mattcowley.co.uk>",False
4c3bbc7e467bff04f6d779b5cfb3a5b1fcb9e317,2024-09-05 22:31:39,Asfo Zavala,Fix typos in Spanish translation (#480),False
16af9d1c70be30596f185244fda267aee130aed3,2024-06-21 22:26:36,dependabot[bot],"Bump braces from 3.0.2 to 3.0.3 (#476)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
0513e5fbe2c582a9b7da728eb21d8536afb4ac30,2024-04-03 07:03:29,Matt Cowley,Update do-vue to fix template generation (#475),False
e9a5f85f05211ed3e22fe76e479fbaba5fd73a0f,2024-04-02 18:56:08,dependabot[bot],"Bump express from 4.18.1 to 4.19.2 (#474)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
af54342894703658166178b70e835f309312be23,2024-03-25 22:29:17,goodmost,"Remove repetitive word in test name (#471)

Signed-off-by: goodmost <zhaohaiyang@outlook.com>
Co-authored-by: Matt Cowley <me@mattcowley.co.uk>",False
830cb0d1959f16db952d2dc40b03c5cf376de462,2024-03-25 22:26:34,dependabot[bot],"Bump webpack-dev-middleware from 5.3.1 to 5.3.4 (#473)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
