Hash,Date,Author,Message,IsMerge
c2ab080641c7ebc6f5dc085a4ac074947f48ca58,2022-03-20 04:09:16,Paul Armstrong,end: no longer maintained,False
a213bbc6e7bf328cdd46f61a3367b952dc5f30da,2021-10-25 06:05:06,Paul Armstrong,docs: add maintainer help wanted to readme,False
3d0f233e8ebfe2892e18b721d0c7f77205904847,2021-08-10 19:45:36,Paul Armstrong,docs: clarify that idAttribute functions,False
6c57049a21b1b6689f07576c845629262de5425d,2021-03-21 21:18:47,dependabot[bot],"chore: Bump ssri from 8.0.0 to 8.0.1 (#466)

Bumps [ssri](https://github.com/npm/ssri) from 8.0.0 to 8.0.1.
- [Release notes](https://github.com/npm/ssri/releases)
- [Changelog](https://github.com/npm/ssri/blob/latest/CHANGELOG.md)
- [Commits](https://github.com/npm/ssri/compare/v8.0.0...v8.0.1)

Signed-off-by: dependabot[bot] <support@github.com>

Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
a0bc627a57700e1367189872a518946b485a96a0,2021-01-12 10:55:35,Paul Armstrong,Create FUNDING.yml,False
1f6ae6ad6f3155888a41eacab3ed1e12c07a9c8b,2020-10-17 22:21:38,Paul Armstrong,v3.6.1,False
de44009e90275c6d1a9913025751efc03cd5ec76,2020-10-17 22:18:32,Paul Armstrong,chore: remove example yarn.lock file (#456),False
5aaa67fd4a648242e83c1690b1ae8390e1cb4b0e,2020-10-17 22:10:10,Paul Armstrong,"Merge pull request #455 from paularmstrong/update-dependencies

chore: Update devDependencies",True
fc53e5b0c826c7f97dd653aea5f4d2da217c9f54,2020-10-17 22:03:15,Paul Armstrong,"ci: use node 10, 12, 14",False
239107107f4d39f42779e9f611ecdbe2c4166b02,2020-10-17 22:00:16,Paul Armstrong,chore: upgrade rollup,False
a46a7a4950b3aec448d420932ac64bef369ea482,2020-10-17 21:59:58,Paul Armstrong,"chore: upgrade npm-run-all, rimraf",False
784c44457d5d846fede2477afb209dad80ea80de,2020-10-17 21:59:51,Paul Armstrong,chore: upgrade babel/jest,False
dc16e804832472d06e8b962502af25d1c3ca241e,2020-10-17 21:48:01,Paul Armstrong,chore: upgrade coveralls,False
9c8e344a7532fc1d57bfc158a0a8fbf3d86b348c,2020-10-17 21:46:12,Paul Armstrong,chore: upgrade flow to 0.136.0,False
