Hash,Date,Author,Message,IsMerge
e1a8b7fb6e059085df5f83c45d3c2308a147ca18,2020-04-19 06:22:31,Rico Sta. Cruz,Merge pull request #220 from rstacruz/dependabot/npm_and_yarn/jquery-3.5.0,True
f236a2f8fb3b75e9c0052e93d187d953db06fe8b,2020-04-19 06:17:40,dependabot[bot],"Bump jquery from 2.2.4 to 3.5.0

Bumps [jquery](https://github.com/jquery/jquery) from 2.2.4 to 3.5.0.
- [Release notes](https://github.com/jquery/jquery/releases)
- [Commits](https://github.com/jquery/jquery/compare/2.2.4...3.5.0)

Signed-off-by: dependabot[bot] <support@github.com>",False
9864fc6b7dd0117219eb67d941ac1f4e92c36279,2020-04-19 06:16:54,Rico Sta. Cruz,Merge pull request #217 from anyclub/master,True
c53348981400fb50ba24c902f9cf4bafdea9d377,2020-03-23 15:11:48,anyc,set dom,False
a0ab16ccdaca501d8d9881a4da1d691f4e6c4dda,2017-12-07 16:52:02,Rico Sta. Cruz,Remove codesponsor.io badge,False
4fe140dc20aba6c94887740e7b192453bf227c72,2017-10-10 08:38:50,Rico Sta. Cruz,"Merge pull request #190 from LukasDrgon/patch-1

Add jsDelivr hits badge",True
2987cbc2e7e96c41af7270cea295bd203021e021,2017-10-08 23:04:13,Lukas Drgon,Add jsDelivr hits badge,False
9fa882223375b3c5dfee2285a807b2021f416929,2017-09-18 11:38:01,Rico Sta. Cruz,Readme: update appearance a bit,False
d01d50fb45d606f6f0c8b199b7f50734d24bd209,2017-09-18 11:34:25,Rico Sta. Cruz,Readme: update code badge appearance,False
6bcf12a764c806cbddca67b772a6a29c42880b30,2017-09-18 11:18:42,Rico Sta. Cruz,Readme: add codesponsor.io badge,False
b9c6eeea53a2a28c2b5851a73e3fc1de92c2a891,2017-09-09 16:27:52,Rico Sta. Cruz,Readme: fix gitter link,False
debf0cf40f6b465af3844f6bc76f66e8b16a6919,2017-09-09 16:26:38,Rico Sta. Cruz,Readme: follow common formats more closely,False
fe912b9777111adbe65aacf49c116de9adb7ec1b,2017-09-09 16:24:23,Rico Sta. Cruz,Readme: lessen references to bower and spm,False
5b86b18168268d47f588ce48d946c443ce8625b7,2017-01-04 07:15:36,Rico Sta. Cruz,"Merge pull request #148 from statmuse/smoother-trickle

Smoother trickle",True
d68df8d5608112d6c8abb5658fa5515471eaaabc,2016-08-11 15:48:42,Rico Sta. Cruz,Update Turbolinks 5+ instructions,False
2a078a2303c3b6d3ea8bbe3a3ba723c34dcdd8a6,2016-07-01 20:03:39,Tyler Brown,better defaults for smoother trickle,False
8845ea0fd0b76bfd32394170bffcb70f6c1cf7cd,2016-07-01 20:02:50,Tyler Brown,smoother decelerating trickle,False
