Hash,Date,Author,Message,IsMerge
e16cb1982e944ae7edb69b1abef1436dd16b442d,2018-06-04 03:56:00,Ben Gotow,Add an Issue Template noting that Nylas Mail is unmaintained,False
653ff9b44a16468ef37dc109a39ef604d1369ff9,2017-09-07 02:32:01,Evan Morikawa,Change Nylas Mail to MIT License,False
f60437ff0c0ab7351031833212d62c596895f696,2017-09-07 02:30:40,Ben Gotow,Update README to fix links to packages/client-app/,False
cb1a75534e2e6651a6559ab959053649d63e06ae,2017-09-07 02:28:00,Ben Gotow,Update README to fix hardcoded links to nylas-mail-all,False
b70e2db1cbef182c82ca2a1309ddcd1a454d84a8,2017-08-23 00:37:56,Juan,"Merge pull request #2: Cleanup in preparation for open sourcing

Cleanup in preparation for open sourcing",True
8d700e74f6045f6c79d600fb438b7c25b90286d1,2017-07-29 04:21:25,Ben Gotow,[Sentry] Remove DSN - don’t want errors from OSS,False
ac5dd64823b68302c89b3fc61948875eed92f262,2017-07-27 10:25:30,Ben Gotow,[*] README: Preserve blog posts and add them to resources,False
a8cd8db7b5c20a2dc5dd19c0a27700cc103b6b42,2017-07-27 10:17:28,Ben Gotow,[*] README: Move explore source section beneath Running subhead,False
cae19b190cba052b2c297380b612887681570a01,2017-07-27 10:14:29,Ben Gotow,[*] README: Replace horrible themes screenshot with a better one,False
8ae2d00634724a3632c860bf93840f3dcff11730,2017-07-27 09:46:09,Ben Gotow,[*] README: Fix broken Kleinstein link,False
7177ef51adb94d2d996a5be1d2707836a6f45003,2017-07-27 09:44:04,Ben Gotow,"[*] Update README to make deprecation more clear, add videos",False
5b49a298e35a1e6d36ad80d2e17ddc1c2b3e8798,2017-07-27 09:34:13,Ben Gotow,"[*] Update READMEs, remove Nylas-specific cloud instructions",False
548b17f5e70d4831d873f06bbb1706f38c65198d,2017-07-26 22:55:25,Ben Gotow,[client-app] Remove remaining references to upload-client build step,False
ea643a0bbd2fb3ecc817108c54a65622c763603e,2017-07-26 22:55:10,Ben Gotow,[client-app] Add screenshot,False
b2edfa67e8b3b688b98863523202ed56590b156b,2017-07-26 21:50:33,Ben Gotow,[cloud-*] Remove development config tied to Nylas,False
25a3e6723933b426eaa3985c63d25f0e00a6946e,2017-07-26 07:26:49,Ben Gotow,"[*] Add missing(?) config files, make entire `npm test` suite run green",False
34d474710f61e4fdaa62627c0468a5573dddaece,2017-07-26 06:49:27,Ben Gotow,[client-app] Disable specs failing for unknown reasons,False
7e963e3d466502f8e177f12df717448820503d58,2017-07-26 06:36:28,Ben Gotow,[client-app] Fix broken specs,False
360d8161e2e821ea684b9ce424deb5d032070e66,2017-07-26 01:08:05,Ben Gotow,[client-app] Fix double handling of unhandled rejections,False
2ea7c18b27ebf4544719e8fb14802a11e06bab25,2017-07-26 00:49:24,Ben Gotow,"[client-app] Always send a password, even if no identity is present",False
a40a87d6a35e3bae20fc2df7fa40f4ea2d74ff46,2017-07-25 10:26:32,Ben Gotow,[client-app] Link to gh-pages from docs folder,False
e84ad9b3b89eb069cb63c367d382c199584168ad,2017-07-25 10:18:14,Ben Gotow,[client-app] Remove the “identity” tab for managing your subscription,False
472a76c0d41e187b70dcf31fcb9907a16951a813,2017-07-25 10:13:21,Ben Gotow,[client-app] Disable snooze by default since it requires cloud support as well,False
294d1535f1e58bf53cba20dc6eaab5001e261882,2017-07-25 10:10:33,Ben Gotow,[client-app] Only use account presence to decide whether to open onboarding,False
6d68fe0c62955b81f7ecf1823a0555511c27bc19,2017-07-25 10:07:40,Ben Gotow,[client-app] Remove old “Edegehill” API used to proxy clearbit,False
3270077baaad1bb4abd5a0add28b5565410eaa44,2017-07-25 09:59:48,Ben Gotow,[client-app] Remove newsletter signup in preferences,False
be3badb769e8eb2173e21438316d3d8d55bc173d,2017-07-25 09:52:39,Ben Gotow,[client-app] Rename the send-later plugin for consistency,False
2d419765f412b1212989f037b9546d8eb9d5e4b8,2017-07-25 09:49:50,Ben Gotow,[client-sync] Stop sending sync performance metrics to Honeycomb,False
6507e831ba3df61a72a532bb164a77dc8d46c46e,2017-07-25 09:46:20,Ben Gotow,"[client-app] Remove welcome tutorial, which depicts cloud plugins",False
a782d72a2c508f52b7e2ec8ed9b6a37d5fdb879c,2017-07-25 09:44:15,Ben Gotow,"[client-app] By default, disable plugins that require a Nylas ID",False
