Hash,Date,Author,Message,IsMerge
470747c7007c8335981ea7a10a631bbf9bbb11f7,2023-09-30 20:04:33,Dan,Update README.md,False
07881c01cff6f8d062afb8e41fcdb35f6c1fa46e,2021-12-20 12:35:23,Dan,Update README.md,False
062594a560520fb4e469b675c40832648bf4a370,2021-12-20 12:33:20,Dan,Update README.md,False
777f597672c9094c62dc9451aaaf2ebf4898edd0,2021-12-12 02:42:17,Dan,Update README.md,False
9aa42d3f2415c87dcc77a20e2fba9f246c69ccc7,2021-12-12 02:39:30,Dan,Update README.md,False
54dc9deda3c28cab7896d0dff9b239abb68b7502,2021-10-07 04:37:46,Danh,Update README.md,False
7a576fe58ed1efa6151c5a8b792655caa628bd7e,2021-10-07 04:25:02,Danh,Add Brave support,False
95928a960d8632af8a3e2555e7b7eb674fd57b4d,2021-10-07 04:24:11,Danh,Add brave logo,False
fa66781c8257a6a4e6416833e0aa2483cf3ad612,2021-10-05 00:44:37,Danh,Update README.md,False
582c1d6127a6d4b5bce6c9a6b5cf28d31077ae79,2021-03-30 13:58:05,Danh,Update README.md,False
51b82d2d4b63283d6f6409ac1dae3e8f678db36d,2021-03-01 10:38:12,Danh,Update PULL_REQUEST_TEMPLATE.md,False
ca97112d19415a538e26c3c74189b025acbf61f6,2021-03-01 10:35:44,Danh,Delete FUNDING.yml,False
6455e748d9cf2358d5f3dadeb5735bcaa8b782f2,2020-12-10 09:53:11,Buu Nguyen,docs: update support info,False
425325df0be5adf01fedbd7701864b823fdde6ca,2020-12-10 00:59:30,Buu Nguyen,Remove code #1046,False
8736d8ec9cf9355c6af389e244cf3698c89c9c4b,2020-11-12 00:49:47,NDQ,Update README.md,False
250a40a02f0dfb4334fe4ff26d838ed1493e3e36,2020-11-02 23:12:31,Buu Nguyen,"Update README.md

Remove outdated note",False
3b6b83db607b2d606a838d73aa4f5fee391b794b,2020-11-01 04:21:46,Buu Nguyen,Revert LICENSE,False
64c934ec3ffc022b2f840c348690cb87019d70ad,2020-10-31 23:13:55,Buu Nguyen,Update README.md,False
4c50927274913626c4a9c569b6c553c2c84d0008,2020-10-28 03:53:52,Buu Nguyen,Add missing assets,False
985b70319a1a0f3518a02d1bee639caaf25a0fe4,2020-10-28 03:51:11,Buu Nguyen,Update README.md,False
9da83c47a07e57b55433b0c6ad3515bb43f88f1b,2020-10-28 03:41:19,Buu Nguyen,Delete LICENSE to stop the trolls,False
aa532ae2b71ce6eb4ad29fcfede442b7151046ec,2020-08-16 00:47:32,Buu Nguyen,"Okay, markdown, you win",False
088bde4926751659190c35a0704dc7d0cf48b561,2020-08-16 00:45:26,Buu Nguyen,Fix markdown (hopefully),False
43fbd29a492ceadc88841d88278d7eb7e22c2926,2020-08-16 00:44:08,Buu Nguyen,Image too bigs,False
c8010802f5f04bd3f52e1aa7662f1a35c3470303,2020-08-16 00:42:36,Buu Nguyen,"Add download links, move credits to website",False
01989a1480f150271bfdf3cb48113fe02caf49ca,2020-07-03 04:51:06,Buu Nguyen,Point to online user guide,False
56d13e8df5ecddc2f8c1f0afe80f35c654dd20ef,2020-07-03 04:50:24,Buu Nguyen,Update fund file,False
481ca350caa352a1ad625ce45673c4be87460b2f,2020-07-03 04:50:08,Buu Nguyen,Changes are now shown in extension,False
98944fd6a99d9865de0d15d9fc4fbd630dfb64d6,2020-07-03 04:46:44,Rico,fix: fix header height error at large layout (#932),False
5c16b62f6e36fef1b8b249a217d28bc4316f80c6,2020-07-03 04:46:44,Zac Anger,fix: don't render on sponsors pages (#927),False
b5db40ea94ff273afcbb798154b37feaf5855dce,2020-02-06 11:28:30,Buu Nguyen,Fix bug sidebar not close on mouse leave,False
e11d3817968ab21c757485ca0ae52d322b689891,2020-01-22 12:26:15,NDQ,fix optsView toggler state (#876),False
058eb87b438e837aeffd625b97cfcd76504c554c,2020-01-21 21:25:52,Buu Nguyen,Merge branch 'master' of https://github.com/buunguyen/octotree,True
8d6db6884646e3080e85dd8cf792f1cc177bcd8b,2020-01-21 21:25:42,NDQ,Sync extStore between tabs (#869),False
9d331e17911ea21a3f37bc9d4bd7632574c0d38a,2020-01-21 21:25:01,NDQ,Fix layout when sidebar is pinned (#871),False
6a362bcc4be41b6f2f93093ce17291b896d04527,2020-01-03 14:51:48,Buu Nguyen,"Revert ""Fix layout on New PR page"" (#870)

This reverts commit d6200d8d0ac7ec2a96a51073360736dc5190c425.",False
dc3464863d2d3ac53d50f26fc8c48af122e63d26,2020-01-02 01:21:22,Buu Nguyen,Merge branch 'master' of https://github.com/buunguyen/octotree,True
5a5956473dedf6ea1458f0c7ebb7df101877d1f0,2020-01-02 01:21:17,Buu Nguyen,Reduce mouse out timer,False
d6200d8d0ac7ec2a96a51073360736dc5190c425,2020-01-02 01:20:59,NDQ,Fix layout on New PR page (#865),False
3f6e59e969a829bc32b744f05112dd8c53ff170a,2020-01-01 13:23:30,Buu Nguyen,Fix bug re-dispatching to DOM,False
31cb347ae59ff5bf3694437e1c5ff58eb4590cc2,2020-01-01 00:30:56,Buu Nguyen,Fix branch selection,False
7cd7ed9c4f93236d85548ce0dbaf8299e792fff7,2020-01-01 00:01:27,Buu Nguyen,Merge branch 'master' of https://github.com/buunguyen/octotree,True
bb77ca4b14784bd0d7c4bcfc143f4fd1b723cb2f,2020-01-01 00:01:19,Steven Noto,Show pull request head with branch name. Fixes #542. (#813),False
fa1a0e73122eb4affda36ab35c4774f6fe6f12a2,2020-01-01 00:01:01,Buu Nguyen,Fix branch selection,False
0151671104a90a4e403da548191574711f0314cf,2019-12-31 23:25:33,Fahme Bnchi,Fix bug in PR list page (#863),False
bb1de414ac8ab13c92b4ed4ed25d15c038441345,2019-12-31 01:06:13,Buu Nguyen,Add comments,False
44fdb80e117aef01c30d8b50cd219953af11dc3e,2019-12-31 00:49:58,Buu Nguyen,Cleaner re-entrance fix,False
7ef24857b32dd08e5373664caf9623e0c89a4002,2019-12-31 00:44:56,Buu Nguyen,Handle re-entrance,False
0530bf6ebe1a8efa95b228d22b0aee8ed3280cc0,2019-12-31 00:27:04,Jacob Dreesen,Dispatch `pjax:end` event on native `document` (#861),False
0ee6bd37a2a4757a6bd1f983805bf56c3b85afd7,2019-12-26 06:58:38,Buu Nguyen,Trigger repo loaded event,False
03a13ba3d8b4588b74f1d0f42f566b21aead647b,2019-12-26 06:52:26,Buu Nguyen,Refactor,False
5062234bf9cfba4b501fa6676799c2520e07569d,2019-12-17 23:18:51,Buu Nguyen,Update readme,False
0766ae404d6b84314a103e0d2b7aef937fb151c2,2019-12-17 04:56:23,Fahme Bnchi,Fix open all nodes in PR mode (#857),False
c383277b75ddcafb9ce37a04de01720de1bcf5b8,2019-12-14 13:41:56,Buu Nguyen,Update readme,False
f84cc3b9edb1ecdf102ecdc950a6964897622375,2019-12-14 13:39:03,Buu Nguyen,Update readme,False
44fa0ddf003c1d745d084b2c62f3a9765dd8505e,2019-12-13 08:39:41,Buu Nguyen,Update verbiage,False
c9aae2fc2167b84ed9b4ee3a7ce6660b95ccb4da,2019-12-13 07:23:11,Buu Nguyen,Update readme,False
35b78ee6a34635613d6d74d9ac2e941099d3adaa,2019-12-10 00:28:08,Buu Nguyen,Typo,False
55c527d7fc676a8252ebcc34391b05dbb387f56e,2019-12-10 00:23:15,Buu Nguyen,Update readme,False
96dd87509c7247fc87b064e94444ad5e225bcbac,2019-12-09 23:54:26,Buu Nguyen,Update setting screen,False
8a4ca0877b0c7a9b772b83dd6a5f8e8fd73340e7,2019-12-06 11:27:43,Buu Nguyen,Verbiage,False
be87b3d9720c9417da53493b908b78a039c9f626,2019-12-05 07:21:55,Fahme Bnchi,Add check for valid timestamp in huge repos store (#852),False
0b77a58a708fb33aba07295b6ef3d95be5b5707a,2019-12-04 09:05:52,Buu Nguyen,Verbiabe,False
ca2ee408220dcba10495e0eed6ac0044921bc744,2019-12-04 09:03:39,Buu Nguyen,Change to lazy load,False
8cae4e6c1c29b8eec3d6c377c2d2217be6223b51,2019-12-04 08:53:38,Buu Nguyen,Refactor should load entire tree,False
e1ea15993cecd94bd0d43d6138296510060032cf,2019-11-29 11:37:28,Buu Nguyen,Update readme,False
8f8469dbb2c6e1e2b235109ae92fa5bdd26af5b7,2019-11-27 04:15:51,Buu Nguyen,Update readme,False
7f3507c2abbc54d4a84f465a8d34bb8055762da0,2019-11-26 09:13:45,Buu Nguyen,Update instructions to enable GHE,False
7c2e71900f5f04a0fa37643eea532416e4555da0,2019-11-25 05:02:06,Fahme Bnchi,Fix scroll in safari (#846),False
f22761f6bdae0e399d36235021e80002e9ed41ee,2019-11-24 10:31:06,Buu Nguyen,Fix safari,False
2b561e9b5731e4bdeb260636ba24b31c4b8f4d43,2019-11-24 07:55:29,Buu Nguyen,Refactor storage,False
8db0af9929df0222e057225797eab623f54e59ab,2019-11-24 07:55:20,Buu Nguyen,Fix error view not shown in private repo,False
8a893d98b4ba819e9d9c864abc382bf173480239,2019-11-24 05:37:46,Buu Nguyen,Merge branch 'master' of https://github.com/buunguyen/octotree,True
2673625c8546d648306268443fea02741de1b114,2019-11-24 05:37:41,Buu Nguyen,Delete unused screenshots,False
8d5a7101d5f6c78e691f7d87f1ea3d5a6fdbe002,2019-11-24 05:33:59,Fahme Bnchi,Fix storage in safari (#845),False
8be9bd6b0dbf8d782ce40c4f88cd3ef8533ffb78,2019-11-22 19:39:00,Buu Nguyen,Update readme,False
b55181d8929e969ed4641ebe7d3a2cf27a3579c2,2019-11-22 19:31:40,Buu Nguyen,Make content even clearer,False
8bb95116e81933db7bad2b4647686c91db889623,2019-11-22 19:30:31,Buu Nguyen,Update readme,False
eae909d890ffba7bd8d540a0a5788471cf0de4c1,2019-11-22 19:25:16,Buu Nguyen,Update readme,False
b900d190b0af6d02b261959968fb23a8b66a2129,2019-11-22 19:22:48,Buu Nguyen,Document browser permissions,False
4bae1455fec815a7055c5879bb8c7e48c2274256,2019-11-22 12:36:09,Buu Nguyen,Remove chrome driver,False
c46ade63b0d3bf7243795f8a4443225724d1fdef,2019-11-22 01:13:06,Buu Nguyen,Remove footer view,False
549daa8c0c84e6da5fb5ac4d7ae2d97912667783,2019-11-22 00:50:41,Buu Nguyen,Merge branch 'master' of https://github.com/buunguyen/octotree,True
f730a1b170d0a971b6b467ffb86c7bb40c81a581,2019-11-13 13:29:47,NDQ,"Fix _getSubmodules & make shouldShowOctotree async (#840)

* make shouldShowOctotree async

* fix ajax handler in _getSubmodules",False
22e9b39f536092490f93dee8aba7e9a0141acc0a,2019-11-11 16:49:41,Danh Nguyen,Replace PR #837 (#838),False
dc5e1ec4ffd0f5047dc5b8c9d9da5604c3b01659,2019-11-07 09:54:49,NDQ,Allow saving object to storage (#836),False
ab2495a7796764214faff93438cc22561d8d493e,2019-11-06 16:57:55,NDQ,Change the global storage (#835),False
cc60d85da02a5f817f1b4c222207779398f94280,2019-10-30 04:58:19,Fahme Bnchi,Refactor adapter (#832),False
28a12e9d987fe69715a3a7be947413a4f41a975c,2019-10-24 07:04:14,Buu Nguyen,Update gif,False
2febd3f68ba4dd8eec9cf9fcb18391a3a22e0f11,2019-10-23 10:28:36,Buu Nguyen,Merge branch 'master' of https://github.com/buunguyen/octotree,True
