Hash,Date,Author,Message,IsMerge
8df4a2670b98266bd287c698243fff327d9748cf,2025-02-21 17:00:16,JustSong,docs: update ByteDance Doubao model link in README,False
7ac553541b6b5fd4fda63663bb3dd304f57a1d6c,2025-02-16 15:31:59,longkeyy,feat: update openrouter models and price 20250213 (#2084),False
a5c517c27a831ba5553802125fa6350486502216,2025-02-16 15:31:24,longkeyy,feat: update ali models and price 20250213 (#2086),False
3f421c4f04c9a63b26f5e0be4055989beb16b0b6,2025-02-16 15:29:39,JustSong,feat: support Gemini openai compatible api,False
1ce6a226f634e5111e3af780dc1e3021813b1c1b,2025-02-16 15:12:20,JustSong,chore: update prompt,False
cafd0a0327f74e98cad521bc4bd2f48094e4cfe9,2025-02-16 15:08:06,JustSong,feat: add OpenAI compatible channel (close #2091),False
8b8cd03e856a6dc467e06b86027f40a02b39bba3,2025-02-11 22:50:28,JustSong,feat: add balance not supported message in ChannelsTable,False
54c38de8132c57360ecc5cf149c06b2690f5ea80,2025-02-11 22:45:45,JustSong,style: improve code formatting and structure in ChannelsTable and render helpers,False
d6284bf6b09650d93e2e02a3c4640168dd6bbd92,2025-02-11 22:16:13,JustSong,feat: enhance error handling for utils.js,False
df5d2ca93d14b4dc386000b6a59326dc3cde1c60,2025-02-11 22:05:29,DobyAsa,docs: fix README typo (#2060),False
fef7ae048ba08cce8e8d4cbd4c07f589930e26d6,2025-02-11 22:04:25,Laisky.Cai,"feat: support gemini-2.0-flash (#2055)

* feat: support gemini-2.0-flash

- Enhance model support by adding new entries and refining checks for system instruction compatibility.
- Update logging display behavior and adjust default quotas for better user experience.
- Revamp pricing structures in the billing system to reflect current model values and deprecate outdated entries.
- Streamline code by replacing hardcoded values with configurations for maintainability.

* feat: add new Gemini 2.0 flash models to adapter and billing ratio

* fix: update GetRequestURL to support gemini-1.5 model in versioning",False
6916debf6638cde1302b6ba3b789442027d227d5,2025-02-11 21:58:23,JustSong,feat: update TestPrompt to specify output format for model name,False
53da2091346e0b7e725433bfa8a0a4fdff6dac69,2025-02-11 21:45:43,JustSong,feat: add AliBailian adaptor and update channel options,False
517f6ad21141c2574a4e1a65004b07ef5607a2b0,2025-02-10 23:18:26,JustSong,feat: update date range to display at least 7 days of data in Dashboard,False
10aba11f18c32fcfec1295cefacfaf3bf8e64c63,2025-02-10 22:08:15,JustSong,style: improve code formatting in ChannelsTable component,False
4d011c5f98e7e5c40945a2afd2434eb550fa404a,2025-02-10 22:05:06,JustSong,feat: add OpenRouter balance update functionality and improve code formatting,False
eb96aa635e693d620201e73f7a4a824150b07e3e,2025-02-10 21:50:55,JustSong,feat: update OpenRouter channel name and add model list for OpenRouter adaptor,False
c715f2bc1da22412e44d719bbdd4a7a380f7cc0c,2025-02-09 18:51:28,JustSong,feat: add new models for xai,False
aed090dd55e1248446b77172e970ccbdbb7f5c7f,2025-02-09 16:39:53,JustSong,fix: fix cannot select test model when searching,False
696265774e930e24552e3c25e474fe8a779ce97b,2025-02-09 16:25:32,JustSong,feat: add MiniMax model constants to the adaptor,False
974729426deabb6a7b0e276b980829da5f00b9da,2025-02-09 16:20:51,JustSong,feat: refactor Xunfei API version handling and update model list,False
57c1367ec88438b6d8fd334add6cf22d6ce1f097,2025-02-09 16:01:54,JustSong,feat: add Xunfei V2 channel support and update related configurations,False
44233d5c04e04625b660f0c43a51dd50d4b5192c,2025-02-09 15:44:01,JustSong,feat: add completion tokens details and reasoning effort fields to model (close #2050),False
bf45a955c33257e2745130529d06d00b41ab013b,2025-02-09 12:11:42,JustSong,fix: update system prompt handling by renaming field and ensuring proper usage in request processing (close #2069),False
20435fcbfc4df1e498fe3cfbefd00f96a7c2f682,2025-02-09 12:03:25,JustSong,fix: simplify Docker build configuration by removing unnecessary platform and architecture settings,False
6e7a1c2323b1d0ff2420aaca667237dfd77eb4d9,2025-02-09 10:12:31,JustSong,fix: format channel options for consistency and improve tips for user guidance,False
dd65b997dd833b13ce3c9151cac93f657db2e8e0,2025-02-09 10:07:26,JustSong,feat: add Baidu V2 channel support and improve model handling,False
0b6d03d6c65aa8974b075c6f75f222e8865f53fb,2025-02-09 09:38:40,JustSong,fix: update channel name from '火山引擎' to '字节火山引擎' for consistency,False
4375246e249a18d927423c61e2e89b335de89efc,2025-02-09 09:33:31,JustSong,feat: enhance channel options with tips and descriptions for better user guidance,False
3e3b8230ac138cc3279ccc65fd32b8121a66880f,2025-02-09 08:32:45,longkeyy,fix: add read/write locks for ModelRatio and GroupRatio to prevent concurrent map read/write issues (#2067),False
07808122a64995f3a483093bf90071fe070bcc71,2025-02-09 08:27:22,JustSong,fix: fix Debugf not using DebugEnabled (close #2068),False
c96895e35bdd44c066ed35fde56d34cb21a2cd4e,2025-02-07 21:37:55,牡丹凤凰,"docs: add related project CherryStudio (#2059)

* Update README.md

增加相关项目CherryStudio

* Update README.en.md

* Update README.ja.md",False
2552c68249d180add4ccfdae7ae4c47380d2e9e1,2025-02-06 23:21:28,JustSong,fix: update doubao channel name,False
5c81e40612fc5061bb392dba6c059e8dd63d49dc,2025-02-06 23:05:53,JustSong,fix: update Dockerfile and workflow for improved multi-architecture support,False
0d5318b1b756ec00cee849ef13e37c577cdbab42,2025-02-06 22:45:33,JustSong,"revert: fix: revert sqlite build related changes

This reverts commit db65db28077ee66aa23ef4bb673bbde2f9ac832e.",False
db65db28077ee66aa23ef4bb673bbde2f9ac832e,2025-02-06 22:18:23,JustSong,fix: revert sqlite build related changes,False
e0b7e6a9e286b533ed76bd178f637c27497e0056,2025-02-06 22:09:55,JustSong,fix: unify version retrieval in Dockerfile build commands,False
27c2abe80f419d0095514753dd5342f1dfb590f3,2025-02-06 22:03:15,JustSong,fix: update Docker setup actions to latest versions,False
2c867251b5a0675726ed6fcc3f54a442259a78e2,2025-02-06 21:53:13,JustSong,fix: improve code formatting and readability in Dashboard component,False
108111ebd32172f24ce136495077ad0469300bc4,2025-02-06 21:49:23,JustSong,fix: exclude preview tags from release workflows,False
293ba93ad688b6a51ca2834be7752ebdd723d02b,2025-02-06 21:43:57,JustSong,fix: remove outdated model from ModelList and add new deepseek models,False
faced40d5ba46c7b0491fc5ee370b2b3543d5a31,2025-02-06 21:36:32,JustSong,fix: update Docker image workflow to conditionally include arm64 platform,False
2ae9997f29d80199de2fe9cdfbbed971d60939d1,2025-02-06 21:33:00,JustSong,fix: enhance error handling for Gemini API key validation,False
e146b14d462c0f02bdd274537232658e1a30bc15,2025-02-06 21:31:38,JustSong,fix: add default API version handling and enhance error message checks for Gemini,False
e19045f925bccdc0e097b1ad457f490bd32621c3,2025-02-06 21:08:29,JustSong,chore: add deepseek-reasoner,False
d2903b673db4a1589be78e8dffa33c051cddf047,2025-02-04 17:37:05,JustSong,fix: update SiliconCloud link in README,False
33edcf604cdceb0a6daecd99ee090694b50f0d52,2025-02-03 15:52:59,JustSong,feat: add balance_not_supported translation to English and Chinese locales,False
78fd6ef1611f98cf19d7da6049f074fc636e85e0,2025-02-03 15:45:44,JustSong,fix: update README for clarity on stable and alpha image addresses,False
9b6d5f76e0f52e81ba7b6074cb1037c7f8645043,2025-02-02 21:41:43,JustSong,fix: enhance douban_notice_2 for clarity on model name conversion,False
2250f311e1482c4bed1faf4bf7fb60cd9f99bfe5,2025-02-02 19:55:52,JustSong,feat: add latest version of Claude model to constants,False
e43f75862399be1b01ea739cc9dbefd8d303eac9,2025-02-02 19:54:31,lyj,Update model.go (#1963),False
6ded638f70962ace1b34beda2262d1fbb0517269,2025-02-02 19:52:42,江南一根葱,fix: audio transcription 400 error (#1882) (#2003),False
