Hash,Date,Author,Message,IsMerge
377b927aa079ba53c82403f2583a7245ffad0970,2025-03-18 11:27:05,kit,"Merge pull request #7634 from processing/all-contributors/add-lab-mediaArts

docs: add lab-mediaArts as a contributor for ideas",True
310ae765fc7584a7a720c6510da8defb2304a7a3,2025-03-17 22:17:06,kit,Merge branch 'main' into all-contributors/add-lab-mediaArts,True
608d7dccf1cea5aefec659ecdd9b3670bf8ada9a,2025-03-17 19:35:07,kit,"Merge pull request #7632 from processing/all-contributors/add-roxi09

docs: add roxi09 as a contributor for ideas",True
59dc550cef5cbb32866620ef4e45dcb73c15d278,2025-03-17 19:25:27,kit,Merge branch 'main' into all-contributors/add-roxi09,True
12c207df178d3cbc5217b17047ad6417fb135064,2025-03-17 19:24:28,kit,"Merge pull request #7630 from processing/all-contributors/add-jlliu

docs: add jlliu as a contributor for ideas",True
91d2997176886a3a95c61f472a716da426211590,2025-03-17 19:19:42,kit,Merge branch 'main' into all-contributors/add-jlliu,True
1a20100c291a121d07a2a68db7152468c57bdc77,2025-03-17 19:18:34,kit,"Merge pull request #7573 from processing/all-contributors/add-ChloeYanYan

docs: add ChloeYanYan as a contributor for doc",True
59552baf2505533feacb94d69844003769eb05e2,2025-03-17 19:05:24,Dave Pagurek,"Merge pull request #7639 from processing/all-contributors/add-franolichdesign

docs: add franolichdesign as a contributor for bug, and code",True
d9d4a3c214b64750f287344b29faa6173209a755,2025-03-17 19:05:11,allcontributors[bot],docs: update .all-contributorsrc [skip ci],False
22ee83eb5ace40b1d40c73010778d6ec11d634d7,2025-03-17 19:05:10,allcontributors[bot],docs: update README.md [skip ci],False
8b75a284f128ed350ee36f9fb82b83057edaad42,2025-03-17 19:01:44,kit,"Merge pull request #7633 from processing/all-contributors/add-re7l

docs: add re7l as a contributor for ideas",True
ed0b26c78e4957cfbd5d370f280edddcb8575a2b,2025-03-17 18:56:38,kit,Merge branch 'main' into all-contributors/add-re7l,True
9311bc6b37c2cdb3d3134239130f840d20f90296,2025-03-17 18:53:47,kit,"Merge pull request #7627 from processing/all-contributors/add-himanshuukholiya

docs: add himanshuukholiya as a contributor for code",True
