Hash,Date,Author,Message,IsMerge
217018dbc46dcd4118dd6f2c60c8d97010c587f8,2024-08-17 03:26:08,Jared Hanson,Update README.,False
1b152810fbec35b5cb3ac407cae8efe76ba124cf,2024-08-17 03:24:35,Jared Hanson,Update README.,False
b43cea1bbc2f517c1110a990515322ed43aaf093,2024-08-17 03:22:02,Jared Hanson,Update README.,False
940002f607d9fce4f801759b64c7634104cc5e31,2024-08-17 03:19:14,Jared Hanson,Update README.,False
1e05d6cdd477d57379324b8667cc327e73df686b,2024-08-17 03:10:38,Jared Hanson,Update README.,False
d3d945d45ed2a0c7859a889c2257144c796eccb5,2024-08-17 03:07:59,Jared Hanson,Update README.,False
97d7eff12b27593b02f6770086fcd1af24726cf6,2024-08-17 03:06:18,Jared Hanson,Update README.,False
7cf0af605320d4bcdae81ae55c40348cf4ff728c,2024-08-17 03:05:46,Jared Hanson,Update README.,False
610e079ce7a405182555fbd96539c6411c4c7fd3,2024-08-17 03:03:21,Jared Hanson,Update README.,False
f862a772a858d31208cd6b347be40672b033ce7b,2024-08-17 03:01:16,Jared Hanson,Update README.,False
50ecd293fddcd9f610c5fcdd54699700fb25ec7e,2024-08-17 02:59:44,Jared Hanson,Update README.,False
b86b333bab6c1c27e7506a8c3f020799d4e439ee,2024-08-17 02:58:34,Jared Hanson,Update README.,False
a24d8ec3bb2f96533a27fb514d564fd70b5d3a1d,2024-08-17 02:57:13,Jared Hanson,Update README.,False
87a22b73c45bc3009b9572f654e938e4c6db671f,2024-08-17 02:55:32,Jared Hanson,Update README.,False
e7c59adea442264b540f4d2354811a0a3d05366a,2024-08-17 02:54:46,Jared Hanson,Add README.,False
8c3060588f9cc92165ce0b2d6a31054bc70b50b4,2024-08-17 02:53:57,Jared Hanson,Update README.,False
2bb4c7f5d17ec2d9a7f420bb966f645ccd140999,2024-08-17 02:52:55,Jared Hanson,Update README.,False
f6e8151c159e7b0fe78e5e84610cd613fb607296,2024-08-17 02:52:13,Jared Hanson,Update README.,False
a440f074a15c9f02b5ba4b5b8b0fe72da43e8cb9,2024-08-17 02:16:28,Jared Hanson,Update README.,False
1b8b272e5300806a4797913af7ccd5476d7c8cbb,2024-08-17 02:15:48,Jared Hanson,Add Auth0 as sponsor.,False
0575de90dc0e76c1b8ca9cc676af89bd301aec60,2024-01-27 05:08:34,Jared Hanson,Add Stytch as sponsor. Thanks,False
33b92f96616642864844753a481df7c5b823e047,2023-11-28 04:27:28,Jared Hanson,0.7.0,False
8dd8ec5b58692b1ad45542c31202ecfa6834fba1,2023-11-28 04:25:48,Jared Hanson,Update changelog.,False
2815dc9884a65ff191d9c7cf6d7e2f5827fa7d9e,2023-11-28 04:19:25,Jared Hanson,"Merge pull request #1012 from jaredhanson/authinfo-assignprop

Set req.authInfo when using assignProperty option",True
0f2f81c0e05d9bab89af380923c44f8467bf3b22,2023-11-28 04:14:46,Jared Hanson,Fix test to allow setting of authInfo with assignProperty.,False
b4e4cfffc8f3ab05b43ad84f785c22800b327dfe,2023-11-28 03:47:59,Jared Hanson,Fix test to allow setting of authInfo from authorize call.,False
da379a067507b7333eb8d724f2acdaf3e352ec84,2023-11-27 23:40:12,Jared Hanson,Merge branch 'master' into authinfo-assignprop,True
cfdbd4a762b51e339ebfea931d65bccbbde53282,2023-03-10 22:57:55,Jared Hanson,Update sponsors.,False
6cc8a7c625fa5c19b505f252bf87b79ca09f5550,2023-03-10 22:51:30,Jared Hanson,Update sponsors.,False
b6ab747f75021d839b398b795c4ab541c8792556,2023-03-10 22:50:40,Jared Hanson,Update sponsors.,False
c521bc802ace891d34fc8a187290126b3df05e18,2023-03-06 22:39:02,Jared Hanson,Add FusionAuth as sponsor.,False
341a111c8c30719eead56d24274394b3f4222aa6,2023-02-18 00:23:19,Jared Hanson,Update README.,False
7131d9a65b7c093ce3411a66c63510d459e0b42c,2023-02-18 00:22:30,Jared Hanson,Fix image.,False
1dfa3ae3d928821e44844be6e7e768b18c0e6760,2023-02-18 00:21:40,Jared Hanson,Add Descope as sponsor.,False
72119401792ddda24e7c2b652d8d3e2decdbee5d,2022-12-18 21:22:22,Jared Hanson,Revise Authenticator#authenticate docs.,False
a479713012c3109cab6ec17a59a73a839b8438dc,2022-12-10 04:41:24,Jared Hanson,Revise Authenticator#authorize docs.,False
4f0df3656ece4b94e223f5a75296fa3d889ba345,2022-12-10 04:32:49,Jared Hanson,Revise Authenticator#authorize docs.,False
026efe4d2de44e132002a0792364c13619624399,2022-12-10 04:13:15,Jared Hanson,Revise Authenticator#authenticate docs.,False
e2f2867fd8a0d18e7fd5a51c96d0fc282d269d75,2022-12-09 23:46:26,Jared Hanson,Revise Authenticator#authenticate docs.,False
b9399f5234f8f441f690eeaed73a67c72b72fa89,2022-12-09 23:14:58,Jared Hanson,Revise Authenticator#authenticate docs.,False
3bab015625bb42d0ba346ee631048175358052f1,2022-12-09 22:43:20,Jared Hanson,Revise Authenticator#initialize docs.,False
3155893c48d008f1c361ca1cb3efedbbbf95278c,2022-12-09 06:58:51,Jared Hanson,Revise Authenticator#framework docs.,False
5e51b3afe08f094b8a59170f5b0c79ed14e66adf,2022-12-09 00:26:30,Jared Hanson,Revise Authenticator documentation.,False
805333f2447d308dd742d868e115af9d809456ad,2022-12-08 23:58:44,Jared Hanson,Revise documentation of Authenticator#use.,False
797644bed03617ce4d0a452f0f0079788a3200e2,2022-12-08 23:09:45,Jared Hanson,Revise Authenticator documentation.,False
7cbcd85bee1c5291bbd917153df74d3264d0dddd,2022-12-08 11:10:30,Jared Hanson,Add more session strategy documentation.,False
e9be9fe774c4eb10bc8b097c5e805d21950fdb82,2022-12-08 10:31:40,Jared Hanson,Add more session strategy documentation.,False
f61bcaa0e40386e04f90f23b3873c06e5c994b56,2022-12-08 07:42:15,Jared Hanson,Rename jsdoc conf file.,False
5b00d081621c09fad77778d57bc51ecbcce652ac,2022-12-08 07:41:18,Jared Hanson,Update jsdoc for SessionStrategy.,False
8c60b49a7abbeecfeabef1ecd249382c4a190a7f,2022-12-08 07:11:34,Jared Hanson,Improving jsdoc.,False
1e8f112bd233dbffb1904d4dd2051780d81b0a22,2022-05-22 18:59:57,Jared Hanson,Update changelog.,False
099b38edaebd9f7bc702d38c75368b1bad28188f,2022-05-22 18:58:57,Jared Hanson,Update changelog.,False
c33067bc5aa81a6dd827076d810bf788bb6acac7,2022-05-20 19:02:41,Jared Hanson,0.6.0,False
3052bb4717673b88a27981f6bc91a1f585889e5c,2022-05-20 19:01:30,Jared Hanson,Update changelog.,False
42630cbd1ffd44d146ff96f0a4be6f3c12f81d75,2022-05-20 07:04:52,Jared Hanson,"Merge pull request #900 from jaredhanson/fix-fixation

Address Session Fixation Concerns",True
8dd79fe5f3f414435c4e0561fc925fb7ab6c8efb,2022-05-20 07:03:49,Jared Hanson,Use utils-merge rather than Object.assign for compatibility.,False
4f6bd5b254454d3f61c3236e8f1dd33472704fd3,2022-05-20 02:30:51,Jared Hanson,Change keepSessionData to keepSessionData.,False
46756e56db671a822490f3d6c103a33a6691047d,2022-05-19 23:24:43,Jared Hanson,Silence verbose logging.,False
987b1918a2c5056531bbd325a2ff888a3595b2df,2022-05-19 22:52:35,Jared Hanson,Add tests.,False
f8a175f1145c4efdffa7e4c511a642f608e11c0f,2022-05-19 22:48:27,Jared Hanson,Add tests.,False
29a90d68dd5d4bc807bc658cfe49fba968b34d7d,2022-05-19 22:23:53,Jared Hanson,No need to guard callback existence.,False
bfba8a1ab44b658f745e33e3484b389f0751cdc0,2022-05-19 22:21:32,Jared Hanson,Add tests.,False
17111d76972462eab90a1ea5dcd9211ceb93c7b0,2022-05-19 22:10:59,Jared Hanson,Add option to keep session data on logout.,False
a349c2bc32e4eba793500bb7b6125f07e0014a99,2022-05-19 22:00:59,Jared Hanson,Add option to keep session data.,False
e69834e070662e8972e9eca07cbebf0338cfd226,2022-05-19 21:09:31,Jared Hanson,Add optional options to login and logout.,False
8825a9a0cd129a332f78124af6268af1f67fdc1b,2022-05-19 19:59:21,Jared Hanson,Add tests.,False
c1991cf745f166efea65dd35bff818d5d35c38ed,2022-05-19 19:57:48,Jared Hanson,Add tests.,False
294f22c4d9b9b8f6e1b80d4045fbf7bd4ec1e4d9,2022-05-19 19:54:21,Jared Hanson,Better session detection and exceptions.,False
80cc4e367f733f34c1d5a754e402e7e27f8a1295,2022-05-19 19:48:33,Jared Hanson,Add tests.,False
30016547df2d1b89de965f2cf3efab04fdb6bfe8,2022-05-19 19:43:15,Jared Hanson,Add tests.,False
b395106fef73f2d06cb8cbfed936bcf5f9713e4b,2022-05-19 19:36:15,Jared Hanson,Clean up tests.,False
cfa8259dc232e053d3d78f25659dae83eca3a813,2022-05-19 19:31:08,Jared Hanson,Add tests.,False
ee0bf811aba5dcb25310b6eeb5b4a43d6ec8d86f,2022-05-19 19:26:12,Jared Hanson,Add tests.,False
cc7606c8eefb0a681db161c11351398c9507779c,2022-05-19 19:22:24,Jared Hanson,Add tests.,False
71c54f6169a8d5d5bda0c8559e0889d67128609f,2022-05-19 19:18:32,Jared Hanson,Add test.,False
88c1f1bc7fc29baceb119fbcacaa5d9d89192f6c,2022-05-18 21:04:40,Jared Hanson,Handle logout without session manager.,False
fa70e2fb31ff92e5fc3039b0e5e8b1f67f5cd944,2022-05-18 20:57:52,Jared Hanson,Error if session isn't available.,False
fa80b204fb404c124e7382c4f8605206b50ea393,2022-05-18 20:38:07,Jared Hanson,Fix tests.,False
c018deaaa2d04954d2362597aefec33757cf97a3,2022-05-18 20:17:37,Jared Hanson,Clear user from old session on logout.,False
9cde80820fe37b1eb27001b98f97ecbad40fc83e,2022-05-18 19:58:56,Jared Hanson,Save session on login before invoking callback.,False
a77271f55f045bd4fd2578a953256406b3621721,2022-05-18 19:36:56,Jared Hanson,Regenerate session in logout.,False
a7513c4d8175b4485178f14c95d93a9f3d427c2a,2022-05-17 20:59:59,Jared Hanson,Fix tests.,False
7e9b9cf4d7be02428e963fc729496a45baeea608,2022-05-17 20:45:54,Jared Hanson,Regenerate session on login.,False
5e6d92f1ef2adf21b54492cc86a7c066ef3f1e98,2022-05-16 20:28:14,Jared Hanson,0.5.3,False
e9a973a6fd13b8a4fc3444809cd856c53c82546f,2022-05-16 20:27:52,Jared Hanson,Update changelog.,False
959aef57ab84559a9689d5bed4d5fdf25922858e,2022-05-16 20:25:22,Jared Hanson,"Merge pull request #898 from jaredhanson/fix-reinitialize

Extend request in initialize middleware",True
498d09ff3fa3064c20a0ee691ed17f129fba1704,2022-05-16 20:21:11,Jared Hanson,Update changelog.,False
831940db169e019b70b9f81f25eca1efafafb52b,2022-05-16 19:49:21,Jared Hanson,"Reinitialize req.login, etc from initialize middleware.",False
e1e4e1f0c225eea32b196c5be7f7a95c4af38bf1,2022-04-29 03:39:17,Jared Hanson,Update link.,False
789d70863c4c20627a3805714199f39294c7eb80,2022-04-28 19:42:48,Jared Hanson,Update link.,False
5ae156caf4c1fb88ac378e850ddf40520c4eddf8,2022-04-28 19:40:31,Jared Hanson,Update link.,False
9dbddc84f2cba11eaf9b0eb4b59e506fae693936,2022-04-28 19:37:53,Jared Hanson,Add line break.,False
dcf470efece3cd25c00b5d390c0178441048dbe3,2022-04-28 19:37:09,Jared Hanson,Add Snyk as sponsor.,False
cb65baeec9454ccc63d1dccb073706890dfb99fe,2022-04-28 19:35:51,Jared Hanson,Adjust size.,False
4e56fd603ca0473c4c71606757b97389ad2f25da,2022-04-28 19:34:05,Jared Hanson,Add Snyk as sponsor.,False
1b9d95e18f8062da3abefce3b281ff04e2e6e186,2022-04-09 03:34:32,Jared Hanson,Update sponsors.,False
82ff1967870d4e842e37d68c62e48258c66e26e8,2022-01-25 02:49:20,Jared Hanson,Update sponsors.,False
c872f74287d2305acd30119f9593f1b1499b9d28,2021-12-17 00:37:32,Jared Hanson,0.5.2,False
3c60d026ee66cde651476573957c819f08e0b687,2021-12-17 00:37:12,Jared Hanson,Update changelog.,False
