Hash,Date,Author,Message,IsMerge
8f4c0169a0f82423fedb77fb7c28503e52a93419,2025-03-21 02:13:21,Jonas Jenwald,"Merge pull request #19692 from Snuffleupagus/writer-improve

Improve the implementation in `src/core/writer.js` a little bit",True
50eb97afb32b7e4f2b7cdce048aaaed1c1aca69f,2025-03-21 01:43:34,Jonas Jenwald,"Improve the implementation in `src/core/writer.js` a little bit

 - Let the `writeString` helper function return the new offset, to avoid having to recompute that in multiple spots.

 - In the `computeMD5` helper function we can create the `md5Buffer` via Array-destructuring, rather than using a manual loop.",False
a229914b4662f14cd64b710797b3e6db6fadba82,2025-03-20 21:00:57,Jonas Jenwald,"Merge pull request #19693 from Snuffleupagus/writer-fix-md5

Fix the MD5 computation in the `src/core/writer.js` file",True
e6c869c127d5d39f9ab9f156247b5606e4dccb26,2025-03-20 19:11:25,Jonas Jenwald,"Fix the MD5 computation in the `src/core/writer.js` file

Currently the MD5 computation doesn't actually work (at all?), since we're invoking the `calculateMD5` function without providing all of the necessary parameters and the PDF-data thus isn't taken into account.

Fixing this caused unit-tests to fail, which isn't that surprising since the current date/time is used in the MD5 computation, and we thus utilize Jasmine to work-around that.",False
cd4a30341f048d722e06d078a94911cc19bfc3a6,2025-03-19 19:45:25,calixteman,"Merge pull request #19685 from calixteman/issue19424

[Editor] Take into account the parent rotation when switch to edit mode (issue #19424)",True
276c8f35182af2829c5e07278bf2b4120613b351,2025-03-19 18:56:55,Calixte Denizet,[Editor] Take into account the parent rotation when switch to edit mode (issue #19424),False
1a39e2dac1a5912769659a23e60b8ec0a58a016b,2025-03-19 18:13:54,Jonas Jenwald,"Merge pull request #19684 from Snuffleupagus/issue-19683

Improve `addSignatureDescription`/`editSignatureDescription` handling (issue 19683)",True
79058c92e3644612355c018f448f5bacbe2e082b,2025-03-19 16:08:56,Jonas Jenwald,"Improve `addSignatureDescription`/`editSignatureDescription` handling (issue 19683)

 - Point the `addSignatureDescription` respectively `editSignatureDescription` labels to their actual `input`-elements (this way clicking the label will actually focus the input).

 - Add the event listener to the `addSignatureDescription`-input, rather than its `span`-element (this is consistent with the `editSignatureDescription` case).

 - Correctly check if the `addSignatureDescription`-input is empty, since we're accidentally comparing with its `span`-element.

 - Remove unbalanced, and likely accidentally added, `</span>` tags.",False
00e3a4d87a22d92938687f7535bc35961a2a40e3,2025-03-18 02:10:16,Jonas Jenwald,"Merge pull request #19674 from Snuffleupagus/core-document-more-async

Introduce more `async` code in the `src/core/document.js` file",True
6243afa85e4639da6435c075913512f6bfbdd291,2025-03-18 00:52:00,Jonas Jenwald,"Merge pull request #19675 from Snuffleupagus/IccColorSpace-fetchSync

Introduce a `fetchSync` helper function for the `IccColorSpace` classes",True
2f1497c9c4fbae43291d17540d7b52254fd8f712,2025-03-18 00:47:00,Jonas Jenwald,"Merge pull request #19677 from Snuffleupagus/issue-19676

For JPEG images with CMYK-data, ensure that the alpha-component is set correctly when WebAssembly is disabled (issue 19676)",True
afb14bdc0b4d9b4534098889a8ef99d7c2c5691c,2025-03-17 20:45:32,Jonas Jenwald,"For JPEG images with CMYK-data, ensure that the alpha-component is set correctly when WebAssembly is disabled (issue 19676)",False
1fb6edc71344ade9fdb21d1030a6e4fec3d9e2ee,2025-03-17 19:28:53,Jonas Jenwald,"Introduce a `fetchSync` helper function for the `IccColorSpace` classes

This reduces code duplication a tiny bit, which shouldn't hurt.",False
e37236e9af81a2436b68527bef69959726862064,2025-03-17 18:58:12,Jonas Jenwald,"Merge pull request #19673 from Snuffleupagus/rm-ftl-comment

Remove documentation for unused l10n variable (PR 18492 follow-up)",True
d00482380af454d544324d927ec1af9e17ccb4a8,2025-03-17 17:50:51,Jonas Jenwald,Introduce more `async` code in the `src/core/document.js` file,False
e5e0856f991823071e6945fc922cd715e0ae308e,2025-03-17 16:50:30,Jonas Jenwald,"Remove documentation for unused l10n variable (PR 18492 follow-up)

Looking at PR 18492 it doesn't seem that the `$percent` variable, for the `pdfjs-editor-new-alt-text-ai-model-downloading-progress` l10n-string, was ever used.",False
92d7b6d09f13172bba0bffb452d52be89b7ed365,2025-03-17 02:05:25,Tim van der Meij,"Merge pull request #19671 from timvandermeij/integration-tests-signature-intermittent

Fix the ""Signature Editor Basic operations must check copy and paste"" integration test",True
2a4f970e002fcaba12953f84eedc47071fffbb32,2025-03-17 01:05:36,Tim van der Meij,"Fix the ""Signature Editor Basic operations must check copy and paste"" integration test

This integration test fails intermittently because of concurrent
clipboard access due to running the test in parallel in both browsers.
It can be reproduced by introducing `await waitForTimeout(1000)` between
the copy and paste operations.

This commit fixes the issue by running the test sequentially instead,
mirroring the change from commit 0e94f2bd.",False
e7385669007310f317dfb9cb794cb343f19450a2,2025-03-16 23:15:21,Tim van der Meij,"Merge pull request #19669 from timvandermeij/icc-colorspace-404

Don't get ICC color space files if required API options are missing",True
f44cba86d5a67d6a867ded95b341cce01b301de6,2025-03-16 20:59:42,Tim van der Meij,"Don't get ICC color space files if required API options are missing

This commit improves validation of the API options for the ICC color
space logic. If `useWasm` is `true` but the corresponding `wasmUrl`
or `iccUrl` API options are not provided we can avoid requesting
files with `null` URLs which always results in a 404 response.",False
4c5ad9258448d017ac81cd504449d81465a60022,2025-03-16 18:21:35,Jonas Jenwald,"Merge pull request #19667 from Snuffleupagus/version-5.1

Bump library version to `5.1`",True
e3e23962305de6d953df03ae7fe223ed88015fd7,2025-03-16 18:17:18,Jonas Jenwald,Bump library version to `5.1`,False
d86045eacbd6f8cc9cbe8fd616800ca3edcbd0dc,2025-03-16 17:02:20,Tim van der Meij,"Merge pull request #19632 from Snuffleupagus/issue-15085

[api-minor] Attempt to support fetching the raw data of the PDF document from the `PDFDocumentLoadingTask`-instance (issue 15085)",True
f8c2a949b73cb4b9a08bc4f433d2073f29838b62,2025-03-16 16:01:08,Tim van der Meij,"Merge pull request #19665 from timvandermeij/updates

Update dependencies and translations to the most recent versions",True
9e8d4e4d4686ce36c783f22b655ec9f0bfc9b8f4,2025-03-16 14:39:44,Jonas Jenwald,"[api-minor] Attempt to support fetching the raw data of the PDF document from the `PDFDocumentLoadingTask`-instance (issue 15085)

The new API-functionality will allow a PDF document to be downloaded in the viewer e.g. while the PasswordPrompt is open, or in cases when document initialization failed.
Normally the raw data of the PDF document would be accessed via the `PDFDocumentProxy.prototype.getData` method, however in these cases the `PDFDocumentProxy`-instance isn't available.",False
33af8b5c2c805822cb24578c6d9e0ed65bfdda98,2025-03-16 01:12:08,Tim van der Meij,Update translations to the most recent versions,False
85818f404fb2c9dd3ee206492bbba3a35e4fe178,2025-03-16 01:12:08,Tim van der Meij,"Upgrade `babel-loader` to version 10.0.0

This is a major version bump, but the changelog at
https://github.com/babel/babel-loader/releases/tag/v10.0.0
doesn't indicate any breaking changes that should impact us.",False
cfe6cc6a7e477e62b68cfa7c5817aa524513ee57,2025-03-16 01:12:08,Tim van der Meij,"Upgrade `@metalsmith/layouts` to version 3.0.0

This is a major version bump, and the changelog at
https://github.com/metalsmith/layouts/releases/tag/v3.0.0
indicates a breaking change that impacts us, namely that we need to
explicitly define the pattern and transformer that we wish to use.",False
ef7e0ddae4292127e3bde39578a563a9e7cb7ae8,2025-03-16 01:12:08,Tim van der Meij,Update dependencies to the most recent versions,False
d1d88cc09e00253dfe519830cfa657dece8b9093,2025-03-16 00:14:30,Jonas Jenwald,"Merge pull request #19662 from Snuffleupagus/xfa-rm-regex

Replace a few simple regular expressions in the XFA-code with string parsing",True
2d1833b56662fd6c6f9e8db1f2c587e205a97b3e,2025-03-15 23:49:22,Tim van der Meij,"Merge pull request #19663 from timvandermeij/bump

Bump the stable version in `pdfjs.config`",True
a1bcd789b94c994ee8cb97d15de46527f0379a94,2025-03-15 23:45:34,Tim van der Meij,Bump the stable version in `pdfjs.config`,False
23972e1946f69a1ae6bfad9e2f79dfa237432228,2025-03-15 23:16:26,Tim van der Meij,"Merge pull request #19661 from Snuffleupagus/thumbnails-inline-finishRenderTask

Inline the `PDFThumbnailView.prototype.#finishRenderTask`  helper method",True
8a24c1907a501eb7e1915fc3efd09aa2f15b956c,2025-03-15 21:55:26,Jonas Jenwald,"Replace a few simple regular expressions in the XFA-code with string parsing

 - Add a couple of `limit` parameters in cases where those were ""missing"", for `String.prototype.split()` calls, to avoid unnecessary parsing.

 - Remove some ""pointless"" initial trimming of leading/trailing spaces, since that's already done at a later parsing step in many cases.",False
6548c9f1f61dd4f85e9081409de2db279dd7ce68,2025-03-15 18:49:16,Jonas Jenwald,"Inline the `PDFThumbnailView.prototype.#finishRenderTask` helper method

Given that the `draw` method is already asynchronous we can easily inline this old helper method, which shortens the code and improves consistency in the code-base (note the `BasePDFPageView`-implementation).",False
7ee061bcf117aae8730b59d72cd5d99af920bea9,2025-03-15 17:54:52,Jonas Jenwald,"Add a helper function, in `web/pdf_thumbnail_view.js`, for ""zeroing"" a canvas

This removes a tiny bit of code duplication.",False
b7eef925acd69bd8b60cd04b9ba6aca5f581bc39,2025-03-15 17:49:34,Jonas Jenwald,"Shorten the `PDFThumbnailView.prototype.#getReducedImageDims` method (PR 19635 follow-up)

This method is slightly more verbose than necessary, hence we can shorten the code a little bit.",False
4b2683ecb6bf0bc1c5e5482ac41eb22cc1cdd38c,2025-03-15 00:20:36,Tim van der Meij,"Merge pull request #19656 from Snuffleupagus/shorten-MeshStreamReader

Slightly shorten a couple of `MeshStreamReader` methods",True
9967ab4aa821fb18fcdd8fd6e47794a957c3aa3a,2025-03-14 20:51:54,Jonas Jenwald,"Merge pull request #19657 from Snuffleupagus/GenericL10n-rm-regex

Replace the regular expression in `GenericL10n.#getPaths` with simple string parsing",True
9180e27f153f5d17baf64fdb97185b9e89c25e68,2025-03-14 20:24:14,Jonas Jenwald,Replace the regular expression in `GenericL10n.#getPaths` with simple string parsing,False
ec30f0788b3e4ef97a1371a7f86750ff29e2a640,2025-03-14 17:27:41,Jonas Jenwald,"Slightly shorten a couple of `MeshStreamReader` methods

By using object destructuring in the `readCoordinate` and `readComponents` methods we can ever so slightly shorten this code.",False
2294a510b05a382b96e5a70fcb6edd127aa6608a,2025-03-14 01:54:34,calixteman,"Merge pull request #19653 from calixteman/rm_strings_html

Remove all the translatable strings from the html",True
88c3ed9a80feab194c5b4f28ab97bcbf677d86f4,2025-03-13 23:08:29,Calixte Denizet,Remove all the translatable strings from the html,False
8791b2474227774cf951e2880daccbf2ba25a77e,2025-03-13 21:18:50,calixteman,"Merge pull request #19652 from calixteman/rm_useless_css_var

[Editor] Remove useless css variable",True
7c706b6525260bd835e0afba53ab18037fc6250e,2025-03-13 21:10:30,Calixte Denizet,[Editor] Remove useless css variable,False
dc61e36bf446e88793b7fe82fc55130ff342fa02,2025-03-13 21:06:38,calixteman,"Merge pull request #19651 from calixteman/fix_ftl

[Editor] Fix variable name in the ftl file",True
56f58bde9a20c2efdee652ffe911a3481e0a56f9,2025-03-13 20:56:16,Calixte Denizet,"[Editor] Fix variable name in the ftl file

and add a linting rule to avoid such an error in the future.",False
d5c185b90a104ca3e2eb4eec240c9414996a3a34,2025-03-13 18:20:43,calixteman,"Merge pull request #19649 from calixteman/bug1953298

[Editor] Fix the title of saved signature button (bug 1953298)",True
da105f71f6acc396215154ad6a6021464ead1f92,2025-03-13 17:37:45,Calixte Denizet,[Editor] Fix the title of saved signature button (bug 1953298),False
78b310afb1204daf55b94894b5a73783f4205c7c,2025-03-13 17:16:53,Jonas Jenwald,"Merge pull request #19650 from Snuffleupagus/shorten-crypto

Shorten the `src/core/crypto.js` file a little bit",True
ef01ceda1bb1ab0bbc952c8dc03c64d78e7651b5,2025-03-13 16:28:13,Jonas Jenwald,"Change a couple of ""password"" ref-tests to ""eq"" tests

Currrently these are just ""load"" tests, and by also testing rendering we get slightly better test-coverage for the `src/core/crypto.js` file.",False
0e15f709c4a9b8804a0d4cc99b8fb9d1d5e9fc17,2025-03-13 16:28:13,Jonas Jenwald,"Remove unnecessary `else if` when checking the encryptionKey in the `CipherTransformFactory` constructor

This can be simplified a tiny bit since we already throw `PasswordException` when no password is provided.",False
cc63ffa6bbdb0ead3cd03ec8294dc52cfc13e3e8,2025-03-13 16:28:02,Jonas Jenwald,"Reduce duplication when checking the userPassword, in `CipherTransformFactory.prototype.#prepareKeyData`

Currently we duplicate the exact same code in both the `if`- and `else`-branches, which seems unnecessary, and we can also replace the manual loop.",False
38cb01c629fb6d87dd324f23bbf286edda6cc646,2025-03-13 13:50:26,calixteman,"Merge pull request #19648 from calixteman/bug1953290

[Editor] Fix the role of the different editors in order to make them interactive elements (bug 1953290)",True
7fce3eac939bb710567234b10e11bfce7a4286c6,2025-03-13 02:49:31,Calixte Denizet,"[Editor] Fix the role of the different editors in order to make them interactive elements (bug 1953290)

Having some interactive elements forces the screen readers to switch to form mode
and consequently they delegate the keyboard stuff to the browser.
This patch sets an aria label on each editor in order to have a better description than just
'application'.",False
a8ad7d6485d8bc01416a6508107a3f653b973c97,2025-03-13 01:52:16,Jonas Jenwald,"Merge pull request #19645 from Snuffleupagus/OutputScale-pixelRatio

Add an `OutputScale` static method to get the `devicePixelRatio`",True
319d239f413e50633c303787a1bbc46557d883ef,2025-03-13 01:37:06,Jonas Jenwald,"Add an `OutputScale` static method to get the `devicePixelRatio`

Currently we lookup the `devicePixelRatio`, with fallback handling, in a number of spots in the code-base.
Rather than duplicating code we can instead add a new static method in the `OutputScale` class, since that one is now exposed in the API.",False
e4795f639cd77ca636d2fabb894bc9097221f38d,2025-03-13 01:35:39,Jonas Jenwald,"Merge pull request #19644 from Snuffleupagus/crypto-PDFBase

Introduce a common base class for the `PDF17` and `PDF20` crypto classes",True
643c44b6315f85d24fd7caae3c330ec1079b554e,2025-03-13 01:32:24,Jonas Jenwald,"Merge pull request #19643 from Snuffleupagus/l10n-update

Update l10n files",True
0cbb2b1d13497c84ae08262f8b78eff390765876,2025-03-13 01:32:02,Jonas Jenwald,"Merge pull request #19646 from Snuffleupagus/dont-cache-MIN_TOUCH_DISTANCE_TO_PINCH

Don't shadow the `TouchManager.prototype.MIN_TOUCH_DISTANCE_TO_PINCH` value",True
bec6287b0a63c3ec2059314f1cd966ca9345f30e,2025-03-13 00:04:07,Jonas Jenwald,"Merge pull request #19647 from Snuffleupagus/bug-1953099

Let `Lexer.prototype.getNumber` treat more cases of a single minus sign as zero (bug 1953099)",True
7bc741611158ce9a9c03ebff5399e9f3dd9dfce7,2025-03-12 23:54:53,calixteman,"Merge pull request #19642 from calixteman/bug1953003

[Editor] Fix the style of the buttons in dialog (bug 1953003)",True
ee34c5c64818a39cde6eacb87aa62de0c59844a7,2025-03-12 22:20:13,Jonas Jenwald,"Let `Lexer.prototype.getNumber` treat more cases of a single minus sign as zero (bug 1953099)

This patch extends the approach of PR 14543, by also treating e.g. minus signs followed by '(' or '<' as zero.
Inside of a /Contents stream those characters will generally mean the start of one or more glyphs.",False
92adc7ea1b8d3e185c13b396c7c8799e5269b15f,2025-03-12 19:23:20,Jonas Jenwald,"Don't shadow the `TouchManager.prototype.MIN_TOUCH_DISTANCE_TO_PINCH` value

The `devicePixelRatio` may change if the window resolution changes, which can happen e.g. if the viewer is moved to another monitor.",False
2ff6829e47ab1847da3fb546451e2719c77a16e8,2025-03-12 16:55:55,Jonas Jenwald,"Introduce a common base class for the `PDF17` and `PDF20` crypto classes

With the exception of a different hashing function these classes are identical, and the base class thus help reduce code duplication.

This patch reduces the size of the `gulp mozcentral` build with 1344 bytes, which isn't a lot but still cannot hurt.",False
4ebcc996d09814b257cf88410cb05083ac874b92,2025-03-12 14:28:52,Jonas Jenwald,"Update l10n files

Given the recently added l10n-strings, let's do yet another update before the upcoming release to avoid needlessly ""broken"" translations.",False
216e17afc5b7815e80ce59d85633ec3d5ce68cf8,2025-03-12 00:33:23,Calixte Denizet,"[Editor] Fix the style of the buttons in dialog (bug 1953003)

This patch fixes:
 - the style of the primary/secondary buttons in the dialog which weren't fully compliant to the last specs.
 - the style of the input field in HCM (wrong background)
 - the color of the link in the image tab.",False
d74619847de44bf1ff48afc342596c11e4838231,2025-03-12 00:12:36,Jonas Jenwald,"Merge pull request #19640 from Snuffleupagus/secondaryToolbar-fix-close

Don't close the `secondaryToolbar` when clicking inside it (PR 18385 follow-up)",True
221eba29b956d63dbcf63449d75b677d02b2b963,2025-03-11 23:56:23,Jonas Jenwald,"Don't close the `secondaryToolbar` when clicking inside it (PR 18385 follow-up)

When the DOM structure of the viewer was updated in PR 18385 it caused the `secondaryToolbar` to accidentally start closing when clicking inside of it, since the `secondaryToolbar` now reside *under* the `toolbar` in the DOM.

**Steps to reproduce:**
 - Open the viewer.
 - Open the `secondaryToolbar`.
 - Try to change document rotation at least *twice*.

**Expected behaviour:**
 The document rotation can be changed an arbitrary number of times.

**Actual results:**
 The `secondaryToolbar` closes after changing rotation just once.",False
391e84c34bfd867e787d89971c821d6877834f19,2025-03-11 19:05:33,calixteman,"Merge pull request #19639 from calixteman/issue19633

Always use the absolute value of the line thickness (issue 19633)",True
