Hash,Date,Author,Message,IsMerge
a5a56b22e7017e3595df5f16dcd0dded3f8054a4,2025-03-20 12:39:59,Zeke Chan,Fix #7054. Arcade physics circle game objects can be made immovable when colliding with rectangular game objects.,False
6b456766959e3d5c928661251abe4b26c90fd599,2025-03-19 21:35:23,Zeke Chan,Update CHANGELOG-v3.89.md,False
8ea1d404b08704868764eafb2d7c54cbf267bfb5,2025-03-19 21:32:53,Zeke Chan,Fix #7034. Adding `collisionMask` and `collisionCategory` checks to `Phaser.Physics.Arcade.World#separate`,False
5c676b8677f47cca5cff328bc6dcd407db812a34,2025-03-17 20:44:49,Zeke Chan,Update CHANGELOG-v3.89.md,False
87796a9f7258ea64de1912475e7d4e4f2de2a282,2025-03-17 20:42:30,Zeke Chan,Fix #7029. Grid renders lineWidth correctly in WebGL mode.,False
478c965e550fb8155ec70593640a1808028c8888,2025-03-17 20:09:42,Zeke Chan,Fix #7045. Check if game object exists before destroying it when stopping a scene.,False
e4104e53f25c21dd46c696c2fe7ba766832268b1,2025-03-17 12:35:05,zekechan,Update CHANGELOG-v3.89.md,False
f54f3ec23f63e5542c2fa9a947bb21eee7f4a07e,2025-03-17 12:33:19,zekechan,Update CHANGELOG-v3.89.md,False
a2a28a723db17f7bf7679ff6a2bb1c11d1db1d43,2025-03-17 12:12:09,zekechan,Fix #7077. RTL and LTR text shows correctly.,False
86793cedb6c1e07427d0854adebf9d75a32cc55d,2025-03-14 19:47:26,Zeke Chan,Update CHANGELOG-v3.89.md,False
780a41ba8e248b907a834b8c7130349a9f30b4a0,2025-03-14 19:47:21,Zeke Chan,Fix #7048. Added persist check on tween chains.,False
09e786c49376d527bf7c84222aa40879eb549d84,2025-03-14 15:27:19,Zeke Chan,Merge branch 'master' of https://github.com/phaserjs/phaser,True
0e866371f6c26f8cb3e33655a85fcf544e3be1ab,2025-03-14 15:27:17,Zeke Chan,Update CHANGELOG-v3.89.md,False
