Hash,Date,Author,Message,IsMerge
202a10c08db7cc23a80e8305e5ce6ea07ebf48fd,2025-03-15 22:12:43,Alexandre Strzelewicz,Update README.md about Bun,False
e88553986d7af15a4ce9307b3bc743e95f2655dd,2025-03-11 14:46:42,Unitech,pm2@6.0.5,False
68bf0aea6be77180fc58883abe0327ce94001c9f,2025-03-11 14:36:00,Unitech,pm2@6.0.5,False
3586b31d4ec57a3be3ff44b27233a69f225583bd,2025-02-21 12:31:56,Unitech,pm2@6.0.4,True
653af3637cd11b41de6b6503d410ad35d51c0162,2025-01-26 00:20:10,Unitech,pm2-beta@6.0.4,False
9670c6c0e8fbd7bce8c41a9844793a98d0aad4ba,2025-01-26 00:18:05,Unitech,bumo,False
211d01218e57a14e4260e0eb86ae64b64b07389c,2025-01-26 00:16:18,Unitech,fix: add back version parsing,False
9934e317c080d7e148199bf79ad385e7470b2ee2,2025-01-25 23:57:04,Unitech,add lock files,False
013c0dc66a2886d3323790ee89a8e64ceabec9ca,2025-01-25 23:55:25,Unitech,bump,False
7442559fcec39220b376acbc1ca76cae69f8cc1f,2025-01-25 23:13:49,Unitech,pm2-beta@6.0.3,False
60f0b523e6641d2788266a76e172aa4c2a28c9b3,2025-01-02 15:52:18,Unitech,psh,False
bf8a8b5f241eb9a4042d67eb8109154cc3212bdc,2024-11-14 02:15:07,Unitech,switch bin,False
e3a327fab7a6b385ca0d960c878347dce320ae61,2024-11-14 01:25:04,Unitech,pm2@5.4.3,False
723bd81809fc071662374623aabed2b5fdd90802,2024-11-14 00:47:43,Unitech,edits,False
24e74b2edd893292ad5f851a0992d2b1d04e3797,2024-11-13 22:06:58,Unitech,preinstall to postinstall,False
2b154e392b5a170f6a0d0fb6966fce3d5cc90a6f,2024-11-13 19:35:36,Unitech,change bin if windows,False
9d4d600bfc4dc6e1485fe1cef099cf52f5aa53f1,2024-11-13 19:30:22,Unitech,change shebang,False
70702afa1d98e3076ca2d17bbfb78c6cb2b25d7a,2024-11-13 18:56:13,Unitech,disable git checking test,False
fbef812118138f2d5a8609a311d8ff6649f9fb2c,2024-11-13 18:25:56,Unitech,disable git parsing by default #5909 #2182 #5801 #5051 #5696,False
de0dec583b542f70473c010ea3a9998d6bb744b7,2024-11-13 18:21:54,Alexandre Strzelewicz,"Merge pull request #5857 from aryehb/feature/disable-version-check

Add support for disabling version checks",True
be15de4a6482d9b4cda17a1515830546f1595989,2024-11-13 18:20:34,Alexandre Strzelewicz,"Merge pull request #5896 from skeyby/fixes_5895

Fixes 5895 - treekill syntax incompatible with freebsd",True
dea7b5c30f9ea63ac4ff7bcb189b8d94f752eb0a,2024-11-13 18:20:05,Alexandre Strzelewicz,"Merge pull request #5900 from tbo47/add-webp-content-types

add webp content-type in response",True
080d12431d6fc861c6be1f0f7a9e11306dd0d239,2024-11-13 18:19:25,Alexandre Strzelewicz,"Merge pull request #5906 from AYOKINYA/development

fix: Enable PM2 module update from tarball",True
d9e6964f46a9666d7ebad20aac42cbda25e93faf,2024-11-13 17:53:06,Unitech,Bun support,False
194200aea956b0776651d33f5f857cdb23d032c0,2024-10-25 10:57:40,AYOKINYA,"feat: Add tarball support to module:update command

Implement tarball handling in module:update to match functionality of module:install",False
f57a22a7ec09506b1ac12c3cdcab31c87254d1fe,2024-10-25 10:56:18,AYOKINYA,"fix: Update TAR.package to TAR.packager in Modularizer.js

The package function in TAR.js was renamed to packager for ES6 strict mode compatibility (#5680),
but the reference in Modularizer.js was not updated accordingly.",False
7fc9df1a6f5054ae784bf33292dee794f6967c01,2024-10-18 04:24:38,Unitech,more checkups,False
e4d264c6a2442be1690372bdc85678f569ccb600,2024-10-18 03:18:58,Unitech,update,False
9b502a7cf870e65b99ab89ba91b023e595f85be3,2024-10-18 02:53:00,Unitech,update,False
2a6ebd7a33c1b01867eabe3e43a2a5a8e6dd64e3,2024-10-18 02:08:11,Unitech,add bun support + testing,False
5e20239d63c0664cadda12c52f60e03caaf8cc14,2024-10-18 02:02:58,Unitech,bump: package.json,False
1404c6e1d701a8d58d3e202278f03b7dc1ebd79c,2024-10-04 18:57:51,tbo47,add webp content-type in response,False
6940db7c37360891e68e226915b1275075b8e3df,2024-09-24 16:41:21,Andrea Brancatelli,Fixes #5895 - treekill syntax incompatible with freebsd,False
de0bbad9afe29f4e316452af373d1c7b87655ca0,2024-07-08 14:13:37,Unitech,pm2@5.4.2,False
3402a0ddabf7d386171930006b43dbf7b61e9ecb,2024-07-08 00:06:36,Aryeh Berman,"feat: add support for disabling version checks

This adds support for a `PM2_DISABLE_VERSION_CHECKS` env variable,
which will disabling running version checks for PM2.",False
5c50ed4d0bdc45a9ec2c6cf99e9ef27fd9f8b5fd,2024-07-04 13:45:16,Unitech,pm2@5.4.1,False
f8e312e0567da4260f971a780545a800efaeb4d8,2024-07-04 13:23:55,Alexandre Strzelewicz,"Merge pull request #5833 from we-fork/fix-env-output

fix: env output in pm2-describe",True
cef628d51328d200c13f2e7cb29f43272517e1fb,2024-07-04 13:23:30,Unitech,fx,True
87612eb6498043c9ac8f803d408467b21a60d755,2024-06-18 14:28:22,Alexandre Strzelewicz,pm2@5.4.1,False
49c2824e081a682ac934ce1245e0c31523118a32,2024-05-30 17:21:13,Fritz Lin,"fix: env output in pm2-describe
ref https://github.com/Unitech/pm2/issues/5832",False
5e0eb40a9f62ef576876ff6a4b6a63345cbd6243,2024-05-24 17:06:10,Unitech,pm2@5.4.0,False
098b344e16dab68cc2cfb9bd8014f2d56acfcd50,2024-05-23 23:19:59,Unitech,pm2@5.4.0,False
8eab965ffd4cd658be69933e1c7d693b664c6cc9,2024-05-23 21:15:09,Unitech,fx,True
07130616dcb417c00a91ee19e505b5a30050a145,2024-05-23 21:14:35,Unitech,fix,False
0508a28dcf90a48119c356898822a6c49685f43d,2024-05-23 16:09:56,Alexandre Strzelewicz,Update node.js.yml,False
