Hash,Date,Author,Message,IsMerge
87c9014ec4f96f8469984538ec5c6601e6f09e7e,2024-12-09 13:29:04,Mostafa Rahmati,"feat(translation): Add Persian translation (#174)

* add persian lint to all md file

* create readme-ir file

* translate part of the sentences

* translate some git rules

* align image to right

* fix image align

* fix width & height imgage

* remove comma word

* add dir rtl wrapper

* translate git workflow

* fix translate git workflow

* Translate writing good commit messages

* Translate documentation

* Translate environments

* Translate consistent dev environments

* Translate consistent dependencies

* Translate dependencies

* Translate testing

* Translate structure and naming

* Translate some code style guidelines

* Translate enforcing code style standards

* Translate logging

* Translate api design - part 1

* Fix dir ltr for code box

* Fix ltr dir for code section

* Fix rtl persian

* Translate api design - final part

* Translate accessibility

* Translate licensing

* Fix rtl persian",False
3d5e2b378413878ec69d190cf1041235d8833cd6,2022-09-13 19:11:10,Ikko Ashimine,"Update README.md (#168)

Github -> GitHub
github -> GitHub",False
d433cc218e5b37280f55db5b147634fef9263d84,2022-05-03 19:02:28,Vahid Panjganj,Update README-it.md,False
fc066b3ece319140265a0d844f1758520ad762f6,2022-05-03 19:01:15,Vahid Panjganj,Add Italian (#167),False
8500bbd9faaff4fac6160d509dd46c5e5150757c,2022-05-03 18:57:52,RP1458,"Italian translation (#166)

* Italian Translation

* Completato paragrafo 3

* Codice di stile-inizio

* Finito 7.1

* more translation

* Translation first draft completed

* Checked for typos

* Italian translation completed, revision needed

* Italian translation completed

* Italian translation final revision and typos fixed",False
99781e7ee52a6f3b7312699c0dc3496737ce68d2,2022-02-07 21:01:37,Ayan Ali,"Accessibility rules1 (#163)

* feat: accessability section

* feat: add accessibility rules-part1

* feat(accessibility): add subsections and remove nested whys

* update: readme copy

* feat: add more accessibility rules and fix links

* fix: typos and links

Co-authored-by: Caroline <caroline@elsewhen.com>",False
98c3a50b50813fe501c2d0d4d7f8a07757734a91,2022-02-03 15:51:00,ktym4a,typo 修正 (#164),False
ad15ab34d6aa7ecbd332916994c320c4905e1687,2021-05-20 18:26:55,Flouse,"Update README-zh.md (#161)

update the link about api-guideline controller",False
ae13328e458d35a44fac71de4e48531b66cc8e50,2020-10-06 14:21:22,Thomas Gotwig,Align logo of README.sample.md to the right (#156),False
9cb84dc9aea92db1765d76e1563ff586e698ad82,2020-10-06 14:20:54,Thomas Schaaf,Always use plural for resources name (#157),False
aebebd5fa661e00032989d670f4fb4bd2fb85653,2020-10-06 14:20:02,Divyansh Gupta,Doc(Readme en): fix controller read more link (#158),False
3b905676d7499029151ccabed7a00ed32ecdac0d,2020-10-06 14:19:20,Pavel Shakhov,Fix typo in russian (#159),False
dc4a7cca0d32baffe8602f77478fa31e86f2b96b,2020-07-09 18:55:56,Thomas Gotwig,Remove newline (#155),False
d39ba65e6faee65632b9c6dfa82bb6f5113f22c2,2020-04-30 15:19:05,Alexandre Fernandes dos Santos,"Fixing issues pt/br translation (#153)

* Fixing some issues in the README-pt-BR.md

* fix in the line 513",False
83dcb60e15691a7b6e0fa4356db81c97e793fb72,2020-04-16 03:13:40,Charles-Antoine Francisco,"fix error code in README (#152)

-",False
89f9aa2493c246ae6ca9c5eeb9f739142d60c5a1,2020-01-15 22:58:48,Vahid Panjganj,Fix typo,False
