Hash,Date,Author,Message,IsMerge
6efa2cf48e792c4430714270065c4d1636a6f190,2025-03-10 22:46:54,dependabot[bot],"chore(deps): bump js-beautify from 1.15.3 to 1.15.4 in /site (#1395)

Bumps [js-beautify](https://github.com/beautifier/js-beautify) from 1.15.3 to 1.15.4.
- [Release notes](https://github.com/beautifier/js-beautify/releases)
- [Changelog](https://github.com/beautifier/js-beautify/blob/main/CHANGELOG.md)
- [Commits](https://github.com/beautifier/js-beautify/compare/v1.15.3...v1.15.4)

---
updated-dependencies:
- dependency-name: js-beautify
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
309c51bb7f73bcb6b315aae1fae041114e5e0ef3,2025-03-10 22:46:40,dependabot[bot],"chore(deps-dev): bump eslint from 9.21.0 to 9.22.0 (#1396)

Bumps [eslint](https://github.com/eslint/eslint) from 9.21.0 to 9.22.0.
- [Release notes](https://github.com/eslint/eslint/releases)
- [Changelog](https://github.com/eslint/eslint/blob/main/CHANGELOG.md)
- [Commits](https://github.com/eslint/eslint/compare/v9.21.0...v9.22.0)

---
updated-dependencies:
- dependency-name: eslint
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
dd651d6f56bde82f34abab98ef07edd39fd9fc1a,2025-02-25 22:43:20,dependabot[bot],"chore(deps-dev): bump eslint from 9.20.1 to 9.21.0 (#1394)

Bumps [eslint](https://github.com/eslint/eslint) from 9.20.1 to 9.21.0.
- [Release notes](https://github.com/eslint/eslint/releases)
- [Changelog](https://github.com/eslint/eslint/blob/main/CHANGELOG.md)
- [Commits](https://github.com/eslint/eslint/compare/v9.20.1...v9.21.0)

---
updated-dependencies:
- dependency-name: eslint
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
8ccc08aa2306e786ef384561702428794b694081,2025-02-20 22:51:31,dependabot[bot],"chore(deps-dev): bump eslint from 9.20.0 to 9.20.1 (#1388)

Bumps [eslint](https://github.com/eslint/eslint) from 9.20.0 to 9.20.1.
- [Release notes](https://github.com/eslint/eslint/releases)
- [Changelog](https://github.com/eslint/eslint/blob/main/CHANGELOG.md)
- [Commits](https://github.com/eslint/eslint/compare/v9.20.0...v9.20.1)

---
updated-dependencies:
- dependency-name: eslint
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
7f73d1422b3f992f812c4f4a6aff4b290e94f19b,2025-02-20 22:50:16,dependabot[bot],"chore(deps): bump serialize-javascript from 6.0.1 to 6.0.2 in /site (#1387)

Bumps [serialize-javascript](https://github.com/yahoo/serialize-javascript) from 6.0.1 to 6.0.2.
- [Release notes](https://github.com/yahoo/serialize-javascript/releases)
- [Commits](https://github.com/yahoo/serialize-javascript/compare/v6.0.1...v6.0.2)

---
updated-dependencies:
- dependency-name: serialize-javascript
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
7487e9215900d3f6aa58f2aaf989c9abbad56b14,2025-02-20 22:49:56,dependabot[bot],"chore(deps): bump webpack from 5.97.1 to 5.98.0 in /site (#1390)

Bumps [webpack](https://github.com/webpack/webpack) from 5.97.1 to 5.98.0.
- [Release notes](https://github.com/webpack/webpack/releases)
- [Commits](https://github.com/webpack/webpack/compare/v5.97.1...v5.98.0)

---
updated-dependencies:
- dependency-name: webpack
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
bbb6a2a03ee6159a763acc451f67d632a366487e,2025-02-20 22:49:11,dependabot[bot],"chore(deps-dev): bump globals from 15.14.0 to 16.0.0 (#1392)

Bumps [globals](https://github.com/sindresorhus/globals) from 15.14.0 to 16.0.0.
- [Release notes](https://github.com/sindresorhus/globals/releases)
- [Commits](https://github.com/sindresorhus/globals/compare/v15.14.0...v16.0.0)

---
updated-dependencies:
- dependency-name: globals
  dependency-type: direct:development
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
373306a34cb4836343f8249dea8b6f07397b57e5,2025-02-20 03:56:50,dependabot[bot],"chore(deps-dev): bump postcss from 8.5.2 to 8.5.3 (#1391)

Bumps [postcss](https://github.com/postcss/postcss) from 8.5.2 to 8.5.3.
- [Release notes](https://github.com/postcss/postcss/releases)
- [Changelog](https://github.com/postcss/postcss/blob/main/CHANGELOG.md)
- [Commits](https://github.com/postcss/postcss/compare/8.5.2...8.5.3)

---
updated-dependencies:
- dependency-name: postcss
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
3544a866ffc345107920fb84cf6ea186d34f046b,2025-02-12 03:15:25,dependabot[bot],"chore(deps): bump js-beautify from 1.15.1 to 1.15.3 in /site (#1386)

Bumps [js-beautify](https://github.com/beautifier/js-beautify) from 1.15.1 to 1.15.3.
- [Release notes](https://github.com/beautifier/js-beautify/releases)
- [Changelog](https://github.com/beautifier/js-beautify/blob/main/CHANGELOG.md)
- [Commits](https://github.com/beautifier/js-beautify/compare/v1.15.1...v1.15.3)

---
updated-dependencies:
- dependency-name: js-beautify
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
59a9be7024bc636df725d24a2d7cdaabb447c9b2,2025-02-12 03:15:06,dependabot[bot],"chore(deps-dev): bump eslint from 9.18.0 to 9.20.0 (#1383)

Bumps [eslint](https://github.com/eslint/eslint) from 9.18.0 to 9.20.0.
- [Release notes](https://github.com/eslint/eslint/releases)
- [Changelog](https://github.com/eslint/eslint/blob/main/CHANGELOG.md)
- [Commits](https://github.com/eslint/eslint/compare/v9.18.0...v9.20.0)

---
updated-dependencies:
- dependency-name: eslint
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
