Hash,Date,Author,Message,IsMerge
a4b5b603568b1e04cced057d68ada62be9f6fc00,2025-02-07 05:47:21,Harris Miller,update _filterMap to use lower-level code to match ramda stanards (#3508),False
bf705db27e419a4d1a0cc33e814b3655470b1ca3,2025-02-02 00:30:41,Dave Tapley,Add filter for Maps (#3497) (#3507),False
fdf8722d6cde38c4f8f85cc557100f83f431fd81,2025-01-09 01:21:08,Joseph Adams,Remove references to R.merge in documentation for other merge functions. (#3505),False
be4a5f614e9e7650d45b0d4b2a5e11bc95a93a24,2024-11-26 01:06:26,Owl's Insight,Update count function comment with clearer parameter descriptions (#3499),False
852e252041fbbd8e341d0d3dc7749c2b5bd692a7,2024-11-20 21:16:38,Owl's Insight,Change return type comment in count function (#3496),False
173ceba9ab89a28428b4794594dc436b993a932b,2024-08-18 20:47:51,Toni Leigh Sharpe,"3438 (docs details) (#3482)

* fix 3438 refer to pipeWith from andThen docs with egs",False
b40523e492ca15ca04d18cd5f477d3de3339aae1,2024-08-09 20:32:22,Sarun Rattanasiri,remove arrow function usages in partialObject.js (#3484),False
6e8b68ff35ad995c9576f88fc574d8715b21590a,2024-08-07 20:09:06,Harris Miller,"R.empty() support for Map and Set (#3481)

* support Map and Set in empty with instanceof",False
c1bb88aea3b132cd69819ad29d1f54b9ec62ad8b,2024-07-16 21:58:02,Harris Miller,"fix(lensPath) works with negative indexes (#3479)

 * assoc/assocPath set negative indexes starting from the end, matching the behavior of nth()
 * fixes dependent functions eg lensPath",False
9f2bf8f1b6ed0fd611d5fd4680ff729897cc5376,2024-07-15 11:56:44,Kevin Wallace,move dist build from npm build to publish script (#3480),False
5d50bde574bfa027be70029e0d76bdf869f3f25b,2024-06-26 21:34:41,Ivan Shalin,"Make nth head last behavior consistent for arrays and strings (#3477)

Co-authored-by: Ivan Shalin <ivan.shalin@nordigy.ru>",False
0be4573a2e9d66ae9088ca2c0472428952cc98a3,2024-06-19 22:32:25,Harris Miller,update docs to represent correctly supported types (#3474),False
980b3bf7712adb8ad8b5d9b2c6aca525cb3cf143,2024-06-03 03:14:13,kedashoe,Version 0.30.1,False
de700e25e5c655f0337b81ff00239bbf3f8fc9f2,2024-05-24 20:22:20,Nicolas DUBIEN,"chore: Bump fast-check to version 3 (#3301)

The version 3 of fast-check added something very interesting for libraries such as ramda: it can more likely produce values such as `__proto__` or `toString` which are known sources for CVE.

On fast-check's side, I also worked on some tooling making poisoning related issues even simpler to detect with an automatic detection for poisoning on globals. I successfully found back several past CVEs of lodash thanks to it.",False
c7660837a18ce1d1581ed7ec4edc07acd1c5709e,2024-05-14 11:40:45,Sebastian Bayer,Add ascendNatural and descendNatural functions (#3442),False
322540047fb497d3050326b21c513c737c1dded0,2024-05-07 20:20:33,Harris Miller,Fix: cross-version placeholder support (#3463),False
c2a4b953141869dd0d2b716a3d3a752056672904,2024-05-04 21:10:47,Kevin Wallace,fix coverage bot so it updates initial coverage post (#3466),False
