Hash,Date,Author,Message,IsMerge
b833d66c437b6a96c13591bcc9f7b3f4d2a6170e,2024-10-15 04:38:07,Alex Reardon,"Merge pull request #2674 from atlassian/updating-emoji

no longer reusing same emoji in banner",True
b4ada57c5dfb5bb69c76ac2ac96881a047facb56,2024-10-15 04:36:01,Alex Reardon,"Merge pull request #2671 from Pawikoski/master

Change netlify.com to netlify.app",True
ef2e6d0efc4f25b756465aa27a3478f24b30f322,2024-10-15 04:33:59,Alex Reardon,no longer reusing same emoji in banner,False
c6993694e28dcd2c4725081616784fd4a2b26fa6,2024-10-15 04:31:53,Alex Reardon,"Merge pull request #2673 from atlassian/adding-deprecation-notice

adding deprecation notice to readme",True
e3a722c82bd6cbaa23e2db28e1f7b8dd39ee285c,2024-10-15 04:03:34,Alex Reardon,adding deprecation notice to readme,False
206823559235852291f577786f5785671ae6757d,2024-10-06 18:47:44,Paweł Stawikowski,"Change netlify.com to netlify.app due to deprecated automatic .com redirects
https://answers.netlify.com/t/deprecating-automatic-com-redirects/115442",False
ae7bcf326928fea3615dfed092dd4261a3976e0d,2024-04-04 05:05:40,Alex Reardon,"Merge pull request #2574 from atlassian/updating-readme-with-notice

adding notice about Pragmatic drag and drop",True
c1e8e4ebc2bee0bab4f8841ca4debd75e1e0dfb4,2024-04-04 04:24:28,Alex Reardon,updating formatting,False
81eff66248f638e1dcf3c6a2d000740ec53b5ea4,2024-04-04 04:02:20,Alex Reardon,updating section message type,False
3bce4c19d8ad6ef3c317680b9dcd240854535a35,2024-04-04 04:02:20,Alex Reardon,adding notice about Pragmatic drag and drop,False
96fedc3c68624b9d3ee1c19100bcd7f24ae251b6,2024-04-04 04:01:13,Alex Reardon,"Merge pull request #2575 from atlassian/trying-to-fix-build

fixing build",True
a302056b9753d332aba00d01fe59ba636ed4b697,2024-04-04 03:57:00,Alex Reardon,reverting timeout change,False
099fea20de463b9d01dbeafbbc20e29307f18758,2024-04-04 03:02:40,Alex Reardon,disabling a11y browser test for now,False
96844518693b932bd86d54738d75fc4ba1e91d0a,2024-04-03 16:45:06,Alex Reardon,increasing timeout,False
b98206b99bd1a0331b3c4c3bf94c900dcb556728,2024-04-03 16:16:45,Alex Reardon,increasing lighthouse timeout for ally test,False
f72a7004564e187445bef833e937783a6f5e8734,2024-04-03 16:08:59,Alex Reardon,trying to fix build,False
013bfceac04ff48548c33cdc468dd2927446fc1b,2023-06-08 08:20:02,Daniel Del Core,"Merge pull request #2499 from k-sav/patch-1

Docs: Update setup-problem-detection-and-error-recovery.md",True
1efc28093d754a1b14c985305cfa08002020c0e6,2023-04-20 15:26:16,Kris,"Update setup-problem-detection-and-error-recovery.md

Fix small type. Assuming a non-rbd /runtime error also cancels any active drag",False
468c710f7b440ba1556d4381fca24ae78eb5cd4e,2022-11-15 04:23:58,Daniel Del Core,"Merge pull request #2454 from paulmoliva/patch-1

Update draggable.md style spread example",True
73517f3439be2e4b724c106627fee54ac6676773,2022-11-11 02:29:22,Paul Oliva,"Update draggable.md style spread example

Style overrides should occur AFTER the spread of the style props, to match the guide.",False
