Hash,Date,Author,Message,IsMerge
9e3ce95bacaa9a1b259f969870a21c727232cc68,2019-11-18 05:19:58,Nik Butenko,"Merge pull request #578 from nkbt/Need-to-maintain-same-build-file-locations-577

Maintain the same build file paths",True
6f886eaa7aabe3ec48ab0711ee1a217fd90aa83b,2019-11-15 15:34:28,Nik Butenko,Update babel build to transform modeules to commonjs,False
a45d160b04498fc27ce37ed984c54d13c3ea3fe7,2019-11-15 14:06:18,Nik Butenko,Maintain the same build file paths,False
5d643047762a1c809f4b5317eeb5b9efe9239856,2019-11-12 09:14:37,Nik Butenko,"Merge pull request #575 from theopak/theopak/2019-11-08-rename-unsafe-lifecycle-methods

rename react lifecycle methods to prefix ""UNSAFE_""",True
fe8aae31bd3bc629221ebac58a67dd34f9ed74e4,2019-11-09 03:16:58,Theodore X. Pak,build output after `yarn install`,False
a72357295a8043a592d586a6ce5bbb64e36b3db9,2019-11-09 03:08:17,Theodore X. Pak,"configure eslint for the ""UNSAFE_"" lifecycle prefix",False
7d020c8c94334c576f4c51ae8fddf0013d562ebd,2019-11-09 03:08:02,Theodore X. Pak,upgrade devDep eslint 5.0.1 -> 5.x,False
bf0b3dd9d9e64bf981fccd864dc052f8a21f9b67,2019-11-09 02:39:26,Theodore X. Pak,"rename react lifecycle methods to prefix ""UNSAFE_""

    - via `npx react-codemod rename-unsafe-lifecycles`
    - using options: ./src, ""JavaScript with Flow""
    - fixes console warnings for react v16.9.0
    - fixes react v17 compatibility
    - note that this doesn't do address the underlying motive of the
      warnings regarding unsafe component lifecycle methods",False
3305ecdcbc81630595b117a379536277ea8cbeda,2018-10-09 16:02:31,Nik Butenko,"Merge pull request #555 from ossdev07/react__motion

Replace phantomjs with headless chrome and remove deprecated phantomjs",True
0a18feb0e60a96e72fc303576753a164955580e6,2018-10-09 15:12:54,ossdev07,"React-motion: Removed phantomjs dependency

PhantomJS is a unmaintained project removed
phantomjs dependency from package.json and
Added support for Karma-chrome-launcher.

Signed-off-by: ossdev07 <ossdev@puresoftware.com>",False
1b78cdd8504c4427ebce63a19b4e78c377c421f7,2018-08-14 00:00:02,Nik Butenko,"Merge pull request #550 from TrySound/improve-babel

Improve babel config",True
4ccdd4dfe288554da6c5590ec2ca46c1e99065a4,2018-08-12 15:12:21,Bogdan Chadkin,Remove propTypes in production,False
dc40c5294d9f25e3ece53e362d05832b201a5a52,2018-08-11 13:27:37,Bogdan Chadkin,Remove babel cli,False
1a7783835930560e02a60563edbe65d4b8c2a88c,2018-08-11 13:25:22,Bogdan Chadkin,"Improve babel config

- enable loose mode for env and class properties
- reuse helpers from babel runtime instead of duplicating them",False
c0897fe77e9725f837a44f08b59d1bf515a978b5,2018-08-11 13:10:45,Bogdan Chadkin,Add prettier (#549),False
10d3005069e19033973c4e12319b3c51e7a554f2,2018-08-09 14:51:59,Nik Butenko,"Merge pull request #548 from TrySound/flat-bundles

Upgrade babel and build esm and cjs bundles",True
407b98ea7ea90dd832dac126af097e6d3b3e00e3,2018-08-06 12:56:10,Bogdan Chadkin,"Upgrade babel and build esm and cjs bundles

In this diff I suggest to use bundles instead of transpiled with just
babel files. There are a few reasons for them

- more controllable size and output
- slightly faster user bundling
- faster browser loading if somebody will use it
- better debugging in development mode without sourcemaps (less webpack stuff)
- hidden internals which may cause breaking changes if user decide to use them

Size snapshot shows also treeshakability for esm bundles so I can apply
more optimisation which will be visible to us.",False
ed00b957d6284bf9503ee9933bbc93f51864231b,2018-07-06 11:41:26,Bogdan Chadkin,"Bundle umd with rollup (#546)

Rollup produces smaller and readable output which do not require source
maps.

- removed sourcemaps from umd bundle
- bundle umd with rollup
- added production umd version

Previously minified development bundle had 31750b. The new one 24575b",False
d74daba666e9b9ee4bb2f42f1818b481c2d2518d,2018-07-06 03:46:48,Bogdan Chadkin,"Upgrade stack (#545)

* Upgrade stack

I wanted to upgrade only babel but everything else was broken so I
upgraded babel, webpack, eslint and karma.

Disabled a lot of eslint rules to not change existing code. Maybe it's
better to migrate to prettier later.

This changes will unblock me from providing smaller output.

* Fix flow",False
8a094afe1dca51b09958798f95333c3d6aae6b27,2018-07-03 09:33:15,Mikhail Vasin,Fix link (#536),False
4222c5c61ad4d4e0d8abc71c49bfc4fe1d1efb74,2018-07-03 09:32:46,Alasdair McLeay,chenglou/react-motion#507 performance-now update (#509),False
f0e51f72cf425731f2c47f50d403c5195b227c97,2018-07-03 09:32:14,tomasz stryjewski,Fixed memory leak (#518),False
7544df9c1eb8ececd077bca67ac2440497a5240b,2018-07-03 09:31:06,Bogdan Chadkin,Reexport flow types from src (#533),False
8bd4f7223a8d79535586220f7173f078d4604e07,2017-10-03 04:48:11,Nik Butenko,0.5.2,False
e414dab4af7b247956915268ceb0e986d88a005f,2017-09-27 02:02:40,Roderick Hsiao,Support React 16 (#496),False
b1cde24f27ef6f7d76685dceb0a951ebfaa10f85,2017-08-30 15:35:20,Cheng Lou,"Revert ""Upgrade typings to flow 0.53.1 (#485)"" (#487)

This reverts commit 25230a49a43442b958ba95d07eb2995f66fac73e.",False
25230a49a43442b958ba95d07eb2995f66fac73e,2017-08-30 15:31:21,AugustinLF,Upgrade typings to flow 0.53.1 (#485),False
d4d4e3e98687151a050a43901e5d61b43dba8af9,2017-08-29 00:53:00,Cheng Lou,Update integration test rm version,False
cee4eb5ee1c1b91115c9e98d45a593f482395cdf,2017-08-29 00:51:22,Cheng Lou,0.5.1,False
6be11504ab94d0073bf2ae92fd85cfb812a1817f,2017-08-29 00:49:24,Cheng Lou,"Prepare for new release

cc @nkbt. Thanks again for your great maintenance!",False
