Hash,Date,Author,Message,IsMerge
fcbe2d1e9225282671e39f9f639e2cb04c7e1e65,2025-01-22 00:45:11,Freddy Harris,[fix] Support array syntax on transformOrigin,False
0d5fb0f6ca6c83606e5db657440fe41fc8bb5ffa,2025-01-22 00:43:42,rosko,[feat] Support style boxShadow as array,False
de32e19ce0c1ce236bdc4457beccaa3ac4f87a08,2025-01-22 00:39:39,rosko,[fix] Default value for alignContent style property,False
a5ba27c6226aa182979a9cff8cc23c0f5caa4d88,2024-10-17 07:22:20,Nicolas Gallagher,0.19.13,False
fc423ba4fea944ca50ab4bbc11f8eee6511d92c5,2024-10-17 07:18:47,Nicolas Gallagher,"Remove API deprecation warnings

Removes warnings for non-standard APIs in React Native, given there has
been no upstream interest in deprecating them. And the standards-based
approach to cross-platform React is instead being built into React
Strict DOM.",False
abc4abb73882eb816c778e59263ed885badf77b1,2024-10-17 04:04:07,Ben Lu,[fix] dont throw if invalid locale,False
1d4568ded6b46c7b8041724cec565b4dbc058d0b,2024-10-17 04:03:20,evanbacon,"Add basic support for React Server Components

Close #2678
Fix #2672

Co-authored-by: evanbacon <bacon@expo.io>",False
bb7911c8f40d1b0eb8f35f80a7fb5dddf36c40b7,2024-10-16 03:41:27,Nicolas Gallagher,Bump jest,False
72a74d2977ef387301a3a8e10cbd67c413287ec7,2024-10-16 03:10:52,Karl Sander,change operator used in SVG filter for tintColor from atop to in,False
e92222446f36a0ec446900fc1b5570c9c6adbd30,2024-10-16 03:10:33,QichenZhu,"[fix] TextInput refocusing issue with selectTextOnFocus

Check if the input is still focused before selecting text

Fix #2704",False
907aac94b2fc1ac7d6557c6c57ee4b842c7bc197,2024-10-16 03:05:00,dependabot[bot],"Bump pug from 3.0.2 to 3.0.3

Bumps [pug](https://github.com/pugjs/pug) from 3.0.2 to 3.0.3.
- [Release notes](https://github.com/pugjs/pug/releases)
- [Commits](https://github.com/pugjs/pug/compare/pug@3.0.2...pug@3.0.3)

---
updated-dependencies:
- dependency-name: pug
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
8b7b50a124bdace9a875a7e0129605259a1a0d1e,2024-10-16 03:04:53,dependabot[bot],"Bump socket.io from 4.6.0 to 4.7.5

Bumps [socket.io](https://github.com/socketio/socket.io) from 4.6.0 to 4.7.5.
- [Release notes](https://github.com/socketio/socket.io/releases)
- [Changelog](https://github.com/socketio/socket.io/blob/4.7.5/CHANGELOG.md)
- [Commits](https://github.com/socketio/socket.io/compare/4.6.0...4.7.5)

---
updated-dependencies:
- dependency-name: socket.io
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
da3c583a5c35377342a645f6f905b0e2c128b740,2024-10-16 03:04:42,dependabot[bot],"Bump fast-loops from 1.1.3 to 1.1.4

Bumps [fast-loops](https://github.com/robinweser/fast-loops) from 1.1.3 to 1.1.4.
- [Commits](https://github.com/robinweser/fast-loops/commits)

---
updated-dependencies:
- dependency-name: fast-loops
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
bc0b637974334342bc74dc359ed77dd7a3b28cf9,2024-10-16 03:03:36,dependabot[bot],"Bump braces from 3.0.2 to 3.0.3

Bumps [braces](https://github.com/micromatch/braces) from 3.0.2 to 3.0.3.
- [Changelog](https://github.com/micromatch/braces/blob/master/CHANGELOG.md)
- [Commits](https://github.com/micromatch/braces/compare/3.0.2...3.0.3)

---
updated-dependencies:
- dependency-name: braces
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
98a66b41747ccc093701044dce1e3ebb7502c003,2024-10-16 03:03:26,dependabot[bot],"Bump ws from 8.12.1 to 8.17.1

Bumps [ws](https://github.com/websockets/ws) from 8.12.1 to 8.17.1.
- [Release notes](https://github.com/websockets/ws/releases)
- [Commits](https://github.com/websockets/ws/compare/8.12.1...8.17.1)

---
updated-dependencies:
- dependency-name: ws
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
ce28ea8a469f1077541d391232884dd73a0b3de8,2024-10-16 03:02:43,Samuel Newman,"Coerce `AppState.isAvailable` to a boolean

Close #2674",False
7401d6919002e7f89e50809aa2d9decf166ee9f6,2024-10-16 02:51:57,Roman Melnyk,"Remove HTTP status code for Image error msg

Close #2722",False
1e39c2d8a05413034267ae16d54348f5601c82b7,2024-10-02 01:40:19,Fábio Henriques,Add TypeScript support page,False
54c14d64dabd175e8055e1dc92e9196c821f9b7d,2024-05-22 16:44:26,Nicolas Gallagher,0.19.12,False
da47f21dbe1cd395a42349a9403288bde534ae32,2024-05-22 16:42:06,Aspen,"[add] Support showSoftInputOnFocus on TextInput

Close #2659
Fix #2548",False
2106944226b22b3d47873a4452dbee922ff497db,2024-05-22 16:17:12,Ben Lu,"[fix] alt text on Image; role on label

Close #2666
Fix #2665",False
12db5a2622d97ce3580ef2cdaed67aa9f2ad9fed,2024-05-17 18:46:56,Zoe Roux,"Fix clamp csj usage

Close #2669",False
2098b1ff3974861272f1c6ee8cb05433dae4ee06,2024-05-17 18:43:57,Nicolas Gallagher,"Revert ""[fix] VirtualizedList passive event listener warning""

This reverts commit a0cd8ffba4ade1b5860164cb4ef89a652a68580f.

Fix #2658
Close #2667",False
25ef6bdee68cfd54461637bd447eaadd5ed761cf,2024-05-14 22:00:44,dependabot[bot],"Bump ejs from 3.1.8 to 3.1.10

Bumps [ejs](https://github.com/mde/ejs) from 3.1.8 to 3.1.10.
- [Release notes](https://github.com/mde/ejs/releases)
- [Commits](https://github.com/mde/ejs/compare/v3.1.8...v3.1.10)

---
updated-dependencies:
- dependency-name: ejs
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
36948a63fc50a598a877293bbd13601ae10d47cb,2024-04-22 22:53:07,Nicolas Gallagher,0.19.11,False
e90c3bea38da16d8ac25d8656686165d91d15341,2024-04-22 22:50:16,dependabot[bot],"Bump @babel/traverse from 7.20.13 to 7.23.2

Bumps [@babel/traverse](https://github.com/babel/babel/tree/HEAD/packages/babel-traverse) from 7.20.13 to 7.23.2.
- [Release notes](https://github.com/babel/babel/releases)
- [Changelog](https://github.com/babel/babel/blob/main/CHANGELOG.md)
- [Commits](https://github.com/babel/babel/commits/v7.23.2/packages/babel-traverse)

---
updated-dependencies:
- dependency-name: ""@babel/traverse""
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
84dcaf03c3436bcd5cc7d621c59c30bc775c1509,2024-04-22 22:49:59,dependabot[bot],"Bump follow-redirects from 1.15.4 to 1.15.6

Bumps [follow-redirects](https://github.com/follow-redirects/follow-redirects) from 1.15.4 to 1.15.6.
- [Release notes](https://github.com/follow-redirects/follow-redirects/releases)
- [Commits](https://github.com/follow-redirects/follow-redirects/compare/v1.15.4...v1.15.6)

---
updated-dependencies:
- dependency-name: follow-redirects
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
7d60ff83d357923653525576e6bb39d23a51681d,2024-04-22 22:48:41,Bernhard Owen Josephus,"[fix] Pressable keyboard onPress bug

Don't call onPress when keyup is called on a different element than the
target.

Fix #2605
Close #2632",False
a0cd8ffba4ade1b5860164cb4ef89a652a68580f,2024-04-04 03:24:54,Tienifr,"[fix] VirtualizedList passive event listener warning

Close #2601",False
8cf720f0e57c74a254bfa7bed0313e33a4b29c11,2024-04-02 01:40:00,Mišo Belica,"Add missing method `Keyboard.isVisible()`

Close #2651",False
cc0439299eb699b3ddd6f312eef83acbfcc03086,2024-04-02 01:36:08,tarunrajput,"[fix] @react-native/normalize-colors dependency

Fix #2629
Close #2639",False
e44bcf4e814f9bc4de305a9cfd29611a5a629b31,2024-04-02 01:34:51,s-alves10,"[fix] use getBoundingClientRect instead of getRect for measureInWindow

Fix #2589
Close #2613",False
8f55ed0f605c83c614d00675c1abab0de626dc8a,2024-01-10 19:41:17,dependabot[bot],"Bump follow-redirects from 1.15.2 to 1.15.4

Bumps [follow-redirects](https://github.com/follow-redirects/follow-redirects) from 1.15.2 to 1.15.4.
- [Release notes](https://github.com/follow-redirects/follow-redirects/releases)
- [Commits](https://github.com/follow-redirects/follow-redirects/compare/v1.15.2...v1.15.4)

---
updated-dependencies:
- dependency-name: follow-redirects
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
5f9c32eba0f840bde7b462a57d0748358ff866f6,2023-12-25 03:04:02,Nicolas Gallagher,0.19.10,False
24212aacf6883d44e6135b8de027375e7beb6153,2023-12-21 01:17:46,evanbacon,"[fix] Remove transform style warning

React Native's implementation of string transforms is incomplete.

Close #2622",False
a3ea2a0a4fd346a1b32e6cef527878c8e433eef8,2023-09-20 04:13:41,Nicolas Gallagher,0.19.9,False
5e41208b78c7ed69308985f9f915c5e1f7db4684,2023-09-20 04:11:01,Pedro Guerreiro,"[fix] TextInput cursor position with secureTextEntry

On web, the cursor jumps to the start of the input when secureTextEntry is toggled.
Preserve and restore previous selection after secureTextEntry is toggled.

Close #2576",False
67a0bde7b3c15fd2b47a42978d7f9f3ffcda3ff6,2023-08-25 00:50:53,Nicolas Gallagher,0.19.8,False
d8f1b5892d18ebee5eabc8c1b17b93f2a6443874,2023-08-25 00:44:04,Bernhard Owen Josephus,"[fix] Correct timing of <Modal> onDismiss callback

Close #2558",False
ef95fc0c2b40cc0d3743df4b56485a16a8442e5f,2023-07-21 01:38:42,Nicolas Gallagher,0.19.7,False
617b438530df447514312d8f0801f717a93abb8b,2023-07-21 01:36:31,ramiel,"[fix] Only stringify numeric aspectRatio

Close #2561",False
213b616b3cf3c17a252cdd9f7e1731031149ccee,2023-07-21 01:15:37,tarunrajput,"[fix] Switch uses aria-label on native control

Close #2559
Fix #2549",False
a8a0c1763bb43070b4fd684dddb06582d9cf2748,2023-07-20 02:39:43,Nicolas Gallagher,"[fix] Pressable button click regression

Update keyboard handling code to avoid calling preventDefault for
'keydown' events occuring on a native button element. This was causing
native 'click' event to be cancelled on buttons.

Fix #2560",False
3babcc45873dcde0a4ec7214ec9ea18d35232f79,2023-07-20 02:04:53,berkcoker,"[fix] Remove StyleSheet.compose(a, b) in FlatList

Close #2555
Fix #2554",False
9d7dca1204e2991108c145f0cdfc8b2524b12bce,2023-07-20 01:54:23,dependabot[bot],"Bump word-wrap from 1.2.3 to 1.2.4

Bumps [word-wrap](https://github.com/jonschlinkert/word-wrap) from 1.2.3 to 1.2.4.
- [Release notes](https://github.com/jonschlinkert/word-wrap/releases)
- [Commits](https://github.com/jonschlinkert/word-wrap/compare/1.2.3...1.2.4)

---
updated-dependencies:
- dependency-name: word-wrap
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
15f78993a58202b4b9858943a799c152e3067385,2023-07-10 23:54:04,dependabot[bot],"Bump tough-cookie from 4.1.2 to 4.1.3

Bumps [tough-cookie](https://github.com/salesforce/tough-cookie) from 4.1.2 to 4.1.3.
- [Release notes](https://github.com/salesforce/tough-cookie/releases)
- [Changelog](https://github.com/salesforce/tough-cookie/blob/master/CHANGELOG.md)
- [Commits](https://github.com/salesforce/tough-cookie/compare/v4.1.2...v4.1.3)

---
updated-dependencies:
- dependency-name: tough-cookie
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
b04ca26ea9346fe6f6bd2377a5b04a85db119c38,2023-07-10 23:10:11,Nicolas Gallagher,Force install react-integration workflow dependencies,False
b10c66351eae55a8ea798a1217254d7a2658c5b1,2023-06-29 02:09:46,Nicolas Gallagher,0.19.6,False
869c416a361eaf9075ced6304587b4d4d5225906,2023-06-29 01:00:55,Nicolas Gallagher,"[fix] Animated fix transforms on null values

Fix #2528
Fix #2523
Close #2546
Close #2530",False
d200276659875f0a29f1194c21e0c7b7b8313ce0,2023-06-29 01:00:42,Nicolas Gallagher,[fix] Missing @react-native/normalize-color updates,False
80e83fa578fb6f9c9bf679891a8fe085bba007cf,2023-06-27 05:29:48,Meenu Makkar,"[fix] Update normalize-color

Picks up latest CSS Color support from React Native

Close #2545
Fix #2525",False
1c376dbb0c8f223370814c4b21fbf57d25ef79f2,2023-06-27 05:28:17,Aswin S,"[fix] Add support for caretHidden prop in TextInput

Close #2542
Fix #2541",False
c350d82427a0f7651ae4421bf373cde72f27bb0f,2023-06-16 08:57:12,Nicolas Gallagher,0.19.5,False
6dbef6eece0621c54462c05f50600a61a31b28d3,2023-06-16 08:53:51,tarunrajput,"Fix website undesired vertical scrollbar on Windows

Fix #2488
Close #2529",False
14204b083fb77e367ed2157f3d326043d6a08659,2023-06-16 08:52:21,ankit-tailor,"Use correct ""NativeBase"" name in website docs

Close #2518",False
6ab9b6125b174c407a718fd9b42b49874aec1209,2023-06-16 08:49:18,Ali Toshmatov,"[fix] Dimensions measurements with window zoom

Fixes `window.height` and `window.width` so that they do not change when
pinch-zoomed. This issue was introduced by #2438 when `documentElement`
measurements were replaced by `visualViewport`.

Close #2520",False
9b69c739388e16e4a4909c67f11b4d62d4a57daf,2023-06-16 08:46:04,jennifersalas,"[fix] Make children pressable when parent is disabled

It fixes the inconsistency between native builds and react-native-web,
where when disabling Pressables and other tappable elements, the
children on native builds are still interactable (swiping, tapping, etc)
but un-interactable in react-native-web. On react-native-web, the
pointerEvents were set to 'none' to address 094bd0e, which causes this
inconsistency.

The solution was to change from 'none' to 'box-none', which maintains
the desired behavior of the original issue and addresses the current.

Close #2536
Fix #2391",False
2a901e5fb11ac314c753867fbc5b87060ed05f53,2023-06-07 22:57:48,Nicolas Gallagher,"[fix] Image: style resolving

Cannot pass the result of StyleSheet.flatten to components, as it mixes
dynamic and static (compiled away) style information.

With the way Image is currently implemented, we have to override
'boxShadow' in all cases to avoid the 'shadow*' props being incorrectly
applied as a box-shadow. Once Image is implemented using createElement,
we can disable the 'boxShadow"" generation just for Image.

Fix #2527",False
c43b629cba262d13a44b88eeb44ac72fbb5b28af,2023-06-01 03:45:32,dependabot[bot],"Bump socket.io-parser from 4.2.2 to 4.2.3

Bumps [socket.io-parser](https://github.com/socketio/socket.io-parser) from 4.2.2 to 4.2.3.
- [Release notes](https://github.com/socketio/socket.io-parser/releases)
- [Changelog](https://github.com/socketio/socket.io-parser/blob/main/CHANGELOG.md)
- [Commits](https://github.com/socketio/socket.io-parser/compare/4.2.2...4.2.3)

---
updated-dependencies:
- dependency-name: socket.io-parser
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
3acbbd815c2735a7a1ffeb06ff61a7810a5f3019,2023-06-01 03:45:21,dependabot[bot],"Bump nunjucks from 3.2.3 to 3.2.4

Bumps [nunjucks](https://github.com/mozilla/nunjucks) from 3.2.3 to 3.2.4.
- [Release notes](https://github.com/mozilla/nunjucks/releases)
- [Changelog](https://github.com/mozilla/nunjucks/blob/master/CHANGELOG.md)
- [Commits](https://github.com/mozilla/nunjucks/compare/v3.2.3...v3.2.4)

---
updated-dependencies:
- dependency-name: nunjucks
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
f06c8b5d132af7bf240309e1cef5ad90cb3e7c70,2023-06-01 03:45:13,dependabot[bot],"Bump yaml from 2.2.1 to 2.2.2

Bumps [yaml](https://github.com/eemeli/yaml) from 2.2.1 to 2.2.2.
- [Release notes](https://github.com/eemeli/yaml/releases)
- [Commits](https://github.com/eemeli/yaml/compare/v2.2.1...v2.2.2)

---
updated-dependencies:
- dependency-name: yaml
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
3af715a86c4d09a291a4f2325b324f6384cc2bbf,2023-06-01 03:45:00,dependabot[bot],"Bump engine.io from 6.4.0 to 6.4.2

Bumps [engine.io](https://github.com/socketio/engine.io) from 6.4.0 to 6.4.2.
- [Release notes](https://github.com/socketio/engine.io/releases)
- [Changelog](https://github.com/socketio/engine.io/blob/main/CHANGELOG.md)
- [Commits](https://github.com/socketio/engine.io/compare/6.4.0...6.4.2)

---
updated-dependencies:
- dependency-name: engine.io
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",False
39b94b194594adebdfd5d4a5b873ced8d387734e,2023-04-13 02:16:44,Nicolas Gallagher,"Remove internal createEventHandle module

Migrate to 'addEventListener' helper.

Fix #2459",False
e160546ec8357459f0b52141729edfcc4f3c58a6,2023-04-13 01:09:57,Nicolas Gallagher,0.19.4,False
84723245cec9fc4c18258eef835ceef00be49b30,2023-04-13 01:06:14,Nicolas Gallagher,"[fix] Linking listener.remove() API

Linking.removeEventListener() was deprecated in react-native@0.65

Fix #2507",False
526eac15d5893808d3dcaeba3a0329ef2e42fd91,2023-04-13 00:12:11,Nicolas Gallagher,0.19.3,False
76383017d7073401ca16d9da9067b0815b30c5c1,2023-04-13 00:07:10,Nicolas Gallagher,[fix] Defaults and fallback logic for web props,False
3e74ed0ea754d0862afd2098c2d1b1a365dee92a,2023-04-12 23:29:31,Nicolas Gallagher,Update interactive examples,False
338cce194de0ca4a458b82304366b3e6dac94e43,2023-04-12 23:29:24,Nicolas Gallagher,[fix] SSR of Animated doesn't call useLayoutEffect,False
67957380378cfdd52cf0adead603fde5fdca8af3,2023-04-12 23:29:12,Nicolas Gallagher,[fix] Patch more internal sources of deprecation warnings,False
4a61c1600feb103d023108bc8f761ba4a8c7de1b,2023-04-05 23:17:54,Nicolas Gallagher,0.19.2,False
5ace60eb7e74f497c00fab1d867eb0516dc23739,2023-04-05 23:05:15,Lucio Bertin Chávez Fuentes,"[fix] VirtualizedList sync from react-native

Fix #2432
Close #2167
Close #2502",False
1c5119b7e1638a22210291ef9ede5d9ab599ec55,2023-04-05 22:49:54,Nicolas Gallagher,"[fix] Reintroduce BackHandler with console.error

This API will be removed in a future version.",False
985c79f9247b53fce7a728d68c6cacebd506ef2c,2023-03-29 04:39:37,rory,"[fix] Nested scroll in inverted VirtualizedList

Close #2436
Fix #2435",False
03ddd95590d29348a5a8296961748cc738cf3063,2023-03-29 04:31:44,LucioChavezFuentes,"[fix] layout measurement API consistency with React Native

* Ignore CSS transforms in measurement.
* Cancel measurement if elements are unmounted.

Close #2501
Fix #1254",False
782a19a54e7ee78bd7449c43e60cd374ea743199,2023-03-28 03:34:39,Nicolas Gallagher,0.19.1,False
876079a56fff65de662bcd6581e57d6c79b658a6,2023-03-28 02:35:51,Nicolas Gallagher,[fix] Patch internal sources of deprecation warnings,False
75920f36956b3e1eacaf98461862e4a291631560,2023-03-27 23:09:53,Nicolas Gallagher,0.19.0,False
f156ed4ed166ad2f4a77cfc9c758880618d19b5e,2023-03-22 01:42:47,Nicolas Gallagher,Fix path to ISSUE_TEMPLATE in labels config,False
550afdc81dc8a060130e995b09cda48f2053de2e,2023-03-22 01:22:07,Nicolas Gallagher,Update documentation to match API changes,False
47671ca44e5edccfb714a9e95ba82419b760ea43,2023-03-21 00:55:51,Nicolas Gallagher,"[fix] Text inheritance of textAlign

Set textAlign on the default Text element. Prevents inheritance of
textAlign set on a parent View.

Fix #2498",False
29fcd9ab6d6ca1992f976c8594d88b800b5cf718,2023-03-21 00:55:50,Nicolas Gallagher,"[change] Text is position relative by default

Match default Text rendering in React Native.

Fix #2498",False
47d77ac256cf1324e684362465a2b0001d2db574,2023-03-21 00:55:50,ntdiary,"[change] Add task queue for InteractionManager

Close #2399",False
618660484fabe38d4958ba8f562033c434cf438a,2023-03-21 00:55:50,Bartosz Kaszubowski,"Update Expo info in docs

Close #2460",False
9431f1e4410172cef0a7ce65bbe82976c4db72a7,2023-03-21 00:55:50,Rajat Parashar,"Fix autoCorrect documentation

Close #2408",False
80591bf963b5049ae2f313c702ee0f2656ae66ba,2023-03-21 00:55:50,Nicolas Gallagher,"[add] Support for PointerEvent props

Adds support for PointerEvent prop handlers and removes `onClickCapture`.

Ref #2377",False
d60b90b717aee9fba8076bda4839cb6ef70361a2,2023-03-21 00:55:50,Nicolas Gallagher,Minor npm script edit,False
bc6e02e9d07f65ced209c8bc54c6ea8946e684d1,2023-03-21 00:55:50,Nicolas Gallagher,"[change] Move all non-standard CSS transforms to 'preprocess' step

This patch reorganizes the style compiler so that the 'preprocess' step
is responsible for all the work needed to transform any non-standard CSS
from React Native into a form that can be 'compiled' to rules for the
CSSStyleSheet.

Over time the 'preprocess' step should eventually be unnecessary as
React Native aligns its APIs with CSS APIs. And any external style
compilers should be able to run the 'preprocess' function over the style
input to produce valid CSS as input for the compiler.",False
43b463bdbd9817d33b037da1aafa78631b96bfda,2023-03-21 00:55:50,Nicolas Gallagher,"[change] W3C logical styles support

* Support logical styles like 'marginInlineStart' and
  'insetInlineStart' via polyfills.
* Deprecate non-standard 'marginStart' etc. properties.

Ref #2379",False
