Hash,Date,Author,Message,IsMerge
c737715486f724586aee8870ebea1e9efb7b0bfe,2025-01-21 03:11:39,Brian Vaughn,Version bump 9.22.5 -> 9.22.6,False
b8234ac20b7fb7ba4e2d44e79db451c6b10fc007,2025-01-21 03:09:14,Brian Vaughn,Yarn DEV updates,False
aab8da4bc29850b22977468652d28a4d90f32d52,2025-01-21 03:09:01,Brian Vaughn,Version bump 9.22.4 -> 9.22.5,False
d9617ad4f1f5f64f31b04816b86297b378b86a44,2025-01-21 03:01:52,Anton Dubrouski,"Full react 19 support (#1866)

Co-authored-by: Anton Dubrouski <anton.dubrouski@softnetix.io>",False
2f6ff33dd9ce5b149a2767144a847f1705fb7bc0,2024-08-14 01:03:48,Brian Vaughn,Revert stale.yml,False
1cb240542827649905219d955fe5540096968f1c,2024-08-14 01:01:04,Brian Vaughn,Automatically close stale PRs and issues,False
e78651c3d844c6f639347d1fb796072783c175d2,2023-04-18 00:55:02,Brian Vaughn,README changes,False
5532c382c28dfb270eb4eaec766198f772f24e94,2023-04-17 23:39:49,Brian Vaughn,Update README,False
005be24a608add0344284053dae7633be86053b2,2022-04-23 18:44:09,Rafael E. Belliard,chore: Add support for react ^17.0.0 and ^18.0.0 (#1740),False
2e962d8f8aebc22cb1168a8d147bcaa1d27aa326,2022-02-26 06:20:47,Brian Vaughn,Updated CHANGELOG. Someone else can publish this release if they want to handle any downsream consequences.,False
abe0530a512639c042e74009fbf647abdb52d661,2021-05-18 03:05:30,asnewman,"Fix grid roles for accessbility (#1624)

* Fix grid roles for accessbility

* Add test for gridcell role",False
d36509817ac44b4006c28ecc7ace04e20d781f2c,2021-05-18 03:04:39,Aleksey Levenstein,Update peer dependencies to allow React 17 (#1625),False
2ef636783ea93f8196040f5c3f09bd4f304f316b,2021-05-18 03:02:34,Jacob Torrång,"Fix issue with unused import being emitted (#1635)

* Fix issue with unused import being emitted

* Fix import",False
d427bca3540c48337f561f2f7f6f9f31750be4d3,2021-05-06 23:34:01,inokawa,fix syntax highlighting in Grid.md (#1628),False
3692e0ead774a1d70280482cf15e838b8bee5ee9,2021-05-06 23:30:10,傅鹏,fix: babel tranform es error (#1651),False
f8769f18eae7555e5990b4b8d3c9be9171d6f6fe,2021-04-20 05:00:17,Pedro Tacla Yamada,"Update bug fix in #1642 to also reset isScrolling (#1648)

After further testing, I've found that after `handleWindowScrollEvent`
is called we also need to force the `isScrolling` state variable to turn
back to false (otherwise there might be issues with rendering rows that
depend on `isScrolling`).",False
940cc6513d883c96e1f70d060fe3d1b42e5cb3bc,2021-04-08 04:25:41,Pedro Tacla Yamada,"Fix bug in WindowScroller::updatePosition (#1642)

Fixes a bug that happens when trying to react to ""header height"" changes
with WindowScroller.

The documentation currently points to calling WindowScroller::updatePosition,
however, while that updates the cached position on the WindowScroller
instance variables, it does not update the scrollTop state variable.

This causes virtual-lists linked to it to not properly render immediately after
a header height change; only after a subsequent scroll event.",False
e360d958b99fa965fd3f1caed4506403ad652cd3,2021-01-15 05:33:49,Jun,Update detectElementResize.js (#1627),False
ab19cf70faff582936cdac2aef7922028d589994,2020-12-19 05:38:33,inokawa,Fix typo (#1615),False
6c69c821b51862d2b6b8423301dd14bc84b552fc,2020-12-19 05:37:30,dependabot[bot],"chore(deps): bump tree-kill from 1.2.1 to 1.2.2 (#1591)

Bumps [tree-kill](https://github.com/pkrumins/node-tree-kill) from 1.2.1 to 1.2.2.
- [Release notes](https://github.com/pkrumins/node-tree-kill/releases)
- [Commits](https://github.com/pkrumins/node-tree-kill/compare/v1.2.1...v1.2.2)

Signed-off-by: dependabot[bot] <support@github.com>

Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
ee2962e79ff0edb032611facd40c351f7be3328d,2020-12-19 05:37:25,dependabot[bot],"chore(deps): bump handlebars from 4.5.1 to 4.7.6 (#1593)

Bumps [handlebars](https://github.com/wycats/handlebars.js) from 4.5.1 to 4.7.6.
- [Release notes](https://github.com/wycats/handlebars.js/releases)
- [Changelog](https://github.com/handlebars-lang/handlebars.js/blob/master/release-notes.md)
- [Commits](https://github.com/wycats/handlebars.js/compare/v4.5.1...v4.7.6)

Signed-off-by: dependabot[bot] <support@github.com>

Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
ef46a807c3d8073f40fe32999997ace9baa4aa69,2020-12-19 05:37:18,dependabot[bot],"chore(deps): bump http-proxy from 1.18.0 to 1.18.1 (#1594)

Bumps [http-proxy](https://github.com/http-party/node-http-proxy) from 1.18.0 to 1.18.1.
- [Release notes](https://github.com/http-party/node-http-proxy/releases)
- [Changelog](https://github.com/http-party/node-http-proxy/blob/master/CHANGELOG.md)
- [Commits](https://github.com/http-party/node-http-proxy/compare/1.18.0...1.18.1)

Signed-off-by: dependabot[bot] <support@github.com>

Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
c9fb3519f92b806b7539451a74639fec45186b2e,2020-12-19 05:37:11,dependabot[bot],"chore(deps): bump ini from 1.3.4 to 1.3.7 (#1619)

Bumps [ini](https://github.com/isaacs/ini) from 1.3.4 to 1.3.7.
- [Release notes](https://github.com/isaacs/ini/releases)
- [Commits](https://github.com/isaacs/ini/compare/v1.3.4...v1.3.7)

Signed-off-by: dependabot[bot] <support@github.com>

Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
2d31ad45fbc6fcfc92cd096260cf806d77c9cff9,2020-12-19 03:44:29,Jun Kokatsu,v9.22.3,False
e1bbd63f6d0d0fef638cd227514686cbf78f2fec,2020-12-19 03:39:30,Jun Kokatsu,Add Trusted Types support,False
dfc11907cb720db58e974579993f8da5c6265c47,2020-12-10 02:31:16,Jun,"Fix #1575: Create Trusted Type policy for assigning an HTML in detectElementResize.js (#1614)

* Create Trusted Type policy for assigning an HTML

Co-authored-by: Jun Kokatsu <Jun.Kokatsu@microsoft.com>",False
ff2e15c87ed1f52891682c0764b7c27549aa9cba,2020-08-11 02:25:59,Wei-Wei Wu,v9.22.2,False
