Hash,Date,Author,Message,IsMerge
8bcce8cf79d6d7217e1d67fa14e2a4bde76da2bf,2025-03-07 06:51:28,Sudheer Jonna,Merge branch 'master' of https://github.com/sudheerj/reactjs-interview-questions,True
7d49b5a10f098f66b8e3c471738438505bb6a305,2025-03-07 06:51:22,Sudheer Jonna,Update ESLint for hooks,False
42f27d5c32f525071bc4e038b914d0823a3acfb1,2025-02-24 19:24:30,Sudheer Jonna,"Merge pull request #348 from sharjeelfaiq/patch-1

Corrected grammar mistakes. Will correct the remaining in the future.",True
dd6de7affa23deb11fbb7a56292cd344c4665f1d,2025-02-24 18:51:32,Sharjeel Faiq,"Update README.md

Corrected grammar mistakes. Making it easier for the readers to understand.",False
3e906f6c3c4ed521c78b9e6d5d7f4050f99712cb,2025-02-24 08:31:31,Sudheer Jonna,Merge branch 'master' of https://github.com/sudheerj/reactjs-interview-questions,True
0e23cd5443781e0e64ee9d8fe99b59508d0895bb,2025-02-24 08:31:20,Sudheer Jonna,Add examples for hooks rules,False
6d0261402f884eb5554d264e87e4c67823b00d85,2025-02-24 07:40:36,Sudheer Jonna,Add examples for hooks rules,False
ad252cd840ad7b90770d8562730c1a9c7a869b9f,2024-12-22 10:06:17,Sudheer Jonna,"Merge pull request #345 from naazeri/master

fix typo in README.md",True
dc34667a1b99e59e19f1dd90362fdcedbb2bb0d5,2024-12-22 01:51:53,Reza Nazeri,format text,False
78d92da247ea5f05e6005d53b4f14a107375e214,2024-12-22 01:24:55,Reza Nazeri,"Update README.md

fix typo",False
4e12c8911fbe3f8920554494391acce5376942c5,2024-11-04 18:40:17,Sudheer Jonna,"Merge pull request #342 from in-in/patch-1

Fix typo",True
eee0084f7f7589c78950c99124a428d53f483f87,2024-11-04 18:33:00,in-in,Fix typo,False
5e76a216afc5ca43faa86331c501e9312f82d59c,2024-09-18 16:45:38,Sudheer Jonna,Update FUNDING.yml,False
33b8aa9f759b80eb0e67fea34cab44683ffe589b,2024-09-18 14:53:18,Sudheer Jonna,Create FUNDING.yml,False
942666fec23a498e76470c66334e7f87fac6a531,2024-09-18 14:46:35,Sudheer Jonna,Add license,False
f4f9f06d0dc7e20cb115a0c211cf463f3a680603,2024-08-27 15:09:37,Sudheer Jonna,Add useContext hook usecases,False
0e99671133566290b6b0c7434bb1e400c47e191c,2024-08-23 10:55:56,Sudheer Jonna,Fix formatting issue,False
d234c649d6c38546f034f07564c91c1d429e3e1a,2024-08-18 07:53:37,Sudheer Jonna,Fix code alignment issues,False
d2ea5a773d8b71bd14a9fd225a46960207bcb711,2024-08-13 15:55:46,Sudheer Jonna,"Merge pull request #335 from szepeviktor/typos

Fix typos",True
15dc072d3634bb74abac34c78b3ae551379255c6,2024-08-13 15:52:48,Viktor Szépe,Fix typos,False
66254e28062de0bf86631a61e24cf647ed773ca1,2024-08-13 06:44:44,Sudheer Jonna,Update default values question,False
8110c96bc85fc0645ebb38f653a6a527e48ba230,2024-08-04 20:43:30,Sudheer Jonna,Minor styling and content improvements,False
b738c408adedb1102669f7679f0eddf97163cdf9,2024-07-26 21:33:20,Sudheer Jonna,"Merge pull request #328 from oscartorres-10/patch-1

fix(Question 31): add code syntax to Fragment, delete redundant word",True
ca52c619204e75380b0423c29f91f2f6190cc478,2024-07-25 20:19:33,Sudheer Jonna,"Merge pull request #329 from oscartorres-10/patch-2

refactor(case): use camelCase in ""TypeScript"" and ""ReactJS""",True
746e6755d6059b6b96f8e829a128d5b236edb594,2024-07-25 20:13:07,Sudheer Jonna,"Merge pull request #330 from oscartorres-10/patch-3

fix(Question 244): fix typos, remove redundant words",True
301d502fe4912299c57f2218aac71fad88dd27e7,2024-07-25 19:22:39,Oscar T.,"fix(Question 244): fix typos, remove redundant words

improves clarity",False
0521adb2f2346967c4b0428f92a46c7a33e1cf4e,2024-07-25 19:14:00,Oscar T.,"fix(Question 244): fix typos, remove redundant words

improves clarity",False
8d1b5eb54c4618bf5650adb4f927ec5ac1ce7b94,2024-07-25 19:07:15,Oscar T.,fix(Question 244): fix typos,False
10f85571e4b0386248d2ce1f2ca405498aa4b607,2024-07-25 19:01:15,Oscar T.,"refactor(case): add upper case for ""JS"" in ""ReactJS""",False
6c929bf73b57db869e7dd111a62ff2a43d27876c,2024-07-25 18:58:02,Oscar T.,"refactor(case): use camelCase in ""TypeScript"" and ""ReactJS""

improves consistency throughout the document",False
a37debf3f2676326dce070ee5b94f68e306189c0,2024-07-25 00:34:49,Oscar T.,"add code syntax to Fragment, delete redundant word

- <Fragment> is not currently rendering in the Preview in GitHub, it needs the code syntax with tildes `
- deleted redundant ""unless"" word and kept ""until""",False
940477f7ebf36902c0932dc457d8dbed24008675,2024-07-24 20:49:47,Sudheer Jonna,"Merge pull request #326 from subhoghoshX/fixes

Fixes heading level, <Fragment> and codeblock rendering",True
