Hash,Date,Author,Message,IsMerge
9a6210bf891d3d74d4bab8d0f55c171e3c68355e,2024-11-22 03:42:04,Clément Hallet,Mark `flush` effect as non-blocking in the docs (#2701),False
9ec63efbffb576a5d2c8b4bbf9df8f020693fdad,2024-01-02 14:09:21,github-actions[bot],"Version Packages (#2387)

Co-authored-by: github-actions[bot] <github-actions[bot]@users.noreply.github.com>",False
3867c028881223424f15046058745e06b77b0187,2024-01-02 13:49:19,Mateusz Burzyński,"Inline what was being imported from `redux` (#2402)

* Inline what was being imported from `redux`

* try with never

* Prepare files for TS 4.0+ typedefs

* Replace `typescript-tuple` in TS 4.0+ typedefs

* switch to ts 4.2

* upgrade dtslint

* remove node 14 from CI

* workaround the need for notNeededPackages.json

* Revert ""upgrade dtslint""

This reverts commit feffee056a9f76a0028ba84073c79a6686d0bb2f.

* patch ts versions pkg

* start testing testing-utils only using TS 4.2

* unify the dtslint version used by the packages

* remove redundant setting

* bump node version on the CI

* reuse type helper in `cps`

* Try those types

* add changeset",False
b93a5364913e01204a4b438cbb9db1fe1d19f7cb,2023-12-11 15:10:34,Mateusz Burzyński,Add `SECURITY.md`,False
9c59ac93ec4389d6a1e98e46fc3cddb98523e589,2023-08-26 21:04:01,Evgeny Kudryavtsev,#2385: fixed put/putResolve typings for thunk actions (#2386),False
9c2af0c453898bd4c9eef42b364f9f6f212adb2e,2023-04-01 14:03:10,Mahdi Khashan,"Fixed typo in `configureStore` function (#2375)

Regarding the @redux/toolkit documents, an object will be passed to the configureStore function. The current code in line 91 won't work and throws a typescript error.",False
5640e428735b57f15f4235729dc6095f7ba3e484,2023-03-17 20:06:26,github-actions[bot],"Version Packages (#2373)

Co-authored-by: github-actions[bot] <github-actions[bot]@users.noreply.github.com>",False
2cccf480a8ef67680daf319893a690f0cb74ef9e,2023-03-17 19:51:01,Eric Bower,"Update saga middleware options to reflect implementation (#2372)

We already allowed `channel` to be passed into `createSagaMiddleware`,
this change simply updates our types to match our implementation.

I also added a recipe for batching redux actions since it is a very
common paradigm and something I've had to re-write multiple times from
memory.

Co-authored-by: Mateusz Burzyński <mateuszburzynski@gmail.com>",False
daf805c0af6f9128dc21b6d73aae2f7c97c5a7df,2023-03-08 19:24:04,大左,chore: change start example scripts (#2368),False
ac8ef76ca82c8e1aeac1568adbd458a73768063f,2023-02-14 20:26:41,Eric Bower,docs(readme): add discord link (#2365),False
e9ab0a698a9fded18ec9d7c89537175c33557d96,2023-02-14 20:15:49,Eric Bower,"chore: deploy docs website automatically (#2364)

This allows us to automatically deploy the docs website when pushing or
merging to our `main` branch.",False
761461ae2f7ef8d68964f74e8aabc629c8035513,2023-02-13 20:21:51,Anandha Krishnan S,Contributing doc update (#2355),False
fa8bc3b9f8e05958388c5ee34b970162e1a7fbbf,2023-02-06 20:34:42,Shaun Whyte,"Update effects.d.ts code docs to reflect puts error bubbling behavior (#2360)

The documentation here doesn't match what the real behavior is. (Also inconsistent with the readme docs)",False
38ac71b0a5bcbf086bd55f77edf6be12a4078e89,2022-12-15 21:41:36,LordMoMA,"Snippet (#2333)

* use configureStore instead of createStore",False
4ebb5930303b0a27b8ce91241afa6972dadad018,2022-12-10 00:03:50,github-actions[bot],"Version Packages (#2347)

Co-authored-by: github-actions[bot] <github-actions[bot]@users.noreply.github.com>",False
01f425c46f26b956509464fee5ccffce95bea6ff,2022-12-07 19:38:50,Eric Bower,Update `prettier` and format all code (#2341),False
345b828c721a95258a7fdfde0408fbb94de83f80,2022-12-07 13:21:30,Eric Bower,"Fixed `throttle` to accept a channel as originally intended  (#2340)

* bug: throttle now accepts a channel as originally intended

Co-authored-by: Mateusz Burzyński <mateuszburzynski@gmail.com>
Closes: #1805

* Update .changeset/neat-wolves-wink.md

Co-authored-by: Mateusz Burzyński <mateuszburzynski@gmail.com>",False
478fa6f5fbfdffeb0e97114f8d28454b88db4f56,2022-12-07 04:34:21,Eric Bower,"Correctly test the actual and not the expected value in one of the tests (#2344)

values",False
29a1ec3b0affc0cc0881379e7d40f81a03f290a4,2022-08-20 14:04:43,github-actions[bot],"Version Packages (#2325)

Co-authored-by: github-actions[bot] <github-actions[bot]@users.noreply.github.com>",False
2466c798a5f56a5015e61c8fdf0ef8f2a6a852a4,2022-08-20 14:02:44,Eric Bower,Add LICENSE files (#2324),False
bb056d2b3bcbe3c1093be521e9af953f8e083ed1,2022-08-14 02:55:20,github-actions[bot],"Version Packages (#2322)

Co-authored-by: github-actions[bot] <github-actions[bot]@users.noreply.github.com>",False
6f07fca36317b7a6ec19179c425e08cf2c0cf8a6,2022-08-14 02:33:21,Mateusz Burzyński,Replace all references to the `master` branch with `main`,False
1b71552d75b496c09cbdd97ffa418d211022f1f2,2022-08-14 02:27:19,Mateusz Burzyński,Use `onlyUpdatePeerDependentsWhenOutOfRange`,False
38903ba58fd95c0d9bb1f83513fbf13818b3a6b3,2022-08-14 02:20:15,Mateusz Burzyński,Upgrade Changesets and some CI setups (#2321),False
979b8b446f42e79a45c517b826cbddb89af8a54e,2022-08-12 18:32:02,Mateusz Burzyński,Add changeset about `exports` field being added to the `package.json` manifests,False
8207e33be4379d8cf5d331d4578341e87dfeb86f,2022-08-12 16:19:15,Eric Bower,"`exports` field has been added to the `package.json` manifests (#2308)

* add package entry points

* Add `package.json#exports` to more packages and introduce `import-condition-proxy.mjs` where needed

Co-authored-by: Mateusz Burzyński <mateuszburzynski@gmail.com>",False
