Hash,Date,Author,Message,IsMerge
bb2232e6bf6e192abd9c504819e0ebe2036b1e38,2024-12-28 01:56:39,Doug Aitken,fix: Astronomer hiring locations (#1881),True
05da9c77ec1bb5a369e5313afaa12a6628e6bd70,2024-12-28 01:55:16,Doug Aitken,add new company - Fyle (#1880),True
59327869f5c2b1bf3a2149175833c22ca9375825,2024-12-28 01:18:32,Doug Aitken,Update and rename lightbend.md to akka.md (#1876),True
119373458ba72a5573441cc087af6d9d04b8073b,2024-12-28 01:18:24,Doug Aitken,"Merge branch 'main' into main

Signed-off-by: Doug Aitken <dougaitken@users.noreply.github.com>",True
d7dbad1829793a1d7b5aa532c473d4def9e3d58b,2024-12-28 01:17:20,Doug Aitken,Adding new company FlowPath (#1874),True
336f58774d7a6c80a575dd5442426575e83639e2,2024-12-28 01:15:05,Doug Aitken,Adding WebScrapingHQ to company profiles (#1875),True
d2b736afc571d35d08b165d941daf18ab8b5bdfd,2024-12-28 01:14:31,Doug Aitken,Added Company Profile -> Redlio Designs (#1872),True
313a92334119d0decb997f328459e22f3befb951,2024-12-28 01:13:48,Doug Aitken,Add new company - QuickTrials (#1871),True
f8055b89e967cc5a64df24044d8a6b43c51c46ba,2024-12-28 01:11:54,Doug Aitken,Improve URL handling for external links in index.js (#1870),True
a98af9454abc2105b68647bd8b6589fd1cf6175e,2024-12-28 00:37:53,Doug Aitken,Update turing.md (#1866),True
9f88205441cc46fdcc98842405b68b2f74fff401,2024-12-28 00:36:05,Doug Aitken,Added Appen company (#1860),True
8d0211897d8ef728d8cd8ef8553a0633df6a4310,2024-12-28 00:33:50,Doug Aitken,add new company - AtoZDebug (#1848),True
c3a2a07de29a72874cce9b146fb099ad15b9845e,2024-12-28 00:33:11,Doug Aitken,Added Akamai Technologies in Remote-Jobs Hacktoberfest 2024 (#1844),True
9651e4ee94771747b06139c6bb4f0a96e390f4be,2024-12-28 00:32:39,Doug Aitken,Remove 17hats company (#1859),True
35a43bc79514a6199c73552fcb16eb8395f2d510,2024-12-28 00:32:15,Doug Aitken,Added the Paypay Corporation for Hacktoberfest 2024. (#1837),True
056b767975c375aeae757abbf78f234cced53c9b,2024-12-28 00:31:22,Doug Aitken,Add new company - bilstein group (#1828),True
ed6716f4df38798b5dd3150a9f0fe819aeb15bef,2024-12-28 00:31:01,Doug Aitken,"change readme link

Changed `/company-profiles/bilsteingroup.md` to `/company-profiles/bilstein-group.md`

Signed-off-by: Doug Aitken <dougaitken@users.noreply.github.com>",False
7ef707dc70d3f0a7333b179d3df78f5f6364f4ae,2024-12-18 16:25:42,Akash,"fix: Astronomer hiring locations

https://www.astronomer.io/careers/
As per their career website's open positions, Astronomer has now opened positions in India as well which are remote in nature

Signed-off-by: Akash <gsaisriram.akash@gmail.com>",False
d32c2b55a7777579f58f1b1d2c68bc9d4cab771b,2024-12-18 12:34:09,julias0,Added fyle to the company list,False
55e0fffb98752c382228a5a9a5b8d7688059a956,2024-12-05 03:39:52,Justin Pihony,"Update README.md for lightbend to Akka

Signed-off-by: Justin Pihony <justin.pihony@gmail.com>",False
313891e372d6809d8c8482ad5fcf2f50dc5fa9d6,2024-12-05 03:35:58,Justin Pihony,"Update and rename lightbend.md to akka.md

Signed-off-by: Justin Pihony <justin.pihony@gmail.com>",False
13ec88aae03eccd90155c52c10c0f781b7cc8499,2024-11-29 07:56:06,Harsh Maur,fix(): the readme profile link,False
6e6d29fab93d045c4a1ef8b56ec1727d23856ba1,2024-11-29 07:53:36,Harsh Maur,Adding WebScrapingHQ to company profiles,False
eeeb8dc6bcd9a864147f45db8198da3496b1fdb7,2024-11-13 08:07:30,Brandon Cummings,fixing readme,False
400396c696b1d6b188acddd3068c374a1ce3c64a,2024-11-13 07:48:50,Brandon Cummings,adding readme,False
694ef9a5f95290660d95dc68b0a9d399d5e110a1,2024-11-13 07:44:24,Brandon Cummings,adding FlowPath,False
c17524981e6defab3b5bdd53204eea6bc147c152,2024-11-04 12:51:26,TusharRedlioDesigns,Add new company - Redlio Designs,False
e9b5d50fd5e7a2343552bc4127d3a75c67ea3793,2024-11-01 13:34:18,Arni,Add QuickTrials company information,False
