Hash,Date,Author,Message,IsMerge
5323ae73f815f44a555f47f1631323df6e186360,2025-01-19 19:29:15,Manoj Vivek,"Merge pull request #1355 from responsively-org/minor-fixes

Minor UI Polish",True
f5b0ca6add9805e35dad3fc71de45981982c0855,2025-01-19 19:17:50,Manoj Vivek,Fix the layout toggle keyboard shortcut,False
00bfd2278f279bd226f5231fab8050399b94353a,2025-01-17 19:37:21,Manoj Vivek,Menu flyout layout tweaks,False
b252d74db905bad179eb1a351ab156b70f31d335,2025-01-17 19:35:16,Manoj Vivek,Fresh LayoutSelector with a ButtonGroup,False
2fa720790669a2aecc032f0bd27d5ab8b61cc78c,2025-01-17 18:52:19,Manoj Vivek,accept language header handling improvements,False
37d21acf77fc2ada16116a977c0ecfbfef0237ac,2025-01-17 18:51:47,Manoj Vivek,accept language header handling improvements,False
64649756c640c6eebd9f57f60dea85d23602a1aa,2025-01-16 15:14:39,V,"Merge pull request #1351 from donneypr/colour_contrast_loss

added new visual simulation for colour contrast loss",True
62eb10604350a535a47ab44f1938aadefa061e82,2025-01-14 21:27:48,Manoj Vivek,Version bump,False
ef78326a6a23ca4958a41c6ef14045320b8b3349,2025-01-14 10:47:14,Manoj Vivek,Updated sponsors,False
f5b1fbd802f77e13fb06b0fdc9dcfccfdaba2477,2025-01-01 10:06:45,donneypr,added support for people with colour contrast loss,False
23fb1b813b203df864dcaea878f32cd2ad775f12,2024-12-24 08:58:15,donneypr,removed spaces,False
2c5bdeb3bcd9b15c04edf519d58b80f9610853c2,2024-12-24 08:44:29,donneypr,added iphone16 lineup,False
c439597f9fbdd2871825af987136b3276cc95202,2024-12-20 17:57:35,V,"Merge pull request #1344 from donneypr/added_devices

Added IPhone 15 line-up to devicelist.ts",True
87a2def478fc1481d4291855588b7a88be34e7b6,2024-12-18 03:09:51,donneypr,Added IPhone 15 line-up to devicelist.ts,False
f56f94d23a9d86b96542385380b00573858667bc,2024-12-14 15:59:41,V,"Merge pull request #1340 from happymvp/feature/1210-fix-phone-landscape

fix: Fix restricted device size to enable phones landscape",True
3cf60a0e3c763581fb8240ddb4db8e7feb22f47f,2024-12-14 15:58:16,V,"Merge pull request #1337 from mohamed1408/Updating_URL_Issue#1273

fixes #1273 - Updating or Removing URL Query Params not updating the …",True
c0373aece84954dc8eb635ee80692c71d6d65e91,2024-12-10 20:09:29,Pavlo Legkyi,"fix: Fix restricted device size to enable phones landscape
Refs #1210",False
42dd557971f1f86a2b1b77cbf1cb08edd93860c6,2024-11-17 23:31:06,mohamed1408,Update index.tsx,False
8e5f82bf89162fea0e3a1020ae3948adb3cda8bd,2024-11-17 23:25:21,mohamed1408,fixes #1273 Added type for KeyboardEvent,False
f305210d2270e71bcbeb86b1192afe8dbc698720,2024-11-17 23:06:14,mohamed1408,fixes #1273 - Updating or Removing URL Query Params not updating the page,False
f7c097697538b0be244e4f699350227d8be9a481,2024-11-06 11:44:41,Manoj Vivek,Syncfusion links updated,False
c62f8895e0543366433676a357340cd886adbecb,2024-11-06 11:44:01,Manoj Vivek,"Merge pull request #1335 from responsively-org/all-contributors/add-happymvp

add happymvp as a contributor for code",True
654c37f9133b30e92de03899c90e7705feb002fa,2024-11-01 20:14:23,allcontributors[bot],update .all-contributorsrc [skip ci],False
9909a9478328af77a0bbf5dba64b14cb32740901,2024-11-01 20:14:22,allcontributors[bot],update README.md [skip ci],False
984bb25067baf6c0623bd63d50aaac623880ba2d,2024-11-01 20:13:36,allcontributors[bot],update .all-contributorsrc [skip ci],False
a2d4d131fe34273cc2ee822b8fc44f685e8461d8,2024-11-01 20:13:35,allcontributors[bot],update README.md [skip ci],False
b0d261b1b5822772e0bff6beeb8adde557669c06,2024-11-01 20:11:57,V,"Merge pull request #1334 from happymvp/feature/767-accept_language

Feature/767 accept language",True
4006b937537b4d8bb7dd0feb45da1a9cc79d6dcb,2024-11-01 19:44:16,Pavlo Legkyi,"feature: Change Accept Language header in browsers
Refs #767",False
702a34f7473c4687d74c174c7c3eaa77eb7dce55,2024-10-28 12:53:08,Pavlo Legkyi,Remove unused imports,False
9044b360775b61ba7853593608317cfdd37b3dae,2024-10-23 03:00:36,V,"Merge pull request #1323 from udayjordan/fix-issue-1322

 Fix for issue #1322 : Changed the media query for better margin and …",True
01fb0806cd17b8bb50289c06bcb38ac0178ab7c5,2024-10-15 02:43:32,udayjordan,Fix for issue #1322 : Changed the media query for better margin and padding to add a responsiveness,False
080b2e280f280d9b3f15e039d1f22c80743200b7,2024-10-06 18:00:44,V,"Merge pull request #1313 from responsively-org/update-button

Add a notification component",True
b600a863451a8580f89a881eac3f77e810b37bc2,2024-09-24 21:09:56,artnerdnet,remove version check,False
c580ab789a23537a6b58a1a9ee2a4265a983bc56,2024-09-23 12:10:25,Manoj Vivek,"Merge pull request #1312 from responsively-org/all-contributors/add-saiTharunDusa

add saiTharunDusa as a contributor for code",True
a192e05ac711cef62e47a02172c3ffca0ceb228f,2024-09-22 00:41:49,violetadev,check for new version  every 2 weeks,False
835be542c78224830be51cbe1ccff60ad439194e,2024-09-21 18:44:23,violetadev,notification component,False
3205ec57552f6f69fe3d1c9139715e9af53d0254,2024-09-20 15:11:24,allcontributors[bot],update .all-contributorsrc [skip ci],False
322e45078eee3fd7bb6502a80f69218d2f17e3ae,2024-09-20 15:11:23,V,"Merge pull request #1311 from saiTharunDusa/master

Fixed the issue #1206",True
251762345512431e9f8026d9ba8f5db9bcbe5441,2024-09-20 15:11:23,allcontributors[bot],update README.md [skip ci],False
b04b96c3b31870e441560efa88ccce7dc5c5db20,2024-09-19 23:55:39,Sai Tharun Dusa,Masonry: auto-generated package.json files,False
97ecb7742094fe57aef3c1b10a9effa80f72e2a7,2024-09-19 23:53:21,Sai Tharun Dusa,Feature: Introduction of Masonry Layout,False
78a44b2951c53409aae7f53b556ce2481f14d868,2024-09-19 09:02:32,Manoj Vivek,"Merge pull request #1310 from responsively-org/manojVivek-patch-1

Fix README.md",True
577a3b47b31b9c67d2b3b24c07ddfdd74a29dc4d,2024-09-19 09:01:59,Manoj Vivek,Update README.md,False
babb7a5af8a2f27cb0e80686c75be790fc6691fe,2024-09-19 09:01:09,Manoj Vivek,"Merge pull request #1309 from responsively-org/all-contributors/add-samranahm

add samranahm as a contributor for code",True
690df0cb8f7986e20b675cbe731bd18b6335af7f,2024-09-19 09:01:00,Manoj Vivek,Merge branch 'main' into all-contributors/add-samranahm,True
9b15ef58fefb95fdfd57b47c79b1e7d22068d734,2024-09-19 08:58:21,Manoj Vivek,"Merge pull request #1308 from responsively-org/all-contributors/add-asatyam

add asatyam as a contributor for code",True
517021443789d145e004549edb7ed6fa3cc1c8ea,2024-09-18 18:07:48,allcontributors[bot],update .all-contributorsrc [skip ci],False
d77a83e8c8b97e6556a72fb9cc9b5dc1bd1ab561,2024-09-18 18:07:47,allcontributors[bot],update README.md [skip ci],False
a73ab566a77c5d72b1f8d1671baed708c44bd1f3,2024-09-18 18:06:38,V,"Merge pull request #1304 from QaisarMoin/patch-1

Update Roadmap to desktop link that is not working  README.md",True
61fe12779765833579ff63d1a3a124fea45a6105,2024-09-18 17:47:57,allcontributors[bot],update .all-contributorsrc [skip ci],False
069f3a593fb5590ee0e3abcb4c974101d1222518,2024-09-18 17:47:56,allcontributors[bot],update README.md [skip ci],False
508fd7372ae5e50aa427b6e5b6920b7d18054ece,2024-09-18 17:47:45,V,"Merge pull request #1307 from Asatyam/fix/update-address-bar-1306

Fix #1306 - Update address bar on clicking a link",True
331ba07ff3d2262038266f995775846c3d322d4e,2024-09-18 17:05:26,SatyamAgrawal,Fix #1306 - Update address bar on clicking a link,False
c41dffa47bded882010afd5f1cd93db2549f48c8,2024-09-14 14:26:56,QaisarMoin,Update Roadmap to desktop link that is not working  README.md,False
6e7c23a11436172234f72bf94386f09f485b60a8,2024-09-13 10:19:31,Manoj Vivek,Version bump,False
16204e49c1e53af89cf5d1aa4379c630fb9c99d1,2024-09-10 10:57:32,Manoj Vivek,"Merge pull request #1301 from responsively-org/all-contributors/add-aryan262

add aryan262 as a contributor for code",True
d8cad0086bdb63e983436c71ab1cd16d49bef2cc,2024-09-10 04:14:37,allcontributors[bot],update .all-contributorsrc [skip ci],False
c1a1edbdd5a921bf149ebd9de9626f4adff9d5a8,2024-09-10 04:14:36,allcontributors[bot],update README.md [skip ci],False
3bd8737e54297fb1709ac55c7ca2b069d5d20d15,2024-09-10 04:12:33,V,"Merge pull request #1300 from aryan262/main

Performance Improvement",True
37851906f2e67126fdde7535843e31b45f6acf3d,2024-09-09 12:25:00,aryan262,"""Added useCallback import from 'react' in popup.js""",False
6157de24fab5949018ff2b6b5be8d615afac39b8,2024-09-09 12:17:36,aryan262,"""Refactor popup.js: Extract functions into useCallback, simplify useEffect callbacks, and remove unnecessary returns.""",False
61fc5377b51cc4cb752e04daa465377c1d532451,2024-09-09 10:14:56,Manoj Vivek,"Merge pull request #1297 from responsively-org/all-contributors/add-Sukrit-Prakash

add Sukrit-Prakash as a contributor for code",True
4a43548da8a009f03c9c2d939ed1394457488d55,2024-09-09 10:14:45,allcontributors[bot],update .all-contributorsrc [skip ci],False
c68b299113101b4c05d5c7e6773ea8e6389b70d7,2024-09-09 10:14:44,allcontributors[bot],update README.md [skip ci],False
6f9af1390a85674b7de63411c68dd6a4b41e38ac,2024-09-09 10:14:11,Manoj Vivek,"Merge pull request #1293 from Sukrit-Prakash/sukrit-branch

Some new devices added to devicelist.ts",True
0dafcb8cd4874480abf92d0adc31663c2f6f1055,2024-09-09 10:07:52,Manoj Vivek,"Merge pull request #1296 from responsively-org/improve-contributing

Add extra information to contributing guidelines",True
2e5273d66f3922a734ba9cd0785f1d73817c09e7,2024-09-09 10:04:08,Manoj Vivek,"Merge pull request #1295 from responsively-org/hot-reload-fix

Fixes #1184",True
0765eb61bdfbf40caa242e5a295302b4e1bbe01a,2024-09-09 05:21:15,violetadev,add extra information to contributing guidelines,False
1315e8c8535f261ec28df8bb54c40515529d567a,2024-09-09 04:54:54,violetadev,fix window coming to the front on reload,False
6600efe636c0419c6bded34bf57d618f539a0dbb,2024-09-06 12:50:13,web_dev,fixed id and added prettier,False
830bd264c445e858b2ac5c74f405b04739670624,2024-09-06 00:33:45,web_dev,Some new devices added to devicelist.ts,False
0539673a334d963bbab2febaa8d801d4876b53ea,2024-08-26 21:31:31,Manoj Vivek,Update README.md,False
f70b7556c65647f1af18dd951caccc36558e3ef2,2024-08-23 12:39:25,Manoj Vivek,"Merge pull request #1290 from responsively-org/all-contributors/add-pranavithape

add pranavithape as a contributor for code",True
8c62e612d73116500927edde47c502341496f577,2024-08-23 00:23:08,allcontributors[bot],update .all-contributorsrc [skip ci],False
4379acf25804a155fde0048fc91c5061b1805213,2024-08-23 00:23:07,allcontributors[bot],update README.md [skip ci],False
19e2744afffbda0aa3cc299e093e112c04032a89,2024-08-23 00:21:20,V,"Merge pull request #1282 from pranavithape/main

Unable to edit information ...  #1279: fixed focus issue - it electro…",True
53265976684998eb9655c048473146134d455113,2024-08-17 09:18:49,Manoj Vivek,Version bump,False
72927644fa0af015db6750404ff08b7d9a7a5ec4,2024-08-11 09:20:04,Manoj Vivek,"Merge pull request #1288 from responsively-org/all-contributors/add-wp043

add wp043 as a contributor for code",True
782bb74d3281d0877e8840cd1e9f089c3708aebb,2024-08-11 09:19:44,allcontributors[bot],update .all-contributorsrc [skip ci],False
ebe72dc9de3304cdd0c8c813519a8dbee1198683,2024-08-11 09:19:43,allcontributors[bot],update README.md [skip ci],False
0a06996b74539e74f8e699ea54d7b3f52f625a2d,2024-08-11 09:17:55,Manoj Vivek,"Merge pull request #1287 from responsively-org/all-contributors/add-violetadev

add violetadev as a contributor for test",True
