Hash,Date,Author,Message,IsMerge
47ee25dd1932a6e4f997e635c6fac8d25a2deae9,2025-03-20 18:28:22,Hakim El Hattab,build assets,False
94716f9e514ad44dedea103a829adea5be3ac2fc,2025-03-20 18:22:28,Hakim El Hattab,add support for data-preview-link on any element type (prev only a),False
b3fd27d071b330e16ed5780945572555f6b028b4,2025-03-20 16:08:20,Hakim El Hattab,prevent default keyboard shortcuts while overlay is open #3766 #3767,False
edb69c840cf3073f98f7bdd7a3148a7e1b176f5f,2025-03-19 16:33:33,Hakim El Hattab,update version to 5.2.0,False
f11812e0a28aaa7785e85599f6f1f552fecbdf64,2025-03-19 16:29:39,Hakim El Hattab,fix theme css conflict,False
d5d292f70ac293dabba7f48d836cc8e45b16b303,2025-03-19 15:59:36,Hakim El Hattab,config tweak for lightbox demo,False
a7b4bb4946a1892eba9badd27894886696a973bd,2025-03-19 15:41:35,Hakim El Hattab,fix css help overlay css conflict,False
659472f8a4bb6de00146df58f82357eb095a32ca,2025-03-19 15:23:35,Hakim El Hattab,rebuild math plugin,False
2ac0566941599dcab4bd90443aca033ff3d70025,2025-03-19 15:03:13,Hakim El Hattab,dont restart background video when it hasn't changed (fixes #3633),False
657543ac965c84f542268f6807fce555a0c6072d,2025-03-19 14:46:05,Hakim El Hattab,rename actions,False
e7456847c6d07f3fc99d028e32761196cfab8601,2025-03-19 14:44:10,Hakim El Hattab,spelling fix,False
255d55ab8f207c7f9b87a977b9399f1655c57e34,2025-03-19 14:41:48,Hakim El Hattab,"Merge pull request #3602 from yarikoptic/enh-codespell

codespell: add config + workflow and make it fix some typos it finds",True
60401a2740065fb9f4954a4d4bf062533ea6b542,2025-03-19 14:32:56,Hakim El Hattab,npm audit fix,False
9c6bd42939101bb44988a2667c5f44cab1fc1213,2025-03-19 14:32:18,Hakim El Hattab,"Merge pull request #3744 from KlavierCat/fix-security-vulnerability

fix: bump 2 deps to patch security vulnerabilities",True
36daed927e44df5eb7841f46f13e2589e69d57b7,2025-03-14 13:16:56,Hakim El Hattab,update readme,False
2059d388f79fd2a8d3b451141e246ab9862105d7,2025-02-20 15:00:31,Hakim El Hattab,dispatch event when showing lightbox or help overlay,False
fe67bad092451a861ee68dc15bd2dc49b33718dc,2025-02-18 00:29:40,Hakim El Hattab,".overlay -> .r-overlay to reduce risk of conflict, move overlay up to viewport level",False
9af726b6065192fc721c87999836029e1e909ddb,2025-02-17 23:38:43,Hakim El Hattab,brief transition for overlay,False
09505903003285573dc12d971a5e4c621fe14cae,2025-02-05 20:27:14,Hakim El Hattab,more flexible styling system for overlays,False
087eed8dc3c8ac32d377a11fbf87b730a4cee0d7,2025-02-05 19:08:53,Hakim El Hattab,overlay mode refactoring,False
8f19e13ab1520290f8306abaaf2b5d3158d0b350,2025-01-31 21:25:28,KlavierCat,fix: bump 2 deps to patch security vulnerabilities,False
