Hash,Date,Author,Message,IsMerge
384d5333fbc3d8918b41856822376da2a65ccaa3,2025-03-21 08:58:00,renovate[bot],"fix(deps): lock file maintenance minor/patch updates (#5885)

Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>",False
ab7bfa8fe9c25e41cc62058fa2dcde6b321fd51d,2025-03-17 13:43:37,Lukas Taegert-Atkinson,4.36.0,False
7f0164ea77421954f84f4d27832c2e5de9c24149,2025-03-17 12:11:05,iczero,"draft for extended renderDynamicImport hook (#5870)

* hoist transitive imports before rendering chunks

* add transitive import information to renderDynamicImport

* fix test coverage

* capitalization consistency, move function to outer scope

* very minor cleanup

* fix field name, add chunk filenames to test

* add documentation, fix capitalization

---------

Co-authored-by: Lukas Taegert-Atkinson <lukastaegert@users.noreply.github.com>",False
f687af5c0d0fc771a2b0cc1fae9c5ce34fad071e,2025-03-17 12:06:54,vadym-khodak,"Update axios overrides to 1.8.2 (#5876)

* Update axios overrides to 1.8.2

* update package-lock.json

* update package.json",False
8c15e597042ccad1fe773eeb0986bf50baf8877f,2025-03-17 11:45:44,XiaoPi,"avoiding top level await circular (#5843)

* avoiding top level await circular

* tweak logic

* remove stack and tweak variables name

* improve performance

* Simplify the isFollowingTopLevelAwait logic

---------

Co-authored-by: Lukas Taegert-Atkinson <lukastaegert@users.noreply.github.com>",False
2212897fd02c1fea9a9ca1c01432dffc21ab375f,2025-03-17 11:28:42,Kevin Deng 三咲智子,fix: export types (#5879),False
d683462da974a8bca56c0ec8e82ff32656fca765,2025-03-17 11:20:33,renovate[bot],"chore(deps): update dependency eslint-plugin-vue to v10 (#5877)

Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>",False
7710d694ae7f8ac02faf4013728ba84044bcd091,2025-03-14 12:16:50,renovate[bot],"fix(deps): lock file maintenance minor/patch updates (#5878)

Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>",False
70ef1cce7c740030cc2935b563d13950cc1511f5,2025-03-08 11:26:55,Lukas Taegert-Atkinson,4.35.0,False
d29a457f18917cde337e4d991bab22b8d5ec9053,2025-03-07 10:47:27,Gautier Ben Aïm,"feat(5858): make closeBundle hook receive the last error (#5867)

* feat(5858): make closeBundle hook receive the last error

* keep the error chain

* dry

* Revert ""dry""

This reverts commit 6a3d70f4fe7baf75507911ef6de6dfcf374b4f9b.

* watch files (without tests for now)

* compound error

* oops, watchFiles

* docs: almost forgot

* Update docs/plugin-development/index.md

* Update docs/plugin-development/index.md

* indeed it works",False
