Hash,Date,Author,Message,IsMerge
ff5c55bcf436626ed526c45ce840c3c11eb772b0,2024-12-07 05:17:23,Eric,1.5.14,False
8a91b3be22f3484d69b2ae2c796a86571b0b6fb6,2024-12-07 05:16:46,Eric,Update package.json (#7359),False
f257e322a73bc4eb9d1dceff30941a48e14e8565,2024-11-08 21:34:38,Eric,1.5.13,False
ffddf46230da2f85f14dd0e48298001fc0ff7d29,2024-11-08 21:34:11,Eric,"Upgrade dependencies (#7355)

* bump cookie, express-session and express

* Update package.json

* switch to sails fork of csurf

* Update index.js",False
1b4a8c98a097ae0d0f7412e6b8b3e8939e4c42f7,2024-09-17 21:26:43,Eric,1.5.12,False
2fe3a50b52b2c68d9064e959836978b31fb8b28a,2024-09-17 20:57:31,Eric,"Update dependencies (#7348)

Upgraded dependencies:
- express: 4.19.2 » 4.21.0
- serve-static: 1.13.1 » 1.16.2
- skipper: 0.9.4 » 0.9.5
- router@1.3.2 » @sailshq/router@1.3.9",False
baa97c8d44219af0ef2e4b2b5857821cfce305da,2024-09-12 22:05:48,Alex Tan,Bump path-to-regexp to 1.9.0 (#7347),False
eb5fe320d5dac896734660bd51b2be2dbfc2bea7,2024-05-18 03:30:56,Eric,1.5.11,False
80c0354a05e291445015e2b0eb0b4ed88b392295,2024-05-17 23:25:01,Eric,"Deps: Replace request devDependency with @sailshq/request (#7339)

* Update package.json

* Update package.json

* update tests to use @sailshq/request",False
739e0ad08ec9bca3129e3dc807d33a9e9e891527,2024-05-16 01:41:48,Eric,bump ejs 3.1.7 » 3.1.10 (#7340),False
caa835b823ec016021bbee3b091633f1fadffad0,2024-04-10 04:32:55,Eric,1.5.10,False
26676ff1044fccd5efca0e2f5f41fb2e1b9d70a6,2024-04-10 04:20:51,Eric,bump @sailshq/lodash version (#7332),False
1d34c89c1008d9a7924a20e074a6f552e4f2ed50,2024-04-10 03:13:09,Eric,Update package.json (#7331),False
b6ce20ed3587f0b1751f7b55448556234518031c,2024-04-10 01:51:47,Eric,upgrade express (#7330),False
