Hash,Date,Author,Message,IsMerge
b5f4e01a655812e06b377fff497fc629c02002f3,2023-03-18 08:32:47,_,Small updates,False
58490614db33031a6d1a3573bbe7718c2ef861b9,2021-11-23 03:06:59,Julian Lloyd,Remove stale Sauce Labs matrix,False
bc8fd853b56d06d265b2630ccb9c39e1db7fe9b7,2021-03-05 05:31:10,Julian Lloyd,ScrollReveal v4.0.9,False
cb9b5155a6edcbff195f26fb4d6218dcb38a217c,2021-03-05 05:28:00,Julian Lloyd,"Refactor string parsing

Fixes #531",False
eb240482ab6b14db6c885ab7a1f51b7fb098ddfe,2021-03-03 10:31:08,Julian Lloyd,ScrollReveal v4.0.8,False
8cd80b42105955fcec1f3fde1bd5d331eb7d4a50,2021-03-03 10:28:31,Julian Lloyd,Refactor styling to avoid CSP violations,False
226d190c7002d22c676906a00c6ca4a1bc6a720b,2021-03-03 10:27:41,Julian Lloyd,Create function to apply styles via CSSOM,False
1290ba340314466ec86fb0277367771e7a2d7c66,2021-03-03 10:18:10,Julian Lloyd,Update copyright,False
4c3f096634b8dd6bdf638858146ab9e03f41fd26,2020-07-15 13:20:14,Julian Lloyd,ScrollReveal v4.0.7,False
e87ed7082ace37988d6b02b5cb5c02afc0a510df,2020-07-15 13:18:29,Alexander Widua,"Check for undefined element geometry

Add better support for UI component lifecycles.

Fixes #437",False
378b06411117bd8964ccb5287d5f096abd5a2f9a,2020-03-16 10:11:05,Julian Lloyd,ScrollReveal v4.0.6,False
ad206615f41697e22f444afb1f72d9ad7393b303,2020-03-16 10:07:16,Julian Lloyd,Update url paths,False
eb200a893aded409e4ff8f758b9015aaa36d55af,2020-03-16 10:04:22,Julian Lloyd,"Refactor computed transitions

Closes #231",False
66f44ab08c3cd0a3df7ced9b2e01e4ffcf809cb2,2020-03-04 13:07:25,Julian Lloyd,Fix typo :),False
1445706445d5ad7ad3552936b5251094bdc20bab,2020-03-04 13:07:25,Julian Lloyd,Update uglify plugin usage,False
96f4947aafd1c30ca542373ea787c896d2271a7d,2020-03-04 13:07:23,Julian Lloyd,Upgrade Saucelabs/Appium,False
cd6aa26c049184c595d50bbbd71f5bd6f31c7060,2020-03-03 10:57:48,Julian Lloyd,Refactor for line-length,False
4c3d542448f5efa0b45727daba008476b3b00558,2020-03-03 10:57:46,Julian Lloyd,Update copyright,False
7fd9d26bfb5b67d7f04972f7d1533a7b55e8b2da,2018-10-26 09:27:30,Julian Lloyd,"Rename support utility for consistency

Continuing with the convention of Boolean values beginning with `is`",False
c98fad79f4750dfd80797414e7d94f1cddd2109c,2018-10-21 07:11:08,Julian Lloyd,ScrollReveal v4.0.5,False
091251c3b0fbab504ee60204f1c479887fddb5fe,2018-10-21 07:04:02,Julian Lloyd,"Initialize element revealed state

Fixes #468

The `sync()` method exposed a bug where calling `reveal(target)`
on the same `target` would break animation.

This was due to `element.revealed` staying `true` inspite of being
reinitialized. Although this fixes #468, element initialization
logic seems too spread across the `reveal` and `initialize` fns.",False
2f70956cca0a65afdd808d3036f3f111fd564862,2018-09-22 14:06:08,Julian Lloyd,ScrollReveal v4.0.4,False
d6948e5475504b5ee6c1f1ac12d2f5a93c65935f,2018-09-22 13:41:25,Julian Lloyd,Fix post installation script,False
26dd1524f7f09ce6bf4aba41f8c691c4d268d0e0,2018-09-22 10:31:49,Julian Lloyd,ScrollReveal v4.0.3,False
e9694e3ae6bcad20228b49639e6021463852e071,2018-09-22 10:30:46,Julian Lloyd,Upgrade dependencies,False
3c81c5842eb3b2841aed69ee0001f4c223edffe6,2018-09-22 10:22:21,Julian Lloyd,"Set option.cleanup to false by default

Fixes #457",False
7b8766f8173315c8d19c460cfc91ee06bb72d1b4,2018-09-22 05:57:09,Julian Lloyd,Add post install message,False
5a1a6a5e6a418f3acef229a56399d02a5c80bc5e,2018-09-20 13:49:05,Julian Lloyd,Update URLs,False
9889a48e51e4fff0a18fc696eb00fa4ca8d043ea,2018-09-20 13:48:18,Julian Lloyd,Fix broken URLs,False
8f7925159f0a8583beb776883658ed124503eeb4,2018-09-12 02:04:39,Julian Lloyd,ScrollReveal v4.0.2,False
57498fe2c34dc4651e47b6f5ffef19dc2766a7d3,2018-09-12 02:04:30,Julian Lloyd,Update README,False
6878c92a1aa527bcc15e0a966dd55b980aa7296d,2018-09-12 02:00:08,Julian Lloyd,Refactor mount fn,False
8a79c742fe286a6840840c02767f6bd3b97cbad1,2018-09-12 01:50:50,Mike Amelung,Fix attempted property assignment on null,False
8d531afa8a071be828338283799f0d0801203092,2018-09-09 16:59:28,Julian Lloyd,fix typo,False
ef51c5b417b3fbc4a907d6ed5a5c749a8d8f27db,2018-09-09 16:57:20,Julian Lloyd,ScrollReveal v4.0.1,False
f969dd07cd83ff01a3bf427c4103a1f379aabbae,2018-09-09 16:55:13,Julian Lloyd,"refactor instantiation success/failure

fixes #455",False
b615f594679757dd86b1470116fead3fe1ade12e,2018-09-09 16:49:09,Julian Lloyd,review constructor test suite,False
2d68cec4d2d0846fe4df89b842f428ce6112607e,2018-09-09 16:49:09,Julian Lloyd,"fix constructor test bug

Bugs in the test suite, sinister! This test was disabling devices,
but never re-enabling them—so every test thereafter was returning
a noop instance.",False
