Hash,Date,Author,Message,IsMerge
595494a72fee67b0a61c64701cbb72e3121f97b9,2024-09-11 20:23:51,James Addison,"Fixup: convert optgroup child data identifiers to string datatype (#6239)

* Integration test: multiple selection and clearing of grouped options

* Fix: convert grouped option identifiers to the 'string' type

* Build: recompile distributable files",False
38164bc4f9fd7b47332d696e8206773147014925,2024-09-11 16:53:02,James Addison,"Add support for jQuery 4.0.0-beta.2 (#6332)

* Tests: update `jquery-mockjax` to v2.7.0-beta.0

This beta/prerelease version of `jquery-mockjax` includes jQuery-4.0.0.beta2 support.

See https://github.com/jakerella/jquery-mockjax/issues/362 for details.

* Add support for `jQuery` v4.0.0-beta.2

Co-authored-by: James Addison <james@reciperadar.com>

* Documentation: retain defensive coding in retrieval of code content from HTML elements.

* Build: recompile distributable files

---------

Co-authored-by: marcellov7 <104211738+marcellov7@users.noreply.github.com>",False
07bd61a0e8b928d490c86f61d6abbdcb61f4bbd4,2024-08-25 02:21:26,James Addison,"Fixups: post-merge updates related to PR #6241 (#6335)

* Fixup: reference `QUnit.test` instead of relying on global namespace entry

Relates-to / merge-resolution-for #6241, #6334

* Build: recompile distributable files

* Tests: temporarily comment-out a failing integration test

* Revert ""Tests: temporarily comment-out a failing integration test""

This reverts commit 18638235a0b0edd8125b5f009007002d82a0f3a1.

* Tests: isolate `selection:update` integration test event handlers

* Cleanup: regenerate NPM lockfile",False
0e12916e8e13649cf1e95e1370f8abd10dba90d4,2024-08-24 02:49:44,James Addison,"Fixup: unselection of items from AJAX data sources with non-string identifiers (#6241)

* integration test: selection and clearing of data from ajax source

* Fix: normalize response data items received from AJAX requests

* Extension: remove special-case logic for unselection events on multi-select controls

* test fixup: call assert.async test-completion event handler

* test log cleanup: increase the severity threshold for jquery-mockjax log events so that info-level messages do not pollute the test log output

* Revert ""Extension: remove special-case logic for unselection events on multi-select controls""

This reverts commit 8fd9a00c7a86838c8c459bbb5860066ce3474898.

* Relocate AJAX-response-result normalization step, and add 'Array.isArray' check condition

* Lint fixup: rearrange code to fit within line length limits

* Nitpick: remove trailing end-of-line whitespace

* Dependencies: update to mockjax v2.6.1",False
0ad99bf9786a572ccbfe581f2ac0a98a5b59daed,2024-08-24 02:46:39,James Addison,"Dependencies/CI: updates to prepare for jQuery 4.0.0-beta testing (#6334)

* Dependencies: update to `sass` v1.77.8

* Dependencies: update to `grunt-contrib-qunit` v10.1.1

* CI: update all GitHub Actions workflows to Node v20 (current LTS)

* Build: recompile distributable files

* Dependencies: remove duplicate non-dev `sass` dependency

Co-authored-by: Kevin Brown-Silva <kevin-brown@users.noreply.github.com>

* CI: Fixup: correction for environment variables in YAML config

Co-authored-by: Kevin Brown-Silva <kevin-brown@users.noreply.github.com>

* Linting: delete removed `module` and `test` globals, and delete deprecated line-length limit.

* CI: Run `apt` commands as superuser

---------

Co-authored-by: Kevin Brown-Silva <kevin-brown@users.noreply.github.com>",False
ed1761a7f6e88c8c5d305e7022fecb264d2271ab,2023-11-15 06:37:11,Per Lundberg,Update django-select2 URL (#6286),False
4de1d236e602149a5c78d35899b49b3989b94107,2023-03-10 08:05:43,James Addison,Update testing dependencies to support Python3 as an interpreter for node-gyp (#6234),False
cd545a4794461d835040d0140d6820f862bf5ca7,2023-03-02 22:50:17,Petrik de Heus,"Replace `removeAttr` with `removeAttribute`. (#6228)

This replaces jQuery's `removeAttr` function with the vanilla JavaScript
`removeAttribute`.

$results, $rendered, $selection and $search all seem to be defined as a
single element, so we can call `[0]` to get the element.",False
8bdafc3644656c85f34a00ffa518b3e42a3df9da,2023-03-02 22:49:30,Petrik de Heus,"Replace `addClass` with `classList.add` (#6229)

This replaces jQuery's `addClass` function with the vanilla JavaScript
`classList.add`.",False
bafba7b536ab21c0c5d4c560227bd4da4b0c8fc5,2023-02-22 01:51:36,Petrik de Heus,"Upgrade dev node to v12 (#6230)

- Upgrade node to v12 for Github actions.
- Compiled and minified src with Grunt",False
0a186ebb4875b080f70e5f48d957f025e97194f5,2023-01-29 23:20:54,James Addison,"Revert ""Unselect events: cache lookup key fix (#6179)"" (#6217)

This reverts commit d961613058cec3e7b1ee184643b483dc92170e54.",False
