Hash,Date,Author,Message,IsMerge
03e1b19764719d1b031045420223e78160db9bd0,2025-03-21 22:31:20,Lovell Fuller,Allow wide-gamut HEIF output at higher bitdepths #4344,False
3e41f8b65e99176fc64d4669f753f42fefc84add,2025-03-21 15:06:25,Lovell Fuller,Non-animated GIF output defaults to no-loop #3394,False
3fd818c4b59b055ce60ebc8938297ad69cc2e1e8,2025-03-20 01:24:53,Lovell Fuller,Prevent use of linux-x64 binaries with v1 microarchitecture,False
d419aba76d55c22735d3ea5b8ced10bea58cb8a7,2025-03-19 14:49:47,Lovell Fuller,Docs: add note about electron-forge and Webpack combo,False
3fb1091114544aa9cc2e25dbfdc6c0599859da66,2025-03-19 14:49:18,Lovell Fuller,Docs: bump Astro,False
2035492fd90b9436bf71390b6202fda27646b7db,2025-03-17 03:35:52,Kleis Auke Wolthuizen,Ensure Yarn PnP hash calculation works with pre-releases (#4347),False
5ee83d13e20b2ab78ef148fc58ef18a5cef02f77,2025-03-16 14:17:07,Lovell Fuller,Prerelease v0.34.0-rc.0,False
0d04e9dba308983f6a62ae08656b07f1a3c140ba,2025-03-16 05:09:11,Lovell Fuller,Docs: update perf test results,False
f3a4f060c677927e3d132b1fe6e5c88bdc1b4ad8,2025-03-14 17:47:37,Lovell Fuller,Test: appease linter - see 3c177af,False
3c177af59429ec9c14780ec94ff1b76bbb7ba376,2025-03-14 16:43:30,Lovell Fuller,"Test: update perf test dependencies to latest

Drop squoosh as it does not support Node.js 20+",False
9d40a64120a565355bdc3cbda398d42e179d5461,2025-03-13 19:38:00,Lovell Fuller,Fix small memory leak in new join feature - see 5ab9168,False
fda06a62b09aca8165cc489befbd6185291546ba,2025-03-13 13:51:37,Lovell Fuller,CI: Upgrade emscripten SDK version to match upstream,False
75a135eabe92eccbff3ccc446ed6a5d871098ca3,2025-03-13 13:41:35,Lovell Fuller,Upgrade to libvips v8.16.1 (prerelease),False
c9850afe67421ff341a2f33afab9e75749e38796,2025-03-07 18:23:11,Lovell Fuller,Docs: add note about silencing pnpm warnings,False
a619f293134763079754545b4bf5b8e265a9e1ee,2025-03-02 21:17:26,Lovell Fuller,Docs: add note about pnpm install script permission,False
9b88547f12142bc0cb3100f7489d3643a6c9d662,2025-02-28 22:46:39,Kleis Auke Wolthuizen,"CI: Upgrade `uraimo/run-on-arch-action` to v3 (#4340)

Upgrade `uraimo/run-on-arch-action` to v3, which includes QEMU 9.2.2
from `tonistiigi/binfmt:latest` that fixes the current CI failure on
ppc64le - see:
https://github.com/uraimo/run-on-arch-action/issues/160
https://github.com/tonistiigi/binfmt/issues/215#issuecomment-2689340770
and https://gitlab.com/qemu-project/qemu/-/issues/1913.",False
8e3ec0fc61651a0485c4359db8b332f3ee00df1d,2025-02-23 15:36:42,Lovell Fuller,CI: Ensure emulated archs use latest qemu-user-static package,False
edad89c53119232576ced30a4fb9274f3274791c,2025-02-20 14:56:52,Lovell Fuller,Ensure removeAlpha removes all alpha channels #2266,False
9d01dd20bf2f2a95f1195b8433b38c4d6eff71b1,2025-02-10 23:07:54,Lovell Fuller,TypeScript: ensure definition of sharp.versions matches reality,False
5ab9168813565489df7d0cef75db82a1ce3b0d8d,2025-02-07 19:23:27,Lovell Fuller,Add support for input array to join or animate #1580,False
67ff930535a04378689d3f3940a90ab5d2965794,2025-01-22 02:36:19,florentzabera,"Add support for RGBE Radiance input, requires global libvips #4316",False
