Hash,Date,Author,Message,IsMerge
6dce2a5e36b755a0c244522b48a06c91a2df0f59,2023-05-27 18:52:50,Benoit Schweblin,Tag v5.15.4,False
96a466942ecc88a6bf300362bbea7ae0e689f082,2023-05-27 18:51:37,Benoit Schweblin,Fixed Math expressions in PDF exports.,False
a969b5b164d7cc33ffabacaf7e58df95613c39bd,2023-05-27 18:14:15,Benoit Schweblin,Tag v5.15.3,False
d6189e5ddcbc5368a9ed689cf9a0a2e83ee3b6f6,2023-05-27 18:13:26,Benoit Schweblin,Fixed pandoc cli parameters.,False
aaa4ed4587555ac06235f3627fb7d21f7d111e6f,2023-05-27 17:33:52,Benoit Schweblin,Tag v5.15.2,False
7c224546e598ee90363bb05cbf6c8a4d94718701,2023-05-27 17:32:48,Benoit Schweblin,Updated markdown-it-pandoc-renderer dependency to work with pandoc v3.,False
cb1e23c530344332badb96890c167b43be8a47e1,2023-05-19 22:42:33,Benoit Schweblin,Tag v5.15.1,False
87e5cde68f5767edf4bb2540c6eb987b78fd2eca,2023-05-19 22:35:05,Benoit Schweblin,Upgraded aws-sdk dependency.,False
2a74a52046ca7fb332cbbf48c8ac053850d7f175,2023-05-15 17:22:43,Benoit Schweblin,Tag v5.15.0,False
002cc6768139e719e6a67fadcf57234fbccd953c,2023-05-15 17:09:38,Benoit Schweblin,Fixed GitHub API authorization.,False
46383b5b6a54b65b8720d786ed0a0518b9ad652d,2021-03-30 00:51:35,Benoit Schweblin,Tag v5.14.10,False
bad9abd1c578db6b5b36241c04559363e528ac96,2021-03-30 00:50:52,Benoit Schweblin,Fixed ingress in helm chart.,False
97c97c5137005207f9cbef0f1a7d168b612b3c65,2021-03-30 00:02:54,Benoit Schweblin,Tag v5.14.9,False
f335c386e5cb566b89224279106cb1b06c623b4e,2021-03-30 00:02:29,Benoit Schweblin,Fixed ingress in helm chart.,False
260f085585a4a55d8ed3a709f4e89c883aff3281,2021-03-29 22:43:59,Benoit Schweblin,Tag v5.14.8,False
e7bb627385510d8d798c6e3988737113c079e417,2021-03-29 22:17:25,Benoit Schweblin,Update .travis.yml to use node v12.,False
bc688eab71e7c69400ca62e8fb1d3dc98b994eee,2021-03-29 22:04:13,Benoit Schweblin,Tag v5.14.7,False
c8987a8e8437358b77b9e37c09743084567caf83,2021-03-29 22:03:29,Benoit Schweblin,"Upgraded Katex to v0.13.
Upgraded Mermaid to v8.9.
Removed StackEdit v4 support.",False
0f0c9bed6c806906c6b1b067da77072a96a2a3bb,2021-03-29 18:17:36,Benoit Schweblin,Tag v5.14.6,False
b75deaf8a4d123b2bcdc12432e3500b5b498009e,2021-03-29 18:16:44,Benoit Schweblin,Upgraded gulp to fix compatibility with node v12,False
a61a35be75ce1beba520e068934142b3a490993e,2021-03-29 17:58:44,Benoit Schweblin,Fixed K8s/Helm deployment.,False
2fdbb67c67159c4ccfddbe51fc9303c6c799dbe0,2019-07-08 18:27:05,Benoit Schweblin,Tag v5.14.5,False
52cd051198101bf22ba928f1f2e869890217b768,2019-07-08 18:26:38,Benoit Schweblin,Fixed travis build.,False
3dd66ae280caa9c06dbfb90e0826ed39e3a44400,2019-07-08 17:46:45,Benoit Schweblin,Tag v5.14.4,False
ede95513568bda42524aeccc3c9567e4567dd0c6,2019-07-08 17:46:13,Benoit Schweblin,Attempt to fix the travis build,False
c6de74220a88487011316a91dfa6c1313668aadf,2019-07-08 15:07:21,Benoit Schweblin,Tag v5.14.3,False
8d70a4f4385ca393b5e60fb1333df0a0d543b2c6,2019-07-08 15:06:53,Benoit Schweblin,Fixed travis build.,False
b4d34a9390d28035232cb86f54808b1b8c01028e,2019-07-08 14:51:56,Benoit Schweblin,Tag v5.14.2,False
0001e8c178a641e9767c3dd159327d48eefda971,2019-07-08 14:50:04,Benoit Schweblin,Fixed ok button in link and image modal,False
90520abf936b58d64a7dc9c6e45c6c602f49e3ac,2019-07-07 07:08:00,Benoit Schweblin,Removed kubectl in deploy script,False
f611060d05154abd6c704b0a93994c1890f36c70,2019-07-03 04:22:58,Benoit Schweblin,Fixed typos,False
d2867ea1c08a33cbd146f00bd5a3a179b675c070,2019-07-03 01:52:14,Benoit Schweblin,Deploy script upgrades release with kubectl,False
b2158fc1c31de44dadeac1a2c4676fa916f93013,2019-07-02 15:01:14,Benoit Schweblin,Added helm chart.,False
5a4fb796e0b13a566aa1f924c53d9b89b0b81703,2019-06-30 18:37:34,Benoit Schweblin,Tag v5.14.1,False
043a3cd709e068bd4dfd19de92d78f36cfc42edf,2019-06-30 18:37:10,Benoit Schweblin,Added deploy script,False
8a6df3ef1085cccfe13d62e3e80adb787752cf13,2019-06-30 17:58:37,Benoit Schweblin,"Fixed layout settings badge creation.
Hide sponsorship if no paypal email is configured.",False
e9e3cb809d411d3e1d8d972e7fc4f6eb368b9415,2019-06-29 22:09:06,Benoit Schweblin,Tag v5.14.0,False
07d824faca0f823b9d573980144f02be3708cbeb,2019-06-29 22:03:21,Benoit Schweblin,"Added server conf endpoint.
New localDbSvc.getWorkspaceItems method used to export workspaces.
Added offline availability in the workspace management modal.
New accordion in the badge management modal.
Add badge creation checks in unit tests.",False
3f0597601e47ed3122c692759171c48550c495b0,2019-06-25 03:57:59,Benoit Schweblin,"Added per_page parameter to GitLab tree API. Fixes #1505, #1462.",False
274a8007420ea6cfb574b8918ecf73176397643a,2019-06-23 06:59:11,Benoit Schweblin,Upgraded to Katex v0.10.2,False
72a15b5039ba2fc1b9e72ec7954fc543fe4752fc,2019-06-23 06:51:50,Benoit Schweblin,Fixed unit tests.,False
dc08ee4da4917247f0640aa1a0677bbbc43b9d97,2019-06-23 06:26:22,Benoit Schweblin,"Merge pull request #1469 from rkuhlf/master

Enabled momentum scrolling",True
a98e9a382e73d0133bda6f4c4a20ac37bf1e3db0,2019-06-23 06:21:02,Benoit Schweblin,"Merge pull request #1415 from efemes/1-can-t-rotate-progressive-web-app

Allow rotation of Progressive Web App",True
a8ee8cdccdfb6c12b0b09745db7c0bffa6961389,2019-06-23 06:17:12,Benoit Schweblin,"Merge pull request #1501 from eralpsahin/fix/checkbox-check

Fix checkbox not checked on HTML export",True
f05b089485470c54aa012f23eddecab7f71f52cb,2019-06-23 03:26:48,Benoit Schweblin,"Merge pull request #1497 from Flamenco/fix_explorer_natural_sort

Use natural sorting for explorer file nodes.",True
d6fb85a5ad9ee5b9f6a492b5f49e5e614ae65607,2019-06-23 03:24:28,Benoit Schweblin,Fixed GitHub security warning.,False
78802448c304e0b909339b0a2aee196a6c0dfcb8,2019-06-23 03:23:56,Benoit Schweblin,Fixed #1503.,False
1b2d48ff22a0e3e7f198ee237c8c4421c6599741,2019-06-23 02:49:01,Benoit Schweblin,"Removed monetizejs sponsorship support.
Reduced time counter increment interval.
Added badge service.
Refactored user service.
Replaced Google+ with People API.",False
2a865ddb446643f5b553a2e844f29866eb03f76b,2019-06-18 18:19:48,Benoit Schweblin,Reorganized side bar menu,False
c462a13ab563095a3b0514164e16a5e4f1b0b49d,2019-06-18 03:18:01,Eralp Sahin,Fix checkbox not checked on HTML export,False
8cf0b87f5f958bbb492bc7f0b4041bfc01ca8104,2019-06-16 19:19:50,Benoit Schweblin,Added account management modal,False
835ef7f5bc97c89baec9c3160355bb95dc84806c,2019-06-12 16:44:08,Steven Spungin,Use natural sorting for explore nodes,False
8156038c53b15495b14204b5b6a71b60e83bb98b,2019-04-26 06:36:04,Riley Kuhlman,Enabled momentum scrolling,False
91f8cf3c10b75df65b69f9181cee8151d65a788d,2019-01-26 20:05:21,Benoit Schweblin,"Merge pull request #1402 from GreenGremlin/google-profile-scope

Ensuring profile data is accesible for all Google users",True
1ac1e057cfa16119c3e211c3a9275d6c367c1c28,2018-11-15 16:57:57,Benoit Schweblin,Tag v5.13.3,False
da0ccf8d828ee9d308cab5a89fc91df1e5bf788e,2018-11-15 16:56:28,Benoit Schweblin,Fixed payment success modal,False
cf18184e268d6a313aeb0a64c440c4c6831b2d41,2018-11-15 16:56:04,Benoit Schweblin,Fixed light mode auto-close,False
deba3c12bef5746f41b3db5372fd41b42a979ba7,2018-11-05 16:25:02,Stefan Meller,Set orientation to 'any' in manifest.json generator,False
547f44043c0f9d77257ac0d6234640e9ecdd58cc,2018-10-02 11:08:20,Jonathan Felchlin,Ensuring profile data is accessible for all Google users,False
daadae17205aec63148a392f8e6ef30ff9922e87,2018-09-21 15:24:10,Benoit Schweblin,Tag v5.13.2,False
0e8aa0a58a4b05633b19486e3a968da8207e38f4,2018-09-21 14:42:05,Benoit Schweblin,Added A2HS prompt,False
f7542965b61d6c4b1feecd14983788d4159651d9,2018-09-20 16:42:58,Benoit Schweblin,Tag v5.13.1,False
6fd4513c340266d2cca1a3889f2355b1ba6fb666,2018-09-20 16:42:27,Benoit Schweblin,Fixed git workspace sync/publish locations,False
fa3d9b30c24a9094e5853393d1f700826b4a37f4,2018-09-20 16:26:58,Benoit Schweblin,Tag v5.13.0,False
4be3200961f18bdd706f36c11e6bfc09e74f33f3,2018-09-20 16:22:57,Benoit Schweblin,Fixed duplicate Main workspace,False
da9b87620f683ff356efa71fa322a302a8fb0fa1,2018-09-20 14:30:07,Benoit Schweblin,GitLab provider (part 2),False
