Hash,Date,Author,Message,IsMerge
be621152d2c0a23079296035bb26e57cebe2f319,2024-09-13 18:18:05,Pelle Wessman,17.1.2,False
004e63b782b3d40c8c81ae6fe052d688e70dfd43,2024-09-13 18:17:41,Pelle Wessman,"Unpin and bump eslint-plugin-react

Follow up to #1976",False
75a18774ebd9fb565527dc0463141c2bcb928683,2024-09-12 19:43:36,Pelle Wessman,17.1.1,False
d535d98f673ee73739bee6cf12372548c4171121,2024-09-12 19:42:45,Pelle Wessman,"Pin eslint-plugin-react to `7.35.2`

Fixes #1976",False
170a02fd52fddec2d5556c0b2d324ceb246b1bf6,2024-07-20 00:13:24,Pelle Wessman,"Deactivate cron on external tests

Since I'm the last committer I'm the one that's getting all of the failures and I would prefer not to mute this repository in my notifications simply because of that",False
3b3c316a358ad8d306229a59a67c92891e0827f3,2024-01-23 14:46:09,Linus Unnebäck,"Merge pull request #1962 from SebastjanPrachovskij/feature/add-searchapi-logo

Add SearchApi logo to users",True
dbf114274535705ad6c23e116ce9764261ddcec0,2024-01-23 14:39:26,Sebastjan Prachovskij,Add SearchApi logo to users,False
5ff8441adf9e6dadadc24950bbe91d8cb709967a,2023-12-14 14:50:57,Rhett Bulkley,"Merge pull request #1936 from poozhu/master

docs: Update email address.",True
f40f923acf8acd9dadb0ca3cfaed00678157f19b,2023-11-24 10:52:42,Rhett Bulkley,Merge branch 'master' into master,True
3b6f95da8b629cdd98bbcf17c05e3691d6f45709,2023-11-22 16:18:24,NintenHero,"Edit Discord badge. (#1954)

Add white Discord logo. Label the badge as ""Discord"". Use the official Discord logo's color value of 5865F2.",False
c57d3f8b52b783503817a809b40b13b4733b3f07,2023-11-16 15:13:05,"Shahar ""Dawn"" Or","Merge pull request #1928 from standard/mightyiam-patch-1

doc: discord instead of irc",True
c127e7e7358d1755248f4131100ca51ab673d0f3,2023-10-07 11:02:35,"Shahar ""Dawn"" Or","Merge pull request #1943 from standard/rm-lock-threads

build: rm lock threads workflow",True
