Hash,Date,Author,Message,IsMerge
f3495ff6c9906f2b831f13b7ac36f2dc305fa37d,2024-12-22 21:31:22,Seth Falco,"fix(removeEmptyContainers): skip if filter is applied via styles as well (#2089)

Fixes a bug where we were too eager to remove empty containers.

We already had logic to skip removing empty containers if it had the
filter attribute, which is needed to apply a filter to the whole area.
However, the filter can also be defined through CSS. We did not
properly handle this case, and treated the node as if it had no filter
at all.

This computes the styles and checks the stylesheet as well. (We also
move the logic down to avoid computing the styles eagerly.)",False
bf97a1f9a93cc93037f30855ef49cb064c13a3f1,2024-12-22 05:16:09,nuintun,deps: upgrade css-tree and picocolors (#2083),False
c372b36296c94b7cee4f77eb0af1124d384e360f,2024-10-21 22:27:17,ntnyq,feat: export type `CustomPlugin` and `PluginConfig` (#2081),False
a8472bc45fe1d92d5f848a08cf4d5c8f4a531ad9,2024-10-03 02:09:45,João Palmeiro,chore: export the `Output` type (#2076),False
ab7f518a751e265aadbf9eb7bf14ffea8cff6e18,2024-09-08 01:40:17,Seth Falco,chore: add npm registry server to yarnrc (#2072),False
97d7d00add2643e9b4af016cd34d761a1e044b21,2024-09-07 23:56:05,Seth Falco,add: centralize exports to svgo (#2071),False
50fc3c9de5ce037399dc81d3a1bbb756037a0920,2024-09-05 00:57:49,Simon Arnell,"Updated recursive usage example (#2070)

Fixes #2069",False
9078e8ca089156996eadbdfc2b1b4f9201742114,2024-07-02 14:37:57,Seth Falco,refactor(cleanupNumbericValues): improve how viewbox is split (#2046),False
a59f47b98ccd53c7bdc0e9ec81ddae779442e827,2024-07-02 14:08:35,Seth Falco,chore(removeScripts): remove redundant regex pattern (#2045),False
b8f8d1c655fb99a3049a7de73fede11cbc17fa84,2024-06-16 17:32:53,Seth Falco,refactor: dont covert to charcode in iswhitespace (#2039),False
abb23bf1239e6b196e2f2147edd258e8925ae21d,2024-06-16 04:40:42,Seth Falco,docs: add usage section (#2038),False
1348383caa989e2e6837b63db40a992dff0bf1b4,2024-06-15 02:14:45,Seth Falco,chore(addAttributesToSVGElement): fix typoes in docs (#2037),False
ce4ca1cabc79e7ca266df53c06808832b2ed1226,2024-06-14 18:01:07,XhmikosR,chore: enable more coverage reporters (#2024),False
fea26379d29a02f8229b6c0b2caf19a0713fe3eb,2024-06-14 18:00:18,Vlad Tansky,fix: support -o-keyframes and -moz-keyframes (#2019),False
5481fc24779d1369ff015bc600cb247e16f5619d,2024-06-14 17:18:56,Seth Falco,fix: don't insert 0 at start or end of attribute if whitespace (#2036),False
e73d13a1a5d05c1eee802331a3fd35a8e98679cd,2024-06-14 15:13:30,Antonio Salvati,fix: convertColors plugin ignore currentColor in 'mask' elements (#2032),False
8d777dd3c99decd3f9d7c7dd897fe5664a3a0c28,2024-06-13 20:48:19,Seth Falco,chore: use concrete types for generics (#2034),False
65d0a52ab327ed16c066bb52c79f86078617ea4b,2024-06-12 03:39:04,Seth Falco,fix: add alias of removeScriptElement to removeScripts (#2033),False
7593b325f6f3eede0ed217339ef71f8f7a07867c,2024-06-10 20:29:08,XhmikosR,chore(ci): add Node.js 22 (#2026),False
a21dae62a1f9d3983bccb8c96ab96849777b0c6f,2024-06-09 23:25:34,Seth Falco,chore: freeze plugin arrays (#2028),False
1a025dac88462b65eb60b63a3f5f6eb1f81a8e67,2024-06-09 20:49:57,nuintun,fix: fixed Config definition for node (#1997),False
0c13740fddcb996768d978135308dadf0217d88c,2024-06-09 16:58:37,Seth Falco,feat: expose builtin plugins (#2027),False
1bb5bbe39ea2cf8b46db2963c2b0a2f5ffcd3bdc,2024-06-08 00:53:59,XhmikosR,chore!: Update commander to v11 (#2004),False
32edd7bcd6e5fd6c3bfeece4dbfde65e706b61c3,2024-06-07 23:23:07,Seth Falco,chores: amend version strings (#2023),False
