Hash,Date,Author,Message,IsMerge
742a5a34096967eea97b5eaa284a2f193c622f56,2025-03-20 05:17:26,dependabot[bot],chore(deps-dev): bump sinon from 19.0.2 to 19.0.4 (#10379),False
84d2b999fdfff78ba2713071ff3b4f1d429ae6c7,2025-03-19 04:51:21,dependabot[bot],chore(deps-dev): bump shx from 0.3.4 to 0.4.0 (#10376),False
4b9c62ac5281e2bfd4f0fe9904ec9b4e4b488604,2025-03-18 05:13:17,dependabot[bot],chore(deps-dev): bump sass-embedded from 1.85.1 to 1.86.0 (#10375),False
502b7f8e75b463ea0cb6ab1e9959d230320eb47f,2025-03-18 05:06:19,dependabot[bot],chore(deps): bump @babel/runtime-corejs3 from 7.26.9 to 7.26.10 (#10374),False
44741ee64776a801c407f44818df230035207a39,2025-03-15 05:21:14,dependabot[bot],chore(deps-dev): bump stylelint from 16.15.0 to 16.16.0 (#10369),False
b35d829822677ce93ff48ea35c5e153286623ac4,2025-03-15 05:14:18,dependabot[bot],chore(deps-dev): bump @babel/core from 7.26.9 to 7.26.10 (#10368),False
8e15218e1574070f06fe578411043dd0719fa86f,2025-03-14 05:55:54,dependabot[bot],chore(deps-dev): bump @babel/plugin-transform-runtime (#10366),False
24dfbeb93063e8b0b56de1fff9b5dbf308c338cc,2025-03-14 05:49:26,dependabot[bot],chore(deps-dev): bump cypress from 14.1.0 to 14.2.0 (#10365),False
a0685b236c6fb4256a5303dd083be37b8c969480,2025-03-14 05:42:17,dependabot[bot],chore(deps-dev): bump start-server-and-test from 2.0.10 to 2.0.11 (#10364),False
ab2177d1df13f6994c98d6bef2314fc07b648f05,2025-03-14 05:36:05,dependabot[bot],chore(deps-dev): bump @babel/eslint-parser from 7.26.8 to 7.26.10 (#10363),False
6e8bfe1cd60f2b5ad75c6037e49b4bea4fce107e,2025-03-13 04:44:56,dependabot[bot],chore(deps-dev): bump lint-staged from 15.4.3 to 15.5.0 (#10362),False
a678344d97895394ccf7d6d486fe3a1a0ccd80cf,2025-03-12 05:20:44,dependabot[bot],chore(deps-dev): bump @commitlint/cli from 19.7.1 to 19.8.0 (#10359),False
1d948376fe40fe1fdae61c88ef0a169911c9bbd3,2025-03-11 05:32:25,dependabot[bot],chore(deps-dev): bump autoprefixer from 10.4.20 to 10.4.21 (#10354),False
274b1b569e8ea9e17575964158fd765dfa445c94,2025-03-11 05:25:47,dependabot[bot],chore(deps): bump swagger-client from 3.34.1 to 3.34.3 (#10353),False
e3043f9380a62022e7249890ea918096578c4d78,2025-03-10 16:27:35,swagger-bot,chore(release): cut the v5.20.1 release,False
3dc2cd6dc21b0f626598952fcf8bc4d4b3a9f9e4,2025-03-10 15:35:46,Vladimír Gorej,"fix(docker): fix security issues CVE-2024-56171, CVE-2025-24928 (#10351)",False
55dca4c69d4192c8b4616513afdc087f40364048,2025-03-08 05:00:54,dependabot[bot],chore(deps-dev): bump eslint-config-prettier from 10.0.2 to 10.1.1 (#10349),False
b824368cd908823a5961c2c0db9f34c61c93fa2e,2025-03-08 04:53:57,dependabot[bot],chore(deps): bump axios from 1.7.9 to 1.8.2 (#10350),False
78af2fc1b3e6ee9757f9f2b0359994fcd0ea17df,2025-03-08 04:46:50,dependabot[bot],chore(deps-dev): bump @commitlint/config-conventional (#10348),False
6db50bdb5f4dc38bd2c677094e77892da90d27a6,2025-03-07 04:49:15,dependabot[bot],chore(deps-dev): bump terser-webpack-plugin from 5.3.13 to 5.3.14 (#10347),False
6edfec59529d7c33ae5bb55b9ae3fe891f518e9f,2025-03-06 05:13:02,dependabot[bot],chore(deps-dev): bump terser-webpack-plugin from 5.3.12 to 5.3.13 (#10346),False
