Hash,Date,Author,Message,IsMerge
d8d40130459d1537f6117a927947cd46c83182b0,2020-01-07 23:42:27,Johnny Peck,"Update the-super-tiny-compiler.js

Plural ""node""",False
f0321d5b1d77c409f56cc393564d0b3ffbd5a855,2019-06-22 07:32:05,Jamie Kyle,Update README.md,False
4f7a85a9f8e913db58f358044bc53167faba4307,2017-10-13 11:43:29,Donald Pipowitch,change interface for visitor in description,False
386d1efd5b0b5374ef8bc6f3b6eece9abb452526,2017-06-01 01:18:50,james kyle,Update the-super-tiny-compiler.js,False
c5979db0260eb6784321c5231a20ca3b9ac44522,2017-04-25 21:49:22,Elliptica,Fix typo,False
3aa9f63aa8294112df2f679a2277657e8059a1c9,2017-04-14 02:37:03,james kyle,Update README.md,False
bc2898670eae963e8fbc88a40f6337b42c8a61b8,2017-01-11 03:48:45,薛定谔的猫,bugfix: filename error (#53),False
dee8b924ea782cb8959dbadfb9c3c0d24b4d014a,2017-01-04 22:51:30,G. Kay Lee,"Update the-super-tiny-compiler.js (#51)

Made some modifications to make the newly-added text fit into existing paragraphs.",False
a7f50205eef1ad4273beb7b7025fd4c051a47874,2017-01-01 02:53:56,james kyle,Update Image,False
ca64396847b3082cfa4dd152ddafc3b806c1a889,2017-01-01 02:47:37,james kyle,Update Image,False
6c712484ad50b360a11322163f067918eb5736f7,2017-01-01 02:04:48,James Kyle,1.0.0,False
c4cb49b184aff5466ffbf201eb0ec64e9d850a04,2017-01-01 02:01:43,James Kyle,Prepare for greatness,False
3356bea996b57dbca054859ca2540661a9195163,2016-08-25 07:20:56,James Kyle,Init commit,False
