Hash,Date,Author,Message,IsMerge
a3bc5fc82f6599bc923dc18573223ec9b53dc932,2024-10-24 02:56:23,Hemanth HM,"Merge pull request #226 from BobConanDev/patch-2

Update tips.json, fix a typo",True
07662dbac1348b9f6ee9c1d28f03e8bcb930db4a,2024-10-24 01:41:22,Bob Conan,"Update tips.json, fix a typo",False
1c23d34fbb90df79201432019c5b04dda58e76c8,2023-05-02 20:41:11,hemanth.hm,"Merge pull request #215 from arnabnandy7/add-tips-python-env

Fix:git checkout -- <file_name> is incorrect #177",True
a67bf7c06eb76de096a9cbbffac9cb13e851f26b,2023-04-06 10:56:32,Arnab Nandy,adding the package files,False
a8f70a05dc8bc5870b3a92f7e2f35c5c79b52cbc,2023-04-06 10:41:48,Arnab Nandy,Fix:git checkout -- <file_name> is incorrect #177,False
8891620064c546f4a8377c1a7d638200cb5458aa,2021-08-13 04:11:22,hemanth.hm,"Merge pull request #201 from javadnikbakht/master

A Persian version of README file link Added",True
18f522eea9ca976fb5d34b26226aef44f8a5767d,2021-08-13 03:49:55,Mohammad Javad Nikbakht,"Merge pull request #1 from javadnikbakht/javadnikbakht-add-readme-fa

A Persian version of README file link Added",True
1c37e6b3eba09f3839fef75e31ba9170a096470f,2021-08-13 03:48:19,Mohammad Javad Nikbakht,A Persian version of README file link Added,False
1b89495cfb37e080d2b6510a104d4f79152055a8,2021-05-05 03:41:47,hemanth.hm,"Merge pull request #199 from itaikla/add-create-tag-tip

Add a tip for create local tag",True
ba02cea81ba934e37b59a89bd231138dec773cf0,2021-05-05 03:41:31,hemanth.hm,"Merge pull request #197 from Masa-Shin/add-git-push-tip

Add a tip to omit writing branch names when push",True
6ed1ec9dfac7d78268d58d850fe8da731ad4bc6d,2021-05-05 03:41:05,hemanth.hm,"Merge pull request #190 from AdrianSkar/patch-1

add[alternative]: create and switch branch",True
f7c92fd9ea56337d1dd7065536db1ff9e7fef06b,2021-05-05 03:40:56,hemanth.hm,"Merge pull request #186 from AdrianSkar/patch-1

alternatives: create and switch new branch",True
474306e30ea434881268abf38e25c6aa35678ff3,2021-05-05 03:39:36,hemanth.hm,"Merge pull request #198 from Masa-Shin/add-git-stash-show-tip

Add a tip to view what's in a stash",True
dc7a62b67d247eefd94a4f8abf5e7c95c5efc807,2021-05-04 21:06:10,Itai Klapholtz,Add create local tag tip,False
c8eb026a8617d7b78d3b2a360959e0a0bb571bfd,2021-05-04 16:34:07,Masahiko Shin,Add a tip to omit writing branch names when push,False
ec4301cc2daa245b5a1d503ae9306704622ba910,2021-05-04 16:33:15,Masahiko Shin,Add a tip to view what's in a stash,False
1a97486c8223e33303b4ad44da757f2d37e14210,2021-03-18 23:28:22,hemanth.hm,"Merge pull request #192 from lmarvaud/master

Add tips to delete local branches that has been squash and merged in the remote",True
4f15d65b68c149ba244dc6a83fd2155f3d91b148,2021-03-18 20:24:42,Léni Marvaud,Add tips to delete local branches that has been squash and merged in the remote,False
40b03da99e61c6cdf71af28b12cb08c0562f4c68,2021-01-13 01:48:27,hemanth.hm,"Merge pull request #184 from RedNik96/feature/git-stash-push

replacing `git stash save` by `git stash push`",True
0eb60008aad02c301fe8bf8bb9d268dd3cb18e0e,2021-01-10 16:16:57,rednik96,replacing `git stash save` by `git stash push`,False
6b2007ab79b29cf21f7b52c34089f374a4c796b2,2021-01-10 16:11:46,rednik96,"Revert ""replacing `git stash save` by `git stash push`""

This reverts commit e89eb24e670c6baf8d2c9944319323e5dc59bdd7.",False
97047c7560a70e79b9a21ef691752ec22b9c8047,2020-12-19 16:30:49,Adrian Skar,"add[alternative]: create and switch branch

From #186.",False
e1b98f70b8930aeff12e65944d8886e050407296,2020-12-19 01:12:43,hemanth.hm,"Merge pull request #187 from edycutjong/typofix/restore-delete-file-extra-caret

Fix typo extra caret in git command Restore delete file.",True
324643e3ff747fc4982db9c98f1de7bb4cc15a89,2020-12-19 01:12:14,hemanth.hm,"Merge pull request #188 from gaushikmr/patch-1

CODE_OF_CONDUCT",True
979cf19f2627216da3a01b2ae0d837871a95360e,2020-12-19 01:11:54,hemanth.hm,"Merge pull request #189 from edycutjong/bugfix/print-variable

Split tutorial git variable for list all and show specific variable",True
d1835c92dfda88663fd444380a18b7f7b40ee875,2020-08-25 21:45:27,Edy Cu,Split git variable to avoid confusion symbol vertical line for pipeline and OR,False
767360112f4c6bc58e68eae96b93cd6bb886dade,2020-07-31 19:44:03,Gaushik M.R,Create CODE_OF_CONDUCT.md,False
442d880d4cb869f05bdf8e81706e71e66e63edc4,2020-07-30 18:10:51,Edy Cu,Fix typo extra caret in git command Restore delete file.,False
8305c4a4c6534cd298588900a525740bafb971e9,2020-07-16 21:11:10,Adrian Skar,"alternatives: create and switch new branch

Add alternative to 
`996 ## Create and switch new branch`
using git switch 
ref: https://git-scm.com/docs/git-switch",False
36c15874fd5196517b55a38c627f3dc5ffc84e43,2020-05-08 02:48:04,biesiadamich,"update readme (#185)

added Polish link",False
e89eb24e670c6baf8d2c9944319323e5dc59bdd7,2020-05-03 17:26:09,rednik96,"replacing `git stash save` by `git stash push`

`git stash save` -> This option is deprecated in favour of git stash push.
[git docs](https://git-scm.com/docs/git-stash#Documentation/git-stash.txt-save-p--patch-k--no-keep-index-u--include-untracked-a--all-q--quietltmessagegt)",False
14ad922baa058a12744913390cd50026fd0273ca,2020-04-29 01:18:48,hemanth.hm,"Merge pull request #183 from git-tips/revert-180-master

Revert ""[WIP] Polish version""",True
daf32cf5add029f653cbebf1ea7754434c859d17,2020-04-29 01:18:35,hemanth.hm,"Revert ""[WIP] Polish version (#180)""

This reverts commit 512ec7764c194d61e06e4f411a2e04ecfd06c92a.",False
512ec7764c194d61e06e4f411a2e04ecfd06c92a,2020-04-04 20:02:08,Michal,"[WIP] Polish version (#180)

* update README.md

first changes

* update README.md

few changes

* update readme

changed until git-stash

* update readme

updated until 987L

* update readme

updated internal links

* update readme

updated internal links

* update readme

small fix

* update readme

updated with internal links

* update readme

small fixes

* update readme

small fix

* update readme

small fixes",False
bd9b419d683a7ca034b9a9747730e80add1e4dbf,2020-02-22 15:01:35,hemanth.hm,"Merge pull request #176 from lntuition/master

Add Prevent auto replacing LF with CRLF",True
