Hash,Date,Author,Message,IsMerge
c8aedce5f512e47991a62b37b9ee3ef38df1a4b6,2024-10-28 23:23:44,NullVoxPopuli,Update ember (#2261),False
6b217afbf549c7fbb138e6bad3d40309cc000ae8,2024-09-09 19:49:31,Martin Grandrath,"Fix association between label and input element (#2257)

The association between the `toggle-all` checkbox and its label was broken because the id value referenced in the `htmlFor` attribute was missing.",False
643cab2e0d5154130077df6356e53871f3b0fa84,2024-08-16 19:40:29,bricedurand,update link to backbone app in App specification (#2259),False
29908f1ab19f6bb7c8ef4dcefb453f7ccc6ca291,2024-07-02 00:52:41,Thorsten Kober,update speedometer link (#2251),False
7c64d8f4cdbd1f42e96b7cdbdc23821c6f2667d6,2024-07-02 00:52:00,Thorsten Kober,Add sidebar to new examples (#2254),False
17c2857da81fe92dc508a90cd0666965eb06cead,2024-06-24 21:03:06,Eugene,Fix typo in examples/react/readme.md (#2253),False
feccc2de4bf7a6a7829e0520e4c015ce84a2e6d5,2024-04-05 00:21:09,Tyler Sayles,Update index.html (#2246),False
b6026bba029f47947a9e76f1235bd3d7e3f99a1b,2024-02-06 00:18:49,Thorsten Kober,update ember link (#2242),False
efafb5843a52fad8b465f642ee8d5d980ad1ac4d,2024-01-19 02:02:55,NullVoxPopuli,Add URL prefix to ember app (#2238),False
48902458c158834934d630bf2cdcc7d4588f11f5,2024-01-18 00:51:18,Thorsten Kober,change order (#2234),False
94c79705a63ef63ee08000205085c884afecefba,2024-01-18 00:51:00,Thorsten Kober,remove invalid entries (#2236),False
22cbe4086e89c39da46a7cbd74a722bce49f8a06,2024-01-14 01:29:05,Thorsten Kober,adjust intro text (#2233),False
2535df820a707daf0b2f4d1963968863971e09c1,2024-01-14 01:28:37,Thorsten Kober,changelog / news section  (#2230),False
0a8a81f933a5448ff24e13bea4d3140dce16c983,2024-01-09 01:44:52,Thorsten Kober,update avatars (#2228),False
181dc18d390189ad31c52ecc942d1083d7c635a6,2023-12-29 19:38:44,Thorsten Kober,adjust credits styles (#2225),False
ebe0a32ded2214360a2e5b375fbec777284d3ccb,2023-12-29 19:37:29,Thorsten Kober,add new badge (#2224),False
74c17036f3451c2a84f7c04f33cc4879d7ce8500,2023-12-28 20:05:15,Thorsten Kober,misc cleanup (#2223),False
