Hash,Date,Author,Message,IsMerge
0d820ef7292cdec28dd8b5d565921b8100ca3397,2024-10-16 16:27:01,Julian Gonggrijp,"Merge pull request #2998 from Aurimas-stack/update-docs-version

Add _.VERSION to the documentation",True
918bb155c40756ec28c0fc43550563c74f634226,2024-10-16 12:46:27,Aurimas Ž,"Moved version to utility, added version to table of contents, changed id, title and > symbol",False
f2c22ddd3eab63e8c95ac4e9c6b98918832996c7,2024-10-16 00:40:31,Aurimas Ž,Added _.VERSION to the documentation notes section,False
d2e7e613a597bec6b16c946e42c91950dcc1a215,2024-07-25 02:10:02,Julian Gonggrijp,Update autogenerated files for 1.13.7,False
b1d4f239aaec15fad943c3490deddf941698f4a8,2024-07-25 01:57:27,Julian Gonggrijp,Add a change log entry for 1.13.7,False
473970aec6f735ac71f0187b4a7c5228ff6d19f1,2024-07-25 01:55:22,Julian Gonggrijp,Bump the copyright years,False
a1cbb48251733cc2018cd8dd99e5cd727d42f0b0,2024-07-25 01:54:09,Julian Gonggrijp,Bump the version to 1.13.7,False
1205eb516f15b406c61e66856bc7ea9186407fe5,2024-07-25 01:08:40,Julian Gonggrijp,"Merge pull request #2996 from elkcityhazard/feature/theme-toggle

feature/theme-toggle fixes #2909",True
bd3468ba4ba5c58db10583f58464106f27a68c51,2024-07-24 06:48:50,Andrew M McCall,even more css formatting,False
dd23fd0cdfb8b846af73a30f4ecb7b83bdf3279a,2024-07-24 06:44:13,Andrew M McCall,"formatting, filter, darker darkmode",False
184aae5863c2b5f85823b553fe894d7ecd7121f1,2024-07-24 05:28:00,Andrew M McCall,unncessary prefers-color-scheme: light removal,False
55720c074b673d84e34d1f4378379958e107057e,2024-07-24 05:27:02,Andrew M McCall,minimal dark mode implementation,False
de20b6fa315d65b40db360218e1fa371f0b6c399,2024-07-23 08:12:27,Andrew M MccCall,incorporated stylesheet that was already available,False
ed42966bfd2cd372fd8dcc1252bc24a9f77171f1,2024-07-23 07:17:45,Andrew M McCall,fail if no toggle,False
6505d535571938a92169ab77982f1ec45a831996,2024-07-23 07:09:52,Andrew M McCall,"minor refactor to work on firefox, moving files arond",False
75540e332f9025b9e001e7745979bad367766ffa,2024-07-23 06:05:57,Andrew M McCall,removed extra console log,False
8b3a913e64d84c8262f19f1cc7b8972830f9e4e4,2024-07-23 05:59:48,Andrew M McCall,feature/theme-toggle,False
1abc36c169947c54c97e266513b1d763d0198f46,2024-03-06 03:08:21,Julian Gonggrijp,"Merge pull request #2991 from deining/bump-github-workflow-actions

Bump GitHub workflow actions",True
e7c16421cacd2121b6c430f8881ba4a09f365013,2024-03-06 01:05:21,Andreas Deininger,Fix typos,False
7974498db4436c1bde9ec68bb44ce38e94422971,2024-03-06 01:01:57,Andreas Deininger,Bump GitHub workflow actions to latest versions,False
0bd9b48c0ad58e55991a623477dc11fa0237ac87,2023-09-27 19:31:37,Julian Gonggrijp,"Merge pull request #2986 from colingm/native-data-view

Add nativeDataView check to isDataView",True
dbb54754bbb78ab11c7d8cd2c245318ba9d00876,2023-09-27 19:22:57,Colin Maxfield,"Add in tests for non-native dataview

This includes a new module that will run about 1 out of every 3
runs that will make sure the browser DataView is replaced with an
object. Without the updates to supportsDataView this would fail
since stringTagBug would try to call the constructor on it.",False
fcc3b61d47d9cc2497b7fd5a9b407fcccf9abc81,2023-09-27 19:22:51,Colin Maxfield,"Add nativeDataView check to isDataView

The is DataView check relies on DataView being a constructor like
it is natively. However, if an application overrides DataView from
the window this ends up throwing an error when underscore is
included. This here will check if DataView is the native implementation
before trying to use the constructor on it. If it is not native
it will fallback on the same heuristic used on older IE versions
for checking if something is a DataView or not.",False
d12221366eacbb63e37cff328bed475f34ebe083,2022-11-29 22:48:18,Julian Gonggrijp,"Merge pull request #2978 from stevenh/fix/range-step-docs

fix(range): step documentation",True
383d9fad746ae8de1050db5f6abde64fb5a7889c,2022-11-29 04:38:07,Steven Hartland,"fix(range): step documentation

Fix the documentation for range step which changed behaviour in 1.10
to automatically set step to -1 if start is after stop.",False
7860d11ca75ee9371b21c6ab68b9597efd74d29e,2022-11-23 05:30:34,Julian Gonggrijp,Add a github entry to the FUNDING.yml,False
af7c386a1f2f16ec8971b59f8593d46f7ca91aa3,2022-11-13 07:36:07,Julian Gonggrijp,Add source links to all functions in documentation (close #2976),False
60835dc13d8354397f68607af3051a559d971645,2022-09-24 04:15:55,Julian Gonggrijp,"Run patch-package when building the docs

Ref #2967 #2968 #2969 #2970 #2971 #2972 #2973 #2974",False
bd2d35c87620a7da36250a006c97fdae89f4902d,2022-09-24 04:12:22,Julian Gonggrijp,Merge remote-tracking branch 'upstream/master',True
2e7c0f2841f5d2d0172ee42a762193898a663e30,2022-09-24 04:00:31,Julian Gonggrijp,"Update generated files, tag 1.13.6 release",False
732cafe9f580b6ee8fcb2102fe1babb65b29b810,2022-09-24 03:50:50,Jeremy Ashkenas,Underscore 1.13.6,False
e8f86fb4c670ff00abade85064c4a9cf4456fbbd,2022-09-24 03:50:23,Julian Gonggrijp,Add changelog entry for versioin 1.13.6,False
43e827a166f3bdff061e0372dec73f42e6a225e1,2022-09-24 03:46:52,Julian Gonggrijp,Bump the version to 1.13.6 (hotfix),False
1c1d1a278a8c617c3be052cafcb1717910e0e64a,2022-09-24 03:45:00,Julian Gonggrijp,"Remove patch-package postinstall script

This broke much more stuff than I expected.

Ref #2967 #2968 #2969 #2970 #2971 #2972 #2973 #2974",False
4eb6894351edf20d589d2c2df7f20befeaf4a3e8,2022-09-24 03:38:45,Jeremy Ashkenas,"Merge pull request #2974 from paulsmithkc/patch-1

Hotfix for broken builds",True
2edcdc18b64db878b887a6047300e724995481e4,2022-09-24 03:18:25,Paul Smith,"Hostfix for broken builds

patch-package is a dev dependency and should not be required by users of underscore.js

This hotfix removes the postinstall script which is causing multiple build failures across the ecosystem.",False
66ee70d746399b3446a700492bc62f4117d4a21b,2022-09-24 01:57:18,Julian Gonggrijp,"Verify that production and doc builds still work in CI

When I did the last `npm audit fix`, it completely escaped my
attention that this might break the scripts that we only run prior to
a release. This won't happen to me again!",False
68e5eb68635548846b4663479b9d0fc78d090b0a,2022-09-24 00:47:59,Julian Gonggrijp,"Update generated sources, tag 1.13.5 release",False
08cb1404eb27b80bcadb87a32fcd515f23f7c9a6,2022-09-24 00:47:29,Julian Gonggrijp,Work around docco build problem using patch-package,False
5ac6628c0e4c900b9352f657eacc55c495ca4de3,2022-09-23 23:37:10,Julian Gonggrijp,"Merge pull request #2966 from jgonggrijp/prepare-1.13.5

Prepare 1.13.5",True
bef7ee3125855be61740b383ea6c1cd3bfe3e2ba,2022-09-23 23:28:17,Julian Gonggrijp,Add a change log entry for 1.13.5,False
c47566a4bd019f350fbb0ba48ea5472d718b20a7,2022-09-23 23:13:34,Julian Gonggrijp,Bump the version to 1.13.5,False
