Hash,Date,Author,Message,IsMerge
c7298d40a4632a6e9dfcd5a2f5cc3bbe92a78744,2025-03-11 18:27:04,Sarah Rimron-Soutter,8.23.0,False
77c99d2829f56d1037361c33ccd96c6ea966ecb7,2025-03-11 17:58:44,Borut Zizmond,feat: Improve SmartTV scrubbing behavior (#8988),False
5b9795d061017927fb343a95569cda7c949a36f2,2025-03-07 02:26:03,Damandeep Singh,fix: Improve getFileExtension() readability and handle leading dot extensions. (#8980),False
1c282a3d6d8ceda62c453fb275c218aeede3cd7d,2025-03-06 02:12:38,Walter Seymour,feat: toJSON methods for text track serialization (#8998),False
8842d376ed3d834ad3ce0a5e662fe446513ea0bd,2025-02-14 14:11:35,André M.,"refactor(types): track and track list types generation (#8978)

## Description

This PR resolves #8486 by building upon the work that was done to
address
comment https://github.com/videojs/video.js/pull/8486/files#r1635782771.

---------

Co-authored-by: Jason Olson <jolson88@outlook.com>",False
fc049a30b27801250d668a695a07c4937897e06f,2025-02-06 00:02:22,Alex Barstow,8.22.0,False
88aa1e79d0e5f3d401040e4091cf2967014a23fe,2025-02-05 23:17:19,Alex Barstow,feat(package): Update to @videojs/http-streaming v3.17.0 (#8976),False
55bb0fd33c18016d8559188fc741ac62d2708a0c,2025-02-05 22:55:28,mister-ben,"chore: Update sass and change colour syntax (#8894)

## Description
Projects using newer versions of sass which have deprecated `lighten()`
will get deprecation warnings.

This updates sass, and switches to `color.adjust()`. This function is
available since dart sass 1.23.0.

Note this would increase the output CSS size, as it will output
different colour syntax, .e.g.

```
<   background-image: linear-gradient(-180deg, #fff 88%, rgb(114.9141509434, 132.7028301887, 159.3858490566) 100%);
---
>   background-image: linear-gradient(-180deg, #fff 88%, #73859f 100%);
```

Closes #8876

## Requirements Checklist
- [x] Feature implemented / Bug fixed
- [ ] If necessary, more likely in a feature request than a bug fix
- [x] Change has been verified in an actual browser (Chrome, Firefox,
IE)
- [x] Has no DOM changes which impact accessiblilty or trigger warnings
(e.g. Chrome issues tab)
  - [x] Has no changes to JSDoc which cause `npm run docs:api` to error
- [ ] Reviewed by Two Core Contributors",False
4661aa770c2e49ce1c9cd5c83b836decb1f527e9,2025-02-05 22:54:28,Christian Ebert,"fix: hide mouse tooltip on touch devices when not scrubbing (#8945)

Problem: the vjs-user-inactive class triggering the hiding of the
tooltip is added much later on touch devices, therefore the mouse
tooltip stays visible on its last seek target position whenever the user
taps the screen to access the controls.

This change ensures that the mouse tooltip is only visible when the user
is actually scrubbing.",False
c1a8cbfb181c0d21d22164eca098be08641193a5,2025-02-05 22:53:17,Jakub Pavlik,"chore: Enable supply chain security through npm provenance attestation (#8911)

## Description

- Configure GitHub Actions workflow for secure publishing
- Enable automatic provenance generation during npm publish
- Add integrity verification through Sigstore transparency logs

Following the recent Lottie-Player supply chain attack, it's crucial to
enhance package security. NPM provenance provides cryptographic proof
that this package was built from this repository using GitHub Actions,
making supply chain attacks significantly harder. More info in my blog
post
https://medium.com/exaforce/npm-provenance-the-missing-security-layer-in-popular-javascript-libraries-b50107927008

## Specific Changes proposed
Changes the workflow github to publish provenance attestation on
https://www.npmjs.com/package/video.js

## Requirements Checklist
- [x] Feature implemented in CI/CD
- [ ] If necessary, more likely in a feature request than a bug fix
- [ ] Change has been verified in an actual browser (Chrome, Firefox,
IE)
  - [x] Unit Tests updated or fixed
  - [ ] Docs/guides updated
- [ ] Example created ([starter template on
JSBin](https://codepen.io/gkatsev/pen/GwZegv?editors=1000#0))
- [ x Has no DOM changes which impact accessiblilty or trigger warnings
(e.g. Chrome issues tab)
  - [x] Has no changes to JSDoc which cause `npm run docs:api` to error
- [ ] Reviewed by Two Core Contributors",False
