Hash,Date,Author,Message,IsMerge
f36a4edfbd2bca485e64761d75490e06948abdc9,2025-02-24 19:58:16,Haoqun Jiang,"docs: add `--no` flag to `npx` command to avoid downloading the incorrect package from npm

Thanks to @alxndrsn for finding this issue and the insightful blog post.
https://www.alxndrsn.com/2024-08-01-npx-binary-confusion/

Also thanks to @lirantal for his newsletter that brought this issue to
my attention.
https://www.nodejs-security.com/newsletter/npm-supply-chain-security-prisma-orm-security-fun-nodejs-security-challenges",False
cb4477f0d3727d83fd9e30417fc9c70259750c02,2025-02-18 23:37:54,Haoqun Jiang,"docs: fix a broken link [skip ci]

https://github.com/vuejs/eslint-config-prettier/issues/11

I would recommend using the ESLint CLI directly over
`@vue/cli-plugin-eslint` at this point.
But for users who are stuck with old versions and still read this
migration guide, they deserve a working link.",False
f0f254e4bc81ed322eeb9f7de346e987e845068e,2022-11-09 08:28:56,dependabot[bot],"chore(deps): bump loader-utils from 1.4.0 to 1.4.1 (#7324)

Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
ea4c98ae84f20d410126707a1defc58a33998e8b,2022-09-04 10:03:55,chlorine,fix: pnpm v7 install error (#7265),False
e63681735f01e5f22f0791251683c8418aa2aa8e,2022-08-17 13:08:27,Evan You,docs: revert vitepress version,False
248f770f7c1adf28953b424b3b863a2115c2211d,2022-08-17 12:52:28,Evan You,docs: simplify message wording + message on landing page,False
7c0134e653a0f58315ac9b06e940a5c5928b8b0b,2022-08-17 12:43:10,Evan You,docs: add recommendation for create-vue in docs,False
95ad425474ec784404188d1874fd59176a97a0f3,2022-08-17 12:09:51,Evan You,docs: bump vitepress,False
bc1c0bc5b49ac871539c3bb0b0c79451c0ee881a,2022-08-17 11:33:06,Evan You,chore: update readme [ci skip],False
b154dbd7aca4b4538e6c483b1d4b817499d7b8eb,2022-07-07 15:51:27,Haoqun Jiang,v5.0.8,False
4e024b77af8256ab858bb6cbf6179258d0c495b1,2022-07-07 15:06:36,Haoqun Jiang,"ci: bump appveyor node version

The dev dependency `@graphql-eslint/eslint-plugin` is causing CI
failures in Node.js 12",False
0260e4dacd89b6edf63bef07fd80d3b6108f72b5,2022-07-07 14:05:27,BackRunner,fix: add devServer.server.type to useHttps judgement (#7222),False
07052c4f160c98ea16497b08878119b230f3fe44,2022-07-07 14:00:18,Haoqun Jiang,"fix: Vue CLI UI graphql subscription server error

Fixes #7221

`subscriptions-transport-ws` is also deprecated, we need to move to
`graphql-ws` one day.
But better deprecatedthan broken.",False
a5a893e16618acb4801da9c5498ae9597e28d753,2022-07-05 14:32:18,Haoqun Jiang,chore: update changelog,False
4a0655f7ac09b64d2b47506e7f21e7923d43262b,2022-07-05 14:23:09,Haoqun Jiang,v5.0.7,False
6f9b6ec47337460714994e7af5102a90313c1590,2022-07-05 13:29:49,Haoqun Jiang,"chore: update fallback chromedriver version

It is only served as a fallback version number when local Chrome version
detection failed. Updating the version to the latest may reduce
user frustrations when such rare scenarios are encountered.

Closes #7203",False
