Hash,Date,Author,Message,IsMerge
bd907467b8392d6671bb115738285ff7f63d0cf6,2024-09-25 18:56:40,Daniel Roe,docs: augment `vue` rather than `@vue/runtime-core` (#2257),False
7b024d8bc7ed8e273b8bd853b1e23ec78ab1b045,2023-08-08 17:08:57,heygsc,docs: correct branch ref for edit links (#2229),False
0fa7e866d3597db208905b2e6d036d6c5aa59e4c,2023-03-09 06:56:52,Evan You,chore: use issue template,False
a295412e2b54731b1047e1b3411d9df87aff5b1f,2022-12-08 22:35:36,Eduardo San Martin Morote,chore: add link in changelog [skip ci],False
b7f471aef9265555f4094b313e241b4060812cfb,2022-10-15 14:39:33,Evan You,chore: update readme badge [ci skip],False
1ca7c1d430aa0e47d15dbfc9ab06ee06ff496a7e,2022-10-15 14:35:48,Evan You,ci: use github actions,False
674680f3ffe889903c77d6e5cfe62db9a4ea0ebe,2022-10-15 14:24:22,Evan You,chore: bump jest and puppeteer,False
a115d9e90d0bb89246806bdea723ac3494de8e14,2022-10-15 14:08:58,Evan You,chore: bump deps,False
d56222431b91e1927459f7f463e74bb43158ef2b,2022-10-14 16:05:13,Evan You,release: v4.1.0,False
01f87f0c3d59d0796a2535719dfa8328d1af390d,2022-05-28 20:58:01,Kim Yang,"docs(zh): update zh docs from en docs (#2150)

* docs(zh): update zh docs from en docs

* Update docs/zh/api/index.md

Co-authored-by: Jinjiang <zhaojinjiang@me.com>

* docs(zh): apply suggestions

* docs: apply suggestions

Co-authored-by: Jinjiang <zhaojinjiang@me.com>",False
75d20ece2d360689ba59150a6856eed069330be1,2022-04-07 08:55:41,若川,chore: delete unused import of shopping-cart example (#2156),False
e0ea5b81b8c6ff5a7354df13648816df3c1158d7,2022-03-30 13:38:47,Kia King Ishii,docs: add note about Pinia becoming the new default,False
7651d506e473886984eab625797477d63bc69981,2022-02-09 11:42:28,chengpeiquan,docs(zh): wrong link to v3 docs in zh docs (#2129),False
dea4e36dd0885456dcadf08a9bb3cef97ee725b0,2022-02-09 11:41:12,chengpeiquan,docs: fix broken link to v3 docs (#2128),False
747c4883e76ca33109574c0a1d181ef4dbd46832,2022-02-07 09:42:12,Evan You,chore: remove next references [ci skip],False
29483f48377b03fcb0733dab1eb09ee2cd1ab4d0,2022-02-07 09:15:46,Evan You,docs: update v3 links,False
a03dc6a350f0b8554c4fde3ee980f24ee99d0f61,2022-01-18 14:50:36,Evan You,chore: update branch references,False
eb52dfa1d5f4120149e7a126fd118311a745e43d,2021-10-15 07:48:57,Alan Wang,docs: fix heading level (#2075),False
d05b8cf4b4b2db0b79f4075a1f8f2659c58a2a45,2021-10-15 05:49:30,Alan Wang,"docs: update vitepress (#2045) (#2070)

fix #2045",False
