Hash,Date,Author,Message,IsMerge
7426fea100c3c49365b34a351d89876d90dd28b2,2025-02-25 00:52:00,renovate[bot],"chore(deps): update dependency webpack to ^5.98.0 (#2928)

Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>",False
c857ead9072ff4110b49d22723c71966ca94c608,2025-02-15 19:51:41,renovate[bot],"chore(deps): update babel monorepo to v7.26.9 (#2929)

Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>",False
f280ab411771c68362e224672135ae5ce8d1d776,2025-02-09 19:48:09,renovate[bot],"chore(deps): update babel monorepo to v7.26.8 (#2925)

Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>",False
8fc1e5a1c821f0e2adddaf305aafc5a826dcc15d,2025-02-05 17:41:22,semantic-release-bot,"chore(release): 2.5.19

## [2.5.19](https://github.com/webtorrent/webtorrent/compare/v2.5.18...v2.5.19) (2025-02-05)

### Bug Fixes

* **deps:** update dependency streamx to v2.22.0 ([#2921](https://github.com/webtorrent/webtorrent/issues/2921)) ([f06ac81](https://github.com/webtorrent/webtorrent/commit/f06ac81887c4738067f92246949c1e5fcdf60d09))",False
f06ac81887c4738067f92246949c1e5fcdf60d09,2025-02-05 17:37:19,renovate[bot],"fix(deps): update dependency streamx to v2.22.0 (#2921)

Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>",False
b2644bdc3a444837760a110c941c11486be193d9,2025-02-02 21:29:27,semantic-release-bot,"chore(release): 2.5.18

## [2.5.18](https://github.com/webtorrent/webtorrent/compare/v2.5.17...v2.5.18) (2025-02-02)",False
504537793b1b7d23327e37005d82f6af50d40085,2025-02-02 21:25:57,Paweł Zmarzły,"docs(faq): update supported clients and libraries (#2922)

* docs(faq): add more supported clients and libraries",False
5392830823e29005e7b7ff4def9d7a48e0890416,2025-01-30 18:52:48,semantic-release-bot,"chore(release): 2.5.17

## [2.5.17](https://github.com/webtorrent/webtorrent/compare/v2.5.16...v2.5.17) (2025-01-30)

### Bug Fixes

* **deps:** update dependency torrent-piece to ^3.0.1 ([#2920](https://github.com/webtorrent/webtorrent/issues/2920)) ([86d7980](https://github.com/webtorrent/webtorrent/commit/86d7980ff64161449ace94dba9f66520d038fad9))",False
86d7980ff64161449ace94dba9f66520d038fad9,2025-01-30 18:48:58,renovate[bot],"fix(deps): update dependency torrent-piece to ^3.0.1 (#2920)

Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>",False
c9d1fa9b8f7fc907f4f8fb951158828181e26231,2025-01-30 02:14:38,semantic-release-bot,"chore(release): 2.5.16

## [2.5.16](https://github.com/webtorrent/webtorrent/compare/v2.5.15...v2.5.16) (2025-01-29)

### Bug Fixes

* **deps:** update dependency streamx to v2.21.1 ([#2898](https://github.com/webtorrent/webtorrent/issues/2898)) ([7727845](https://github.com/webtorrent/webtorrent/commit/772784501d7e2aaa170344c79eb3c490634c64cd))",False
772784501d7e2aaa170344c79eb3c490634c64cd,2025-01-30 02:10:53,renovate[bot],"fix(deps): update dependency streamx to v2.21.1 (#2898)

Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>",False
527676e84b39aa49de4e9453f2a03137cbee6b0f,2025-01-30 01:52:08,renovate[bot],"chore(deps): update dependency webpack-cli to v6 (#2905)

Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>",False
bf88ee8986ade906916c9ccdffdd7014010e55ff,2025-01-30 01:37:26,renovate[bot],"chore(deps): update dependency webpack to ^5.97.1 (#2897)

Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>",False
2b4bbe5d32f2bee124ee349accb1dc5356ab2630,2025-01-30 01:15:29,renovate[bot],"chore(deps): update dependency terser-webpack-plugin to ^5.3.11 (#2903)

Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>",False
1c9fe62584d075ed144e0ada97889c1ad4b45595,2025-01-30 00:24:42,semantic-release-bot,"chore(release): 2.5.15

## [2.5.15](https://github.com/webtorrent/webtorrent/compare/v2.5.14...v2.5.15) (2025-01-29)

### Bug Fixes

* bad done and select behavior and documentation ([#2916](https://github.com/webtorrent/webtorrent/issues/2916)) ([8237d5f](https://github.com/webtorrent/webtorrent/commit/8237d5fa23c9f8f46a0d1ad7bc820ff661ee5ba6))",False
8237d5fa23c9f8f46a0d1ad7bc820ff661ee5ba6,2025-01-30 00:20:55,Cas_,fix: bad done and select behavior and documentation (#2916),False
aafb5707b6b9de0659b43fb1ceef54de2cf63791,2025-01-25 23:11:11,renovate[bot],"chore(deps): update babel monorepo to v7.26.7 (#2917)

Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>",False
8ee7e3c46ad7801b390636c8c49284588afe552e,2025-01-22 03:03:47,semantic-release-bot,"chore(release): 2.5.14

## [2.5.14](https://github.com/webtorrent/webtorrent/compare/v2.5.13...v2.5.14) (2025-01-21)

### Bug Fixes

* noPeers not working correctly ([#2915](https://github.com/webtorrent/webtorrent/issues/2915)) ([62b4118](https://github.com/webtorrent/webtorrent/commit/62b41182ac71acee82cb53ed490f35ad1710ca1f))",False
62b41182ac71acee82cb53ed490f35ad1710ca1f,2025-01-22 02:59:58,Cas_,fix: noPeers not working correctly (#2915),False
d346abea3a3d4304f9990e3d6c91f46d498d4bae,2025-01-20 07:43:24,semantic-release-bot,"chore(release): 2.5.13

## [2.5.13](https://github.com/webtorrent/webtorrent/compare/v2.5.12...v2.5.13) (2025-01-20)

### Bug Fixes

* **deps:** update webtorrent ([#2914](https://github.com/webtorrent/webtorrent/issues/2914)) ([e4f237d](https://github.com/webtorrent/webtorrent/commit/e4f237d9b0118146e7dced65fd5a8690b5771682))",False
e4f237d9b0118146e7dced65fd5a8690b5771682,2025-01-20 07:39:32,renovate[bot],"fix(deps): update webtorrent (#2914)

Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>",False
a3bcf69db8d64bc6485ec2f4d84fc4a6abb1f80e,2025-01-11 23:02:38,renovate[bot],"chore(deps): update dependency @babel/eslint-parser to ^7.26.5 (#2913)

Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>",False
17e4acec5607762df31a63af5e5d90b6013dede6,2025-01-05 01:37:23,semantic-release-bot,"chore(release): 2.5.12

## [2.5.12](https://github.com/webtorrent/webtorrent/compare/v2.5.11...v2.5.12) (2025-01-04)

### Bug Fixes

* **deps:** update webtorrent ([#2910](https://github.com/webtorrent/webtorrent/issues/2910)) ([53049b6](https://github.com/webtorrent/webtorrent/commit/53049b6121d1ea4116d41ebec79b49cd8146ac3d))",False
53049b6121d1ea4116d41ebec79b49cd8146ac3d,2025-01-05 01:33:51,renovate[bot],"fix(deps): update webtorrent (#2910)

Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>",False
54295cc6773da108cff11dd0fcd4d25b6c9aa63d,2024-12-28 22:11:53,semantic-release-bot,"chore(release): 2.5.11

## [2.5.11](https://github.com/webtorrent/webtorrent/compare/v2.5.10...v2.5.11) (2024-12-28)

### Bug Fixes

* **deps:** update dependency torrent-discovery to ^11.0.14 ([#2908](https://github.com/webtorrent/webtorrent/issues/2908)) ([85e1d8a](https://github.com/webtorrent/webtorrent/commit/85e1d8add7bc0e2c426f1ec1bba54f77275dbfde))",False
85e1d8add7bc0e2c426f1ec1bba54f77275dbfde,2024-12-28 22:08:18,renovate[bot],"fix(deps): update dependency torrent-discovery to ^11.0.14 (#2908)

Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>",False
