Hash,Date,Author,Message,IsMerge
c69cdb0cec15a138e0b6e374501e027d1c39606c,2024-11-11 11:02:42,Tapaj Kumar Das,"feat: adds helper function for highest log level (#2514)

- Adds helper function to get the highest log level associated with
  an helper.

ref: #837",False
1b9cef8c7d76e4c15d47997d2c4199c31e9d277a,2024-11-10 08:29:19,DABH,3.17.0,False
3e87128a68468e815fa800df349f179ee699408b,2024-11-10 08:09:32,DABH,Try winston-transport 4.9.0,False
69625fc35184ee1a624e4b4286ffb77b85a9dc61,2024-11-10 07:57:20,DABH,"Revert ""Try bumping winston-transport to 4.8.0""

This reverts commit fe4b64e9d05eced8638612768e5e8b945f3a36ef.",False
876ef7a70209e0c1b38ae6bc88d3b07546072c9b,2024-11-10 07:57:18,DABH,"Revert ""Try bumping winston-transport to 4.8.0""

This reverts commit 7ef2c1db2816973629980e866c36c136b19be5cd.",False
7ef2c1db2816973629980e866c36c136b19be5cd,2024-11-10 07:51:38,DABH,Try bumping winston-transport to 4.8.0,False
fe4b64e9d05eced8638612768e5e8b945f3a36ef,2024-11-10 07:50:40,DABH,Try bumping winston-transport to 4.8.0,False
c9fd9a4bec5e6b1dc8c6ba641a5d5fb5a57e80c2,2024-11-10 07:44:23,DABH,Bump logform,False
14fef0fe74426a70d3e6366c967519cef7612fb9,2024-11-10 07:40:42,DABH,"Revert ""Update logform and winston-transport""

This reverts commit cceb265215a2f4b5545f47dca42167ce1cee68ba.",False
545b68381d77e1a3a24f79e9a66320f226cf8a69,2024-11-10 07:30:28,DABH,Merge branch 'master' of github.com:winstonjs/winston,True
cceb265215a2f4b5545f47dca42167ce1cee68ba,2024-11-10 07:29:56,DABH,Update logform and winston-transport,False
bb529b637faedd4ab3316af2f51a84065acb7a04,2024-11-10 07:28:40,dependabot[bot],"Bump mocha from 10.7.3 to 10.8.2 (#2523)

Bumps [mocha](https://github.com/mochajs/mocha) from 10.7.3 to 10.8.2.
- [Release notes](https://github.com/mochajs/mocha/releases)
- [Changelog](https://github.com/mochajs/mocha/blob/main/CHANGELOG.md)
- [Commits](https://github.com/mochajs/mocha/compare/v10.7.3...v10.8.2)

---
updated-dependencies:
- dependency-name: mocha
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
ae847abff07175a80908abf5a9b9236935ef597d,2024-11-02 02:45:27,dependabot[bot],"Bump async from 3.2.5 to 3.2.6 (#2516)

Bumps [async](https://github.com/caolan/async) from 3.2.5 to 3.2.6.
- [Release notes](https://github.com/caolan/async/releases)
- [Changelog](https://github.com/caolan/async/blob/master/CHANGELOG.md)
- [Commits](https://github.com/caolan/async/compare/v3.2.5...v3.2.6)

---
updated-dependencies:
- dependency-name: async
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
06749a96115a0ed75783761e596754ab7ec9d16b,2024-11-02 02:43:40,DABH,3.16.0,False
201b6f1d739022b24109eade5b1dc1abf1fd287c,2024-11-02 02:41:30,lexctk,"Feature - optionally include Error.cause property (#2447)

Co-authored-by: Alexandra Tudor <alexandra.tudor@hermes.com>",False
195e55c7e7fc58914ae4967ea7b832c9e0ced930,2024-10-05 10:26:55,DABH,3.15.0,False
3a5477770e284e30b1d4d4509c09423886bdd7be,2024-10-05 10:14:50,Han Sen,remove logcallback (#2513),False
f110f61adc5fadf887d7fd3060fa38c34dae1dee,2024-10-04 12:14:42,cslee0034,"chore(docs): Update README.md w/ usage comments (#2507)

- Address issue #2370: Fixed the comments in the usage section",False
f5dde86716616f653c5e7b624baa2c9c2c5b6c6c,2024-10-04 12:13:10,dependabot[bot],"Bump nyc from 15.1.0 to 17.1.0 (#2511)

Bumps [nyc](https://github.com/istanbuljs/nyc) from 15.1.0 to 17.1.0.
- [Release notes](https://github.com/istanbuljs/nyc/releases)
- [Changelog](https://github.com/istanbuljs/nyc/blob/main/CHANGELOG.md)
- [Commits](https://github.com/istanbuljs/nyc/compare/v15.1.0...nyc-v17.1.0)

---
updated-dependencies:
- dependency-name: nyc
  dependency-type: direct:development
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
d1b8dc6d2d9806d0616bf32152a3f0af3026c81f,2024-10-04 12:12:59,dependabot[bot],"Bump @babel/cli from 7.24.7 to 7.25.6 (#2512)

Bumps [@babel/cli](https://github.com/babel/babel/tree/HEAD/packages/babel-cli) from 7.24.7 to 7.25.6.
- [Release notes](https://github.com/babel/babel/releases)
- [Changelog](https://github.com/babel/babel/blob/main/CHANGELOG.md)
- [Commits](https://github.com/babel/babel/commits/v7.25.6/packages/babel-cli)

---
updated-dependencies:
- dependency-name: ""@babel/cli""
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
564161aed3d6c58c998f1a7c878050199722c8d8,2024-09-28 06:16:35,dependabot[bot],"Bump @babel/preset-env from 7.24.8 to 7.25.4 (#2506)

Bumps [@babel/preset-env](https://github.com/babel/babel/tree/HEAD/packages/babel-preset-env) from 7.24.8 to 7.25.4.
- [Release notes](https://github.com/babel/babel/releases)
- [Changelog](https://github.com/babel/babel/blob/main/CHANGELOG.md)
- [Commits](https://github.com/babel/babel/commits/v7.25.4/packages/babel-preset-env)

---
updated-dependencies:
- dependency-name: ""@babel/preset-env""
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
eb7e315e585f047f692f6ac7f9454170d7a8ddd8,2024-09-28 06:16:27,dependabot[bot],"Bump mocha from 10.7.0 to 10.7.3 (#2500)

Bumps [mocha](https://github.com/mochajs/mocha) from 10.7.0 to 10.7.3.
- [Release notes](https://github.com/mochajs/mocha/releases)
- [Changelog](https://github.com/mochajs/mocha/blob/main/CHANGELOG.md)
- [Commits](https://github.com/mochajs/mocha/compare/v10.7.0...v10.7.3)

---
updated-dependencies:
- dependency-name: mocha
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
22aab6de1d5dbe0b7e07ca853c55492ae7d53b5c,2024-09-28 06:15:54,Phred Lane,"Unified Handler Tests (#2020)

* cleaning up

* added some debug

* fixed typo

* refactored tests to show they are almost identical

* fixed rejection trigger

* removed debug code

* cleaning up

* replaced hack with Mocha setting

* removed unreferenced variable",False
51a45515b64f700273c007768c680bc664008d04,2024-08-14 22:42:53,DABH,3.14.2,False
2458ba61ab41fac576b8bded3cd3472e05e3c250,2024-08-14 05:49:03,Neil Enns,"Move initialization to constructor (#2503)

Fixes #2502",False
b270c4ee8ad8dd7098cf45d64cdab4489512dc8d,2024-08-09 01:03:58,DABH,3.14.1,False
