Hash,Date,Author,Message,IsMerge
b92745a9d6760e6b4b2394bfac78cbcd258a8c8d,2025-02-21 14:37:39,Luigi Pinca,[dist] 8.18.1,False
b3d97470ce3dea64be4a7aceeaa1ce121ea2b496,2025-02-20 20:14:57,Luigi Pinca,[doc] Fix nit,False
021f7b8bff3233a607b74937bc73a224ed8b2951,2025-02-20 20:13:05,Luigi Pinca,"[test] Shorten the path lengths

Shorten the length of temporary file and UNIX domain socket paths.

Refs: https://github.com/nodejs/node/pull/57005#issuecomment-2666921592",False
b9ca55b0aa8c72b39a778542bd0fa9b6c455d4c4,2025-01-14 18:59:42,Luigi Pinca,[pkg] Update eslint-config-prettier to version 10.0.1,False
c798dd4ee20efb2d7591b5659839ad05cdb3eb70,2025-01-02 00:43:35,Syed Sadiq Ali,[doc] Fix typo (#2271),False
68614728c164eb55462ff12ba24cb30451d28ec6,2024-10-26 21:30:08,Luigi Pinca,[ci] Test on node 23,False
019f28ff1ffddfcdc428d1de5ecd98648057a2ab,2024-07-14 18:50:58,Isaiah Thomason,[minor] Improve JSDoc-inferred types (#2242),False
bfe1b2a623eb881a107ccf9a95042e8b22933687,2024-07-04 23:07:58,yuhao,[doc] Remove unnecessary period (#2240),False
f7dc46971768b9678b4a255f9f3e202ab203135e,2024-07-04 11:26:58,Luigi Pinca,[doc] Fix the type of the `data` argument,False
976c53c4065c49ede73bfba824caf5a6e0f290cb,2024-07-03 22:06:56,Luigi Pinca,[dist] 8.18.0,False
59b9629b78aa66bcf9acce20468004cd3751c136,2024-07-02 21:20:16,Luigi Pinca,"[feature] Add support for `Blob` (#2229)

Closes #2206",False
0d1b5e6c4acad16a6b1a1904426eb266a5ba2f72,2024-06-17 00:51:28,Luigi Pinca,[security] Use more descriptive text for 2017 vulnerability link,False
15f11a052a231d1f819fffef53bf4b287646d1ca,2024-06-17 00:30:17,Luigi Pinca,[security] Add new DoS vulnerability to SECURITY.md,False
3c56601092872f7d7566989f0e379271afd0e4a1,2024-06-16 19:05:43,Luigi Pinca,[dist] 8.17.1,False
