Hash,Date,Author,Message,IsMerge
e92b871953d04581d3e5b35e942a02c85031d662,2025-03-18 19:25:28,Serhii Butenko,Remove RU localization from the list (#333),False
6f832d987472b30e1e3ede82de22e517af69e40b,2022-12-16 04:03:36,dependabot[bot],"chore(deps-dev): bump husky from 8.0.1 to 8.0.2 (#293)

Bumps [husky](https://github.com/typicode/husky) from 8.0.1 to 8.0.2.
- [Release notes](https://github.com/typicode/husky/releases)
- [Commits](https://github.com/typicode/husky/compare/v8.0.1...v8.0.2)

---
updated-dependencies:
- dependency-name: husky
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
3d23c5cacd795881bce3c071eb8685771289b7a2,2022-12-16 04:03:24,dependabot[bot],"chore(deps-dev): bump prettier from 2.7.1 to 2.8.0 (#294)

Bumps [prettier](https://github.com/prettier/prettier) from 2.7.1 to 2.8.0.
- [Release notes](https://github.com/prettier/prettier/releases)
- [Changelog](https://github.com/prettier/prettier/blob/main/CHANGELOG.md)
- [Commits](https://github.com/prettier/prettier/compare/2.7.1...2.8.0)

---
updated-dependencies:
- dependency-name: prettier
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
c5edd830f9bb8339231591915abc7f20c7b70f5b,2022-12-16 04:02:11,dependabot[bot],"chore(deps-dev): bump lint-staged from 13.0.3 to 13.0.4 (#292)

Bumps [lint-staged](https://github.com/okonet/lint-staged) from 13.0.3 to 13.0.4.
- [Release notes](https://github.com/okonet/lint-staged/releases)
- [Commits](https://github.com/okonet/lint-staged/compare/v13.0.3...v13.0.4)

---
updated-dependencies:
- dependency-name: lint-staged
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
63501d7ed48572395690ad99165a77e61c9933fd,2022-11-13 01:32:57,dependabot[bot],"chore(deps): bump chalk from 5.0.1 to 5.1.2 (#288)

Bumps [chalk](https://github.com/chalk/chalk) from 5.0.1 to 5.1.2.
- [Release notes](https://github.com/chalk/chalk/releases)
- [Commits](https://github.com/chalk/chalk/compare/v5.0.1...v5.1.2)

---
updated-dependencies:
- dependency-name: chalk
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
1513cdc45695ee767b7e0e9bd8cae9af31c55d45,2022-11-05 17:15:57,Shahriar,Fixed typo (#276),False
3a34c001e9b408dbeacdc270701a6565c02b5e53,2022-09-30 17:45:57,dependabot[bot],"chore(deps-dev): bump semantic-release from 19.0.3 to 19.0.5 (#277)

Bumps [semantic-release](https://github.com/semantic-release/semantic-release) from 19.0.3 to 19.0.5.
- [Release notes](https://github.com/semantic-release/semantic-release/releases)
- [Commits](https://github.com/semantic-release/semantic-release/compare/v19.0.3...v19.0.5)

---
updated-dependencies:
- dependency-name: semantic-release
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
72a8382ef8a858f6bea36715ed2e8d7b3575c1b5,2022-09-30 17:45:44,dependabot[bot],"chore(deps): bump meow from 9.0.0 to 10.1.4 (#282)

Bumps [meow](https://github.com/sindresorhus/meow) from 9.0.0 to 10.1.4.
- [Release notes](https://github.com/sindresorhus/meow/releases)
- [Commits](https://github.com/sindresorhus/meow/compare/v9.0.0...v10.1.4)

---
updated-dependencies:
- dependency-name: meow
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
99a68206ea1401e1d49a2ad34cee31259ec07340,2022-09-30 17:40:44,dependabot[bot],"chore(deps-dev): bump prettier from 2.6.2 to 2.7.1 (#268)

Bumps [prettier](https://github.com/prettier/prettier) from 2.6.2 to 2.7.1.
- [Release notes](https://github.com/prettier/prettier/releases)
- [Changelog](https://github.com/prettier/prettier/blob/main/CHANGELOG.md)
- [Commits](https://github.com/prettier/prettier/compare/2.6.2...2.7.1)

---
updated-dependencies:
- dependency-name: prettier
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
50b94c23e94086ced71db4c4699275f6277d3b38,2022-09-30 17:40:26,Sviatoslav Sydorenko,Link the GitHub Sponsors profile (#274),False
