Hash,Date,Author,Message,IsMerge
7cafa512a777048ce0b666080a24e80aae3d66a9,2024-05-25 03:05:50,Maël Nison,Update signing.yml,False
2e769695b06d5a7068f88b18a1f805a52a5113d5,2024-05-25 03:03:18,Maël Nison,Update signing.yml,False
4969908f33a0d2f60219a13ea401716b87c51764,2024-05-25 02:48:35,Maël Nison,Update signing.yml,False
63a9e2277859bfc5aa74aab08db188f7d14008c1,2024-05-25 02:43:24,Maël Nison,Attempt to fix build signing,False
158d96dce95313d9a00218302631cd263877d164,2022-09-06 00:24:11,Maël Nison,Update PULL_REQUEST_TEMPLATE.md,False
fbcdb79a9878ef2d6e10e70c97adece2d94fa754,2022-09-06 00:17:12,Maël Nison,Update README.md,False
6db39cf0ff684ce4e7de29669046afb8103fce3d,2022-01-30 21:59:10,Maël Nison,Update README.md,False
728feb1414cec2d5cb8ecf8c061bc10f03b99def,2022-01-18 05:30:01,Maël Nison,Create SECURITY.md,False
0a121f66ffcb4fc48ed6ea9e5ad928bd7cdc9b5f,2022-01-18 02:51:24,Maël Nison,Updates the contribution guidelines,False
300c47c336be0e8dbc722ef451148a79d9a35486,2021-12-21 00:33:42,Maël Nison,Update README.md,False
e3248e74cb5aac0a2d19d540c135c1549338422c,2021-12-17 18:04:03,Maël Nison,Update README.md,False
ba0a33b7dc513d262bce505d9446d18a173a839c,2021-07-26 23:03:48,Maël Nison,Update CHANGELOG.md,False
3119382885ea373d3c13d6a846de743eca8c914b,2021-01-03 19:55:06,Maël Nison,Update set-dev-version.js,False
14bcd15a401e063c2130ab31568c80aeb914165f,2021-01-02 05:28:27,Maël Nison,Update bug_report.md,False
977943ee814c9dbec9db45c15eb4831a3d7c8d83,2021-01-02 05:25:53,Maël Nison,Update bug_report.md,False
a4708b29ac74df97bac45365cba4f1d62537ceb7,2020-09-28 19:11:27,Maël Nison,Update CHANGELOG.md,False
f9ad995968850cd6771b068601d6a05146deb9c4,2020-09-28 18:38:53,Maël Nison,Update CHANGELOG.md,False
d1227fb48b1dbf8b1944a1156029b3741dfdc5f1,2020-09-28 14:09:00,Maël Nison,Update CHANGELOG.md,False
cbeead63564f1e1a9bdebbfec7f1fafde04f8c91,2020-08-27 22:24:54,Maël Nison,Update CHANGELOG.md,False
ac21dbf16a5d2d5f4cb032f5da5313949db3fb71,2020-06-16 00:41:42,Maël Nison,Bumps the OSX image,False
4df89bc4923a1d24e271d67843cfc19d7fed204a,2020-05-25 18:06:42,Bram Gotink,Spawn yarn .cjs files also using process.execPath (#8144),False
